department,budget,expenditure,county,year,quarter
Plant Disease Control,0.0,0.0,baringo,2022_23,01
County Health Services,32102225.0,0.0,baringo,2022_23,01
Disease and Vector Control,7000000.0,0.0,bungoma,2022_23,01
Health and Sanitation,0.0,0.0,bungoma,2022_23,01
Health Infrastructure,326401888.0,0.0,bungoma,2022_23,01
"Programme 2: Preventive Promotive and Rehabilita-
tive",107118938.0,0.0,bungoma,2022_23,01
Health Promotion services,6000000.0,0.0,bungoma,2022_23,01
Disease surveillance,2746938.0,0.0,bungoma,2022_23,01
Community health services,78072000.0,0.0,bungoma,2022_23,01
Programme 3: Curative,435853571.0,0.0,bungoma,2022_23,01
Health Services,0.0,0.0,bungoma,2022_23,01
Routine Medical Services,424865820.0,0.0,bungoma,2022_23,01
Programme 4: Health Research,0.0,0.0,bungoma,2022_23,01
Programme 5: Maternal and Child Health,54469787.0,0.0,bungoma,2022_23,01
Family planning,0.0,0.0,bungoma,2022_23,01
Maternity Services,52969787.0,0.0,bungoma,2022_23,01
Sanitation management,8000916.0,0.0,bungoma,2022_23,01
Garbage collection and transportation,161351760.0,35101063.0,bungoma,2022_23,01
Department of Health and Sanitation,0.0,0.0,busia,2022_23,01
"CP 55: Preventive and
Promotive Health Ser-
vices",10000000.0,0.0,busia,2022_23,01
HEALTH,0.0,0.0,embu,2022_23,01
"P2: Preventive and Promotive
Health Services",474458325.0,88346817.0,embu,2022_23,01
EMBU LEVEL 5 HOSPITAL,0.0,0.0,embu,2022_23,01
"P2: Preventive and Promotive
Health Services",48621341.0,10013250.0,embu,2022_23,01
Department of Health and Sanitation,0.0,0.0,garissa,2022_23,01
Curative Service,151267750.0,127000000.0,garissa,2022_23,01
"Preventive Ser-
vice",144000000.0,65000000.0,garissa,2022_23,01
Department of Health Services,0.0,0.0,homa,2022_23,01
"Preventive and
Promotive Health
Services",26750000.0,0.0,homa,2022_23,01
Curative Health,1793267318.0,254702900.0,kericho,2022_23,01
Curative Health,0.0,0.0,kericho,2022_23,01
"Preventive and
Promotive Health",1242164061.0,205243962.0,kericho,2022_23,01
Health Services,0.0,0.0,kiambu,2022_23,01
Health curative services,603006904.0,0.0,kiambu,2022_23,01
Community Health Services,482616764.0,3999225.0,kiambu,2022_23,01
"County Hospital
Infrastructure",382919716.0,0.0,kiambu,2022_23,01
"County Pharmaceutical
Services",96000000.0,0.0,kiambu,2022_23,01
Health,450199826.0,0.0,kilifi,2022_23,01
Public Health,191205527.0,0.0,kilifi,2022_23,01
"Children
Services",5764000.0,0.0,kirinyaga,2022_23,01
"Cleaning
and Waste
Management",675800.0,0.0,kirinyaga,2022_23,01
Livestock disease control {0108033060},84016050.0,371000.0,kwale,2022_23,01
Medical and Public Health Services,0.0,0.0,kwale,2022_23,01
Medical Drugs(0402043060)),460765641.0,97361442.0,kwale,2022_23,01
Msambweni Hospital (0405013060),68524755.0,10202495.0,kwale,2022_23,01
Kinango Hospital(0406013060),28147000.0,4302003.0,kwale,2022_23,01
Kwale Hospital(0407013060),36049406.0,2930557.0,kwale,2022_23,01
Samburu Hospital(0409013060),15565000.0,1936711.0,kwale,2022_23,01
Lungalunga Hospital(0410013060),25449510.0,4269398.0,kwale,2022_23,01
Public Health(0401053060),5839657.0,294250.0,kwale,2022_23,01
Maternal New Born And Child Health(0401023060),0.0,0.0,kwale,2022_23,01
Animal Disease Management,5000000.0,50000.0,meru,2022_23,01
DEPARTMENT: HEALTH SERVICES,0.0,0.0,meru,2022_23,01
Curative Health,742073703.98,250000.0,meru,2022_23,01
"Preventive and Promotive
Health",216886029.0,250000.0,meru,2022_23,01
"Livestock Disease
Control and Man-
agement",4050000.0,0.0,migori,2022_23,01
Health-Medical services,0.0,0.0,migori,2022_23,01
"Maternal Health
Services",1256000.0,0.0,migori,2022_23,01
"Preventive, promo-
tive Health services
and Disease
Control",1115000.0,0.0,migori,2022_23,01
Health - Public health,0.0,0.0,migori,2022_23,01
"Preventive and
promotive health
services",4428000.0,0.0,migori,2022_23,01
Personnel Services,950000.0,0.0,migori,2022_23,01
"3018 Water, Sanitation
& Natural Resources",28.8,0.0,mombasa,2022_23,01
"Programme 2: Water
and Sewerage man-
agement",581182134.0,0.0,nakuru,2022_23,01
Department of Health Services,0.0,0.0,nakuru,2022_23,01
Curative health services,0.0,0.0,nyamira,2022_23,01
"Preventive and Promotive
Services",9250000.0,172400.0,nyandarua,2022_23,01
Curative Services,191381098.0,12668506.0,nyandarua,2022_23,01
Health Services,0.0,0.0,nyeri,2022_23,01
Rural Health,2573523852.0,537138223.0,nyeri,2022_23,01
County Health Services,0.0,0.0,siaya,2022_23,01
"Health
Services",51941624.5,14718491.8,siaya,2022_23,01
Medical Services,0.0,0.0,tharaka,2022_23,01
Public Health and Sanitation,0.0,0.0,tharaka,2022_23,01
"Preventive and Promotive Health
Services",32987000.0,0.0,tharaka,2022_23,01
"Health
Information and
Management",0.0,628000.0,turkana,2022_23,01
Petroleum,0.0,2000000.0,turkana,2022_23,01
"Promotive and Preventive
Healthcare Services",2060000.0,0.0,vihiga,2022_23,01
Child and Maternal Health Care,1300000.0,0.0,vihiga,2022_23,01
Programme 4 - HEALTH AND SANITATION,0.0,0.0,west,2022_23,01
SP 4-(Kacheliba Sub-county hospital),12940000.0,0.0,west,2022_23,01
SP 5-(Sigor Sub-county hospital),12860000.0,0.0,west,2022_23,01
SP 6-(Chepareria Sub-county hospital),12860000.0,0.0,west,2022_23,01
