department,program,budget,expenditure,county,year,quarter
Plant Disease Control,KDS Programme,0.0,0.0,baringo,2022_23,01
County Health Services,"Curative and Rehabilitative
Services",813534663.0,53701775.0,baringo,2022_23,01
"CP 55: Preventive and
Promotive Health Ser-
vices","CSP 55.2: Lower-level hospital
equipment",77500000.0,0.0,busia,2022_23,01
"Preventive and
Promotive Health
Services",Disease control services,140000000.0,7468313.0,homa,2022_23,01
Health curative services,"Health curative
services",603006904.0,0.0,kiambu,2022_23,01
Community Health Services,"Community Health
Services",482616764.0,3999225.0,kiambu,2022_23,01
"County Hospital
Infrastructure","County Hospital
Infrastructure",382919716.0,0.0,kiambu,2022_23,01
"County Pharmaceutical
Services","Pharmaceutical and
Non-Pharmaceutical
supplies",96000000.0,0.0,kiambu,2022_23,01
Health,General Administration,637599129.0,0.0,kilifi,2022_23,01
Medical and Public Health Services,None,0.0,0.0,kwale,2022_23,01
"Preventive, promo-
tive Health services
and Disease
Control",Malaria,19265000.0,2578073.0,migori,2022_23,01
"Preventive and
promotive health
services","Sanitation and environmental health
services",35055000.0,0.0,migori,2022_23,01
Personnel Services,Human Resource Management,950000.0,0.0,migori,2022_23,01
"3018 Water, Sanitation
& Natural Resources","Sanitation/Sewerage Services Head-
quarters",37.7,0.0,mombasa,2022_23,01
"Programme 2: Water
and Sewerage man-
agement",S.P 2.2 Provision of sewerage,581182134.0,0.0,nakuru,2022_23,01
Curative health services,None,0.0,0.0,nyamira,2022_23,01
Curative Services,universal health care and grants,191381098.0,12668506.0,nyandarua,2022_23,01
Rural Health,None,2573523852.0,537138223.0,nyeri,2022_23,01
"Health
Services","Curative healthcare
services",199664269.5,20416509.0,siaya,2022_23,01
"Preventive and Promotive Health
Services",Environmental Health Services,420721272.0,85199359.0,tharaka,2022_23,01
"Promotive and Preventive
Healthcare Services",Public Health Services,2610000.0,0.0,vihiga,2022_23,01
Child and Maternal Health Care,"Antenatal and Post Na-
tal healthcare",6760000.0,995000.0,vihiga,2022_23,01
