county,year,quarter,program,sub_program,approved_budget_kshs,actual_expenditure_kshs
baringo,2019_20,01,"Curative and Rehabilitative
Services","General Administration ,Planning
& Support Services",40164034.0,
baringo,2019_20,01,"Curative and Rehabilitative
Services",Support Service,131914894.0,
baringo,2019_20,01,"Curative and Rehabilitative
Services",Support To County Hospitals (FIF),80074047.0,14657302.0
baringo,2019_20,01,"Curative and Rehabilitative
Services",Sub Total,252152975.0,14657302.0
baringo,2019_20,01,"Preventive and Promotive Health
Services",Infrastructure Development,46400000.0,
baringo,2019_20,01,"Preventive and Promotive Health
Services",Primary Health Care,28200000.0,
baringo,2019_20,01,"Preventive and Promotive Health
Services",Sub Total,739607098.0,
baringo,2019_20,01,"General, Administration, Planning
and Support Services",Emergency Fund,14000000.0,472400.0
bomet,2019_20,01,"MEDICAL SERVICES,
PUBLIC HEALTH &
SANITATION",,,
bomet,2019_20,01,P2 Curative Health Services,Policy Development,2000000.0,500000.0
bungoma,2019_20,01,Preventive and Promotive Health Services,Health Promotion,3323533969.0,497908824.0
busia,2019_20,01,Child Care and protection,Rehabilitation And Custody,8000000.0,
busia,2019_20,01,Health Curative Services,Infrastructure Development,6000000.0,
busia,2019_20,01,Health Curative Services,Hospital Equipment,36858318.0,
busia,2019_20,01,Preventive and Health Services,Infrastructure Development,28272414.0,
busia,2019_20,01,Preventive and Health Services,"Lower Level Hospital
Equipment",12167022.0,
busia,2019_20,01,Preventive and Health Services,"HIV/Aids Prevention And
Control",4000000.0,
busia,2019_20,01,Preventive and Health Services,"Malaria Control And
Reproductive Health",9740733.0,
busia,2019_20,01,Preventive and Health Services,Health Promotion Unit,110463548.0,
elgeyo,2019_20,01,"Preventive and Promotive
Health",,80491967.0,
elgeyo,2019_20,01,"Preventive and Promotive
Health",Community and Environmental Health,72291967.0,
elgeyo,2019_20,01,"Preventive and Promotive
Health","Communicable & Non-Communicable Dis-
ease Prevention & Control",8200000.0,
elgeyo,2019_20,01,"Curative and Rehabilitative
Health",,1039657585.0,43577588.0
elgeyo,2019_20,01,"Curative and Rehabilitative
Health",Commodity management,95257103.0,
elgeyo,2019_20,01,"Curative and Rehabilitative
Health",County Hospitals,386716174.0,43577588.0
elgeyo,2019_20,01,"Curative and Rehabilitative
Health",Primary Care Units,546684308.0,
elgeyo,2019_20,01,"Curative and Rehabilitative
Health",Emergency Medical Services,11000000.0,
garissa,2019_20,01,Administrative and support services,,385581104.0,
garissa,2019_20,01,Administrative and Support Services,,385581104.0,
garissa,2019_20,01,Administrative and support Services,,119250255.0,
garissa,2019_20,01,Curative Services,,854234894.0,
