Programmes,Sub- Programmes,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance,"Absorption
(%)",page_number,table_index
General Administration,"General Administration, Planning
& Support Services","344,211,616","44,356,572","299,855,044",12.9,38,0
Land Administration,"Land Adjudication and
Demarcation","27,700,000",-,"27,700,000",-,38,0
"Urban Development-Eldama
Ravine",Support Service,"40,000,000",-,"40,000,000",-,38,0
"Livestock Development and
Management","General Administration, Planning
& Support Services","12,800,000",-,"12,800,000",-,38,0
,Support Service,"443,134,299",-,"443,134,299",-,38,0
,"Livestock Improvement, Pasture
and Fodder Development","6,000,000",-,"6,000,000",-,38,0
,Apiculture Development,"5,000,000",-,"5,000,000",-,38,0
,Sub Total,"466,934,299",-,"466,934,299",-,38,0
Agricultural Development,"General Administration , Planning
& Support Services","1,000,000",-,"1,000,000",-,38,0
Agricultural Training Services,"General Administration ,Planning
& Support Services","1,300,000",-,"1,300,000",-,38,0
"Other Urban Infrastructure
Development and Management",Kusp Programme,"52,360,500",-,"52,360,500",-,38,0
Crop Production and Management,"Agribusiness Infrastructure
Development","11,400,000",-,"11,400,000",-,39,0
"Fisheries Development and
Management",Aquaculture Development,"3,000,000",-,"3,000,000",-,39,0
Urban Development-Kabarnet,General Administrative Services,"134,702,716",-,"134,702,716",-,39,0
Land Use Planning,Land Planning and Development,"16,600,000",-,"16,600,000",-,39,0
General Administration,"General Administration ,Planning
& Support Services","62,894,893","6,630,604","56,264,289",10.5,39,0
"Development and Rehabilitation Of
Rural Roads and Structures",Roads Opening and Rehabilitation,"831,582,296",-,"831,582,296",-,39,0
General Administration,"General Administration ,Planning
& Support Services","74,853,448","34,453,812","40,399,636",46.0,39,0
Trade Development,Trade Development,"5,752,776",-,"5,752,776",-,39,0
Industrial Development Services,Industrial Development Services,-,-,-,-,39,0
,"General Administration, Planning
& Support Services","153,074,112",-,"153,074,112",-,39,0
,Sub Total,"153,074,112",-,"153,074,112",-,39,0
General Administration,"General Administration ,Planning
& Support Services","1,879,576,758","465,220,817","1,414,355,941",-,39,0
"Curative and Rehabilitative
Services","General Administration ,Planning
& Support Services","40,164,034",-,"40,164,034",-,39,0
,Support Service,"131,914,894",-,"131,914,894",-,39,0
,Support To County Hospitals (FIF),"80,074,047","14,657,302","65,416,745",18.3,39,0
,Sub Total,"252,152,975","14,657,302","237,495,673",5.8,39,0
"Preventive and Promotive Health
Services",Infrastructure Development,"46,400,000",-,"46,400,000",-,39,0
,"Compensation For User Fees
Forgone","665,007,098",-,"665,007,098",-,39,0
,Primary Health Care,"28,200,000",-,"28,200,000",-,39,0
,Sub Total,"739,607,098",-,"739,607,098",-,39,0
General Administration Services,"General Administration, Planning
& Support Services","281,402,357","95,671,539","185,730,818",34.0,39,0
"Early Childhood Development
Education","Early Childhood Development
Education",-,-,-,,39,0
,"General Administration, Planning
& Support Services","24,770,000",-,"24,770,000",-,39,0
,Support Service,"164,870,659",-,"164,870,659",-,39,0
,Sub Total,"189,640,659",-,"189,640,659",-,39,0
Vocational Training,"General Administration, Planning
& Support Services","14,923,979",-,"14,923,979",-,39,0
"General Administration, Planning
and Support Services",General Administration Services,"144,643,406",-,"144,643,406",-,39,0
Special Programmes,Secondary Schools Bursary,"30,000,000",-,"30,000,000",-,39,0
,"Capitation Allocation On VTC -
Grant","9,949,320",-,"9,949,320",-,39,0
,School Feeding Programme,"14,442,715",-,"14,442,715",-,39,0
,Sub Total,"54,392,035",-,"54,392,035",-,39,0
"General, Administration, Planning
and Support Services",Support Service,"305,595,875","52,401,439","253,194,436",17.1,40,0
,General Administrative Services,"12,704,016","38,222","12,665,794",0.3,40,0
,Sub Total,"318,299,891","52,439,661","265,860,230",16.5,40,0
,"General Administration ,Planning
& Support Services","208,938,252","89,413,914","119,524,338",42.8,40,0
,Support Service,-,-,-,-,40,0
,Internal Audit Services,"1,300,000",-,"1,300,000",-,40,0
,Emergency Fund,"14,000,000","472,400","13,527,600",3.4,40,0
,Sub Total,"224,238,252","89,886,314","134,351,938",40.1,40,0
Treasury Accounts,"General Administration ,Planning
& Support Services",-,-,-,-,40,0
KDS Programme,"General Administration ,Planning
& Support Services","31,500,000",-,"31,500,000",-,40,0
"Economic Planning, Budget,
Monitoring and Evaluation
Services",Support Service,"2,042,550",-,"2,042,550",-,40,0
,"Monitoring and Evaluation
Services","2,557,182","333,400","2,223,782",13.0,40,0
,"Budget Process and Public
Participation Services","6,090,000","1,763,800","4,326,200",29.0,40,0
,Sub Total,"10,689,732","2,097,200","8,592,532",19.6,40,0
"Revenue Services Development
Services","General Administration ,Planning
& Support Services","9,155,519","640,000","8,515,519",7.0,40,0
,Support Service,"3,000,000","271,875","2,728,125",9.1,40,0
,Infrastructural Development,"36,000,000",-,"36,000,000",-,40,0
,Sub Total,"48,155,519","911,875","47,243,644",1.9,40,0
"Civic Education Development
Services","Civic Education Development
Services","1,597,102","192,400","1,404,702",12.0,40,0
"Inter and Intra -Governmental
Relations Services","General Administration ,Planning
& Support Services","7,000,000","291,900","6,708,100",4.2,40,0
,General Administrative Services,"85,043,057","20,614,099","64,428,958",24.2,40,0
,County Secretary,"102,319,443","17,648,198","84,671,245",17.2,40,0
,Deputy Governor,"24,765,974","4,200,260","20,565,714",17.0,40,0
,Legal Services,"13,000,000","234,280","12,765,720",1.8,40,0
,"Public Administration and
Devolution Services","91,828,349","3,226,250","88,602,099",3.5,40,0
,Communication Services,"300,000",-,"300,000",-,40,0
,"Mogotio Sub County
Administration Services","16,851,692","2,713,464","14,138,228",16.1,40,0
,"Baringo Central Sub County
Administration Services","15,255,765","6,718,806","8,536,959",44.0,40,0
,"Baringo North Sub County
Administration Services","17,684,745","5,244,092","12,440,653",29.7,40,0
,"Baringo South Sub County
Administration Services","19,510,904","5,978,878","13,532,026",30.6,40,0
,"Tiaty Sub County Administration
Services","18,841,842","2,232,109","16,609,733",11.8,40,0
,"County Public Service Board
Services","48,230,907","623,670","47,607,237",1.3,40,0
,"Eldama Ravine Sub County
Administration Services","17,224,229","7,287,783","9,936,446",42.3,40,0
,Sub -Total,"470,856,907","76,721,889","394,135,018",16.3,40,0
,"Legislative Representation and
Oversight Services","339,037,766","55,338,660","283,699,106",16.3,41,0
,General Administrative Services,-,-,-,-,41,0
,ICT Development,"24,000,000",-,"24,000,000",-,41,0
,Infrastructure Development,"34,558,240",-,"34,558,240",-,41,0
,Sub -Total,"58,558,240",-,"58,558,240",-,41,0
,"General Administration, Planning
& Support Services","26,432,472","5,653,355","20,779,117",21.4,41,0
,"General Administration ,Planning
& Support Services","10,700,000",-,"10,700,000",-,41,0
,Support Service,"7,300,000",-,"7,300,000",-,41,0
,Gender Mainstreaming,"1,000,000",-,"1,000,000",-,41,0
,Sub -Total,"19,000,000",-,"19,000,000",-,41,0
Sport Development,"General Administration ,Planning
& Support Services","84,292,570","37,580","84,254,990",-,41,0
,Support Service,"1,500,000",-,"1,500,000",-,41,0
,Sub -Total,"85,792,570","37,580","85,754,990",-,41,0
,Conservation Of Cultural Heritage,"1,000,000",-,"1,000,000",-,41,0
,"General Administration ,Planning
& Support Services","121,251,196","9,681,365","111,569,831",8.0,41,0
,"General Administration ,Planning
& Support Services",-,-,-,-,41,0
,Support Service,"370,321,000",-,"370,321,000",-,41,0
,"Water Harvesting Storage and
Flood Control","680,408,787",-,"680,408,787",-,41,0
,Sub -Total,"1,050,729,787",-,"1,050,729,787",-,41,0
,"General Administration, Planning
& Support Services","33,627,305",-,"33,627,305",-,41,0
,"General Administration ,Planning
& Support Services",-,-,-,,41,0
,Support Service,"6,000,000",-,"6,000,000",-,41,0
,Sub -Total,"6,000,000",-,"6,000,000",-,41,0
,General Administrative Services,"37,048,339","3,463,755","33,584,584",9.3,41,0
,Protection Of Rivers and Streams,"1,000,000",-,"1,000,000",-,41,0
,"County Forest Conservation and
Management","6,000,000",-,"6,000,000",-,41,0
Grand Total,,"8,681,521,001","957,706,600","7,723,814,401",11.0,41,0
