Programme,Sub- Programme,"Submitted Estimates
(Kshs)","Actual Payments
(Kshs)",Variance (Kshs.),"Absorption
(%)",page_number,table_index
"MEDICAL SERVICES,
PUBLIC HEALTH &
SANITATION",,,,,,46,1
P2 Curative Health Services,"Cash Transfers to Health Fa-
cilities","110,953,899","53,833,000","57,120,899",,46,1
,Human Resource Services,"700,000,000","173,688,508","526,311,491",,46,1
,Policy Development,"2,000,000","500,000","1,500,000",,46,1
,Administrative services,"12,741,524","2,904,026","9,837,498",,46,1
COUNTY EXECUTIVE,,,,,,46,1
"Programme 1: Administration,
Planning and Support services",Human Resource Services,"1,779,600,000","422,150,166","1,357,449,834",24,46,1
,"Administration of Human
Resources in County Public
Service","59,404,595","14,468,217","44,936,378",24,47,0
,Administration Services,"275,000,000","26,694,988","248,305,012",10,47,0
"Information Technology Servic-
es(ICT) Services",Administration Services,"35,000,000","129,200","34,870,800",-,47,0
"FINANCE AND ECONOMIC
PLANNING",,,,,,47,0
"P4 Budget Preparation and
Management",Administrative Services,"76,970,600","26,999,810","49,970,790",35,47,0
,Budget Preparation,"12,000,000","1,800,000","10,200,000",15,47,0
,Budget Preparation,"3,400,000","1,659,000","1,741,000",49,47,0
,Public Participation,"10,000,000","5,428,200","4,571,800",54,47,0
"Policy Planning and Adminis-
tration",Administrative Services,"23,900,000","1,853,500","22,046,500",8,47,0
"AGRICULTURE, LIVE-
STOCK DEVELOPMENT,
VETERINARY SERVICES &
FISHERIES",,,,,,47,0
"Administration, Planning and
Support Services",Administrative services,"32,300,400","150,650","32,149,750",0,47,0
"WATER, ENVIRONMENT,
NATURAL RESOURCES &
ENERGY",,,,,,47,0
"Policy planning and Administra-
tive Services","Policy, Planning and Adminis-
trative services","111,514,199","33,963,600","77,550,599",30,47,0
"EDUCATION AND VOCA-
TIONAL TRAINING",,,,,,47,0
"Policy Planning, and General
Administrative Services",Mobilization and awareness,"166,208,899","2,355,600","163,853,299",1,47,0
,Use of Goods and Services,"36,491,187","440,850","36,050,337",1,47,0
"ROADS, TRANSPORT &
PUBLIC WORKS",,,,,,47,0
"P1 General Administration Plan-
ning and Support Services",Delivery Unit,"3,500,000","348,600","3,151,400",10,47,0
Roads Maintenance,Road maintenance (Fuel),"6,000,000","2,999,823","3,000,177",50,47,0
,"Policy, General Administra-
tion Planning and Support
Services","6,700,000","1,363,608","5,336,392",20,47,0
"Trade Development and Pro-
motion",Capacity Building Of SMEs,"2,000,000","900,000","1,100,000",45,47,0
,"Fair Trade And Consumer
Protection Practices","5,000,000","1,350,000","3,650,000",27,47,0
"CULTURE, SOCIAL SER-
VICES, GENDER, SPORTS &
YOUTH AFFAIRS",,,,,,47,0
"Programme 2: Gender Children
Services","Training and gender empow-
erment","14,700,000","1,018,900","13,681,100",7,47,0
,Cultural Development,"6,000,000","2,722,900","3,277,100",45,47,0
Youth and Sports Development,Internship Programme,"20,000,000","7,864,000","12,136,000",39,47,0
"Policy development and General
Administration",General Administration,"4,100,000","414,700","3,685,300",10,47,0
COUNTY ASSEMBLY,,,,,,47,0
"County Assembly Legislative
Services",Legislative Services,"301,586,736","52,008,075","249,578,661",17,47,0
,Committee Services,"30,492,000","611,760","29,880,240",2,47,0
Oversight Presentation,Public Participation,"37,236,350","10,400,000","26,836,350",28,47,0
,Decentralisation of Services,"30,340,000","8,024,000","22,316,000",26,47,0
