Programme,"Sub-
Programme",Description,"Approved Budget
(Ksh)","Actual Payments
(Ksh)",Variance,"Absorption
(%)",page_number,table_index
106000000,,"General Administration Planning and
Support Services","794,639,387","77,879,534","716,759,853",9.8,74,1
,106019999,"Administration, Planning & Support
Services","794,639,387","77,879,534","716,759,853",9.8,74,1
201000000,,"General Administration, Planning and
Support Services","719,667,527","35,329,038","684,338,489",4.9,74,1
,201019999,"General Administration, Planning and
Support Services","719,667,527","35,329,038","684,338,489",4.9,74,1
301000000,,"General Administration Planning and
Support Services","111,225,944","4,478,498","106,747,446",4.0,74,1
,301019999,"General Administration Planning and
Support Services","111,225,944","4,478,498","106,747,446",4.0,74,1
404000000,,"General Administration, Planning &
Support Services","1,362,618,697","519,882,134","842,736,563",38.2,74,1
,404019999,"Health Policy, Planning & Financing","1,362,618,697","519,882,134","842,736,563",38.2,74,1
508000000,,"General Administration, Planning and
Support Services","526,205,530","1,191,650","525,013,880",0.2,74,1
,508019999,Headquarters Administrative Services,"526,205,530","1,191,650","525,013,880",0.2,74,1
701000000,,"General Administration Planning and
Support Services","900,051,204","348,879,709","551,171,495",38.8,74,1
,701019999,"General Administration Planning and
Support Services","900,051,204","348,879,709","551,171,495",38.8,74,1
711000000,,Gender & Youth Empowerment,"120,726,822",-,"120,726,822",-,74,1
,711069999,Gender & Socio-economic empowerment,"120,726,822",-,"120,726,822",-,74,1
