Sector,Description,Approved Budget,Actual Payments,Variance,Absorption,page_number,table_index
County Assembly,"County Assembly infrastructure,
policy and service support","80,000,000",-,"80,000,000",-,98,0
,Infrastructure support,"80,000,000",-,"80,000,000",-,98,0
,Legislative and oversight,"178,738,410","16,112,535","162,625,875",9,98,0
,Legislative service,"178,738,410","16,112,535","162,625,875",9,98,0
,Administration and support services,"244,209,207","38,100,728","206,108,479",16,98,0
,Administration Support Services,"244,209,207","38,100,728","206,108,479",16,98,0
Governors,"County Governance and
Coordination Affairs","301,737,492","17,546,312","284,191,180",6,98,0
,County Governance,"301,737,492","17,546,312","284,191,180",6,98,0
County secretary,"County Devolved Administrative
Affairs","19,994,885","300,000","19,694,885",2,98,0
,Devolved Administrative Affairs,"19,994,885","300,000","19,694,885",2,98,0
Deputy Governor,Management of County Affairs,"25,000,000",-,"25,000,000",-,98,0
,County Executive Services,"25,000,000",-,"25,000,000",-,98,0
Delivery Unit,Prudent use of Financial Resources,"8,024,000","242,800","7,781,200",3,98,0
,Governors Delivery Unit,"8,024,000","242,800","7,781,200",3,98,0
"County Public Service
Board",County Public Service,"59,375,252","1,163,600","58,211,652",2,98,0
,Administration Support Services,"59,375,252","1,163,600","58,211,652",2,98,0
Finance,Administration and support services,"360,402,921","23,050,014","337,352,907",6,98,0
,Personnel Services,"96,235,450","23,050,014","73,185,436",24,98,0
,Administrative Infrastructure support,"264,167,471",-,"264,167,471",-,98,0
,Public financial management,"34,664,452","7,284,874","27,379,578",21,98,0
,Administrative Services,"34,664,452","7,284,874","27,379,578",21,98,0
,"KDSP(Kenya Devolution Support
Programme) Conditional Grant","30,000,000",-,"30,000,000",-,98,0
,Kenya Devolution Support,"30,000,000",-,"30,000,000",-,98,0
"Economic Planning and
Coordination","Economic Planning and
Coordination","62,535,239","676,500","61,858,739",1,98,0
,Monitoring and Evaluation,"33,417,508","676,500","32,741,008",2,98,0
,"Economic Policy and County
Development Plans","10,917,731",-,"10,917,731",-,98,0
,"County Development Stakeholders
Forums","6,900,000",-,"6,900,000",-,98,0
,"County Baseline Surveys on County
Development Indicators","10,000,000",-,"10,000,000",-,98,0
,"Capacity building and Support to
Departments","1,300,000",-,"1,300,000",-,98,0
Special Programme,Special programmes,"205,346,534","1,293,600","204,052,934",1,98,0
,Administration & Planning,"9,859,514","1,293,600","8,565,914",13,98,0
,Disaster management,"195,487,020",-,"195,487,020",-,98,0
Cohesion,Cohesion and Peace Building,"65,061,199","13,170,360","51,890,839",20,98,0
,"Administrative and Civic Education
Services","65,061,199","13,170,360","51,890,839",20,98,0
Livestock,"Livestock resource management and
development","156,470,843","3,066,592","153,404,251",2,99,0
,Livestock Production,"89,729,073","3,066,592","86,662,481",3,99,0
,livestock infrastructure development,"66,741,770",-,"66,741,770",-,99,0
,Fisheries development,"10,000,000",-,"10,000,000",-,99,0
,extension services,"7,000,000",-,"7,000,000",-,99,0
,Fish hatchery,"3,000,000",-,"3,000,000",-,99,0
Agriculture,"Administrative, planning, and
support services","50,191,138","365,943","49,825,195",1,99,0
,Administration and Support Services,"50,191,138","365,943","49,825,195",1,99,0
,Crop Productivity Improvement,"234,608,427","23,720,286","210,888,141",10,99,0
,"Increase food productivity & output
by 30.","2,000,000",-,"2,000,000",-,99,0
,Establishment of Demo Farms,"24,040,573","12,020,286","12,020,287",50,99,0
,"Administration Climate Change
Mitigation","182,000,000","11,700,000","170,300,000",6,99,0
,Irrigation,"24,567,854",-,"24,567,854",-,99,0
,Policy Devt,"2,000,000",-,"2,000,000",-,99,0
,Value Addition,"30,436,591",-,"30,436,591",-,99,0
,Veterinary Support Services,"30,436,591",-,"30,436,591",-,99,0
Lands,Land Survey and land use planning,"82,623,423","5,510,000","77,113,423",7,99,0
,"County land planning and spatial
development","32,043,086","120,000","31,923,086",0,99,0
,County Land Survey and Mapping,"50,580,337","5,390,000","45,190,337",11,99,0
Roads,Public Works.,"192,867,666","251,532","192,616,134",0,99,0
,Administration and planning services,"12,001,117","251,532","11,749,585",2,99,0
,Road Improvement and management,"180,866,549",-,"180,866,549",-,99,0
Public Works,"Planning and Survey of Urban Areas
(Modogashe and Ol ndonyiro)","21,373,518","911,307","20,462,211",4,99,0
,"Administration and Planning
Services","21,373,518","911,307","20,462,211",4,99,0
