Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance,"Absorption
(%)",page_number,table_index
Legislation and Oversight,,"691,454,051","140,131,587","551,322,464",20.3,138,1
Sub Total,,"691,454,051","140,131,587","551,322,464",20.3,138,1
"Office of the Governor and
Deputy Governor",County Executive Services,"289,499,644","48,670,405","240,829,239",16.8,138,1
"County Executive Administra-
tion",County Executive Services,"481,677,591",-,"481,677,591",-,138,1
Management of County Affairs,"Coordination of County Func-
tions","181,228,830","21,101,071","160,127,759",11.6,138,1
"County Executive Committee
Affairs",Organization of County Business,"5,600,000","482,100","5,117,900",8.6,138,1
County Public Service Board,Human Resource Management,"17,311,040","1,740,666","15,570,374",10.1,138,1
Administrative Support Services,Administrative Support Services,"7,980,000","334,200","7,645,800",4.2,138,1
,Audit Committee,"2,600,000","34,600","2,565,400",1.3,138,1
,County Enforcement Activities,"4,950,000","161,000","4,789,000",3.3,138,1
,"ICT Infrastructure Development
Management","4,184,000","670,964","3,513,037",16.0,138,1
,"ICT Systems Development
Management","1,940,000","267,000","1,673,000",13.8,138,1
Sub Total,,"996,971,105","73,462,006","923,509,099",7.4,139,0
Public Finance Management,Finance Services,"280,792,347","71,944,531","208,847,816",25.6,139,0
,Revenue Services,"45,540,000","750,450","44,789,550",1.6,139,0
,"Procurement and Supply Ser-
vices","8,126,500","51,500","8,075,000",0.6,139,0
,Internal Audit Services,"2,363,200","116,200","2,247,000",4.9,139,0
,"Budget Formulation, Coordina-
tion and Management","7,844,000","978,660","6,865,340",12.5,139,0
,Accounting Services,"6,255,000","1,162,740","5,092,260",18.6,139,0
"County Planning and Economic
Policy Management",Economic Planning Services,"4,928,000","356,040","4,571,960",7.2,139,0
Sub Total,,"355,849,047.00","75,360,120.75","280,488,926.25",21.2,139,0
"Curative and Rehabilitative
Services","Curative and Rehabilitative
Services","2,533,092,065","270,333,350","2,262,758,715",10.7,139,0
Sub Total,,"2,533,092,065","270,333,350","2,262,758,715",10.7,139,0
Basic Education,General Administration,"209,174,229","13,181,640","195,992,589",6.3,139,0
,Free Pre- Primary Education,"8,270,000","406,360",,4.9,139,0
"State Education Function
Support",Tertiary Education,"34,503,298",-,"34,503,298",-,139,0
"Technical and Vocational
Training",Village Polytechnics,"815,000","174,960","640,040",21.5,139,0
Sub Total,,"252,762,527","13,762,960","231,135,927",5.4,139,0
"Livestock Resource Manage-
ment and Development","Livestock Extension and Capaci-
ty Building Services","305,000",-,"305,000",-,139,0
,"Livestock Production Manage-
ment","880,000",-,"880,000",-,139,0
,"Livestock Disease Management
& Control","1,300,000","29,500","1,270,500",2.3,139,0
"Crop Development and Man-
agement",Agricultural Extension Services,"2,000,000","535,654","1,464,346",26.8,139,0
,"Agribusiness and Market Devel-
opment","335,000",-,"335,000",-,139,0
,Land and Crop Development,"1,331,000","390,553","940,447",29.3,139,0
,Food Security Initiatives,"400,000",,"400,000",-,139,0
