Programme,Sub- Programme,Approved Budget (Kshs),Actual Payments (Kshs),Variance,Absorption (%),page_number,table_index
County Assembly,Office of the speaker,"38,389,787","3,796,735","34,593,052",10,146,1
,"Representation, legislative
and oversight services","545,993,330","72,505,356","473,487,974",13,146,1
,"County assembly service
board","553,767,588","48,093,884","505,673,704",9,146,1
,Sub total,"1,138,150,705","124,395,975","1,013,754,730",11,146,1
County Executive,"Administration, planning and
support services","417,407,288","34,198,109","383,209,179",8,146,1
,Office of the county secretary,"36,100,000","172,300","35,927,700",0,146,1
,Legal Services,"20,700,000","150,000","20,550,000",1,146,1
,Communication services,"24,250,000","462,400","23,787,600",2,146,1
,Special programmes,"6,850,000","1,387,370","5,462,630",20,146,1
,Public private partnership,"2,500,000",-,"2,500,000",-,146,1
,Advisory services,"3,350,000",-,"3,350,000",-,146,1
,County public service board,"34,096,000","3,265,040","30,830,960",10,146,1
,Sub total,"545,253,288","39,635,219","505,618,069",7,146,1
,"Administration, planning and
support services","567,711,999","145,582,648","422,129,351",26,146,1
,Devolved units services,"59,464,165","74,800","59,389,365",0,146,1
"Administration,
cooperate services
and stakeholder
management","Human Resource
development","10,060,000","699,000","9,361,000",7,147,0
,Enforcement services,"13,100,000",-,"13,100,000",-,147,0
,Stakeholder management,"8,308,809","650,100","7,658,709",8,147,0
,"Public participation and civic
education.","12,950,000","569,055","12,380,945",4,147,0
,Disaster management.,"34,070,000","163,100","33,906,900",0,147,0
,Sub total,"705,664,973","147,738,703","557,926,270",21,147,0
,"Administration, coordination
and support services","971,177,878","121,313,064","849,864,814",12,147,0
,"Public financial management
services","80,775,000","1,702,120","79,072,880",2,147,0
"Finance and
economic
planning",County planning services,"190,670,076","20,481,400","170,188,676",11,147,0
,Sub total,"1,242,622,954","143,496,584","1,099,126,370",12,147,0
,"Administrative and support
services","709,652,585","12,564,634","697,087,951",2,147,0
,"Crop development and value
addition","194,910,085",-,"194,910,085",-,147,0
"Agriculture,
livestock, fisheries
and cooperative
development",Livestock development,"23,250,000","2,341,000","20,909,000",10,147,0
,Veterinary services,"175,000,000","21,246,500","153,753,500",12,147,0
,"Cooperative development and
management","2,250,000",-,"2,250,000",-,147,0
,Fisheries development,"48,000,000",-,"48,000,000",-,147,0
,"Kisii agricultural training
centre","9,250,000",-,"9,250,000",-,147,0
,Sub total,"1,162,312,670","36,152,134","1,126,160,536",3,147,0
,"Administration and planning
services","130,156,579","325,620","129,830,959",-,147,0
,Water and sanitation services,"260,750,000","100,000","260,650,000",-,147,0
"Energy, water,
environment and
natural resources",Environment management,"22,000,000",-,"22,000,000",-,147,0
,Energy services,"8,550,000",-,"8,550,000",,147,0
,Sub total,"421,456,579","425,620","421,030,959",0.1,147,0
,"General administration and
planning services","613,439,043","45,822,720","567,616,323",7,147,0
,"Early childhood development
education","43,184,441",-,"43,184,441",-,147,0
"Education, labour
and manpower
development",Vocational training,"163,643,298","51,207,559","112,435,739",31,147,0
,Sub total,"820,266,782","97,030,279","723,236,503",12,147,0
,Medical services,"4,057,930,441","467,977,296","3,589,953,145",12,147,0
,Public health,"35,950,000","363,000","35,587,000",1,147,0
Health Services,Sub total,"4,093,880,441","468,340,296","3,625,540,145",11,147,0
,"Administration, planning and
support services","75,985,904","5,543,800","70,442,104",7,147,0
,Land use services,"108,300,000","16,500,000","91,800,000",15,147,0
"Lands, Physical
Planning
and Urban
Development",Urban development,"37,456,610",-,"37,456,610",,147,0
,Sub total,"221,742,514","22,043,800","199.698,714",10,147,0
,"General administration and
planning services","109,395,000","732,000","108,663,000",1,147,0
,Roads development,"877,152,456","55,971,442","821,181,014",6,147,0
"Roads ,public
works, transport
and housing",Public works,"69,590,000","507,531","69,082,469",1,147,0
,Housing services,"5,800,000",-,"5,800,000",,147,0
,Sub total,"1,061,937,456","57,210,973","1,004,726,483",5,147,0
,"Administration and planning
services","204,322,306",,"204,322,306",,147,0
,Tourism services,"8,357,000","1,223,695","7,133,305",1,147,0
