Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance,Absorption (%),page_number,table_index
Office of the Governor,,,,,,156,0
General Admin & planning,General admin & planning,"651,350,000","57,945,800","593,404,200",8.9,156,0
National social safety net,National social safety net,"216,000,000",-,"216,000,000",-,156,0
Cabinet affairs,Cabinet affairs,"68,650,000",-,"68,650,000",-,156,0
Public financial management,Public financial management,"39,300,000","367,000","38,933,000",0.9,156,0
Human resource,Human resource,"130,000,000",-,"130,000,000",-,156,0
,Sub total,"1,105,300,000","58,312,800","1,046,987,200",5.3,156,0
Administration And Co-ordination Of County Affairs,,,,,,156,0
"General admin & support
services","general admin & support
services","141,742,844","1,153,800","140,589,044",0.8,156,0
"County govt. admin &field
services","county govt. admin & field
services","159,865,800",-,"159,865,800",-,156,0
Devolution service,devolution services,"184,304,835","7,055,970","177,248,865",3.8,156,0
,Sub total,"485,913,479","8,209,770","477,703,709",1.7,156,0
"Agriculture, Water And Livestock Development",,,,,,156,0
"General admin& support
services","General admin & support
services","272,705,589","96,859,503","175,846,086",35.5,156,0
"Crop Development &
management","Crop Development &
management","356,633,503","8,598,285","348,035,218",2.4,156,0
"Agribusiness and Information
management","Agribusiness and Information
management","71,898,920",-,"71,898,920",-,156,0
"Agricultural extension services
and training","Agricultural extension
services and training","59,270,192","479,000","58,791,192",0.8,156,0
"Irrigation and drainage
infrastructure","Irrigation and drainage
infrastructure","4,166,957",-,"4,166,957",-,156,0
"Fisheries development
&management","Fisheries development
&management","3,345,407",-,"3,345,407",-,156,0
"Livestock resource
management and development","Livestock resource
management and development","95,585,101",-,"95,585,101",-,156,0
Water resource management,Water resource management,"839,271,740","73,781,830","765,489,910",8.8,156,0
,Sub total,"1,702,877,409","179,718,618","1,523,158,791",10.6,156,0
"Basic Education, ICT and Youth Development",,,,,,156,0
"General admin & support
services","General admin & support
services","53,618,957","130,869","53,488,088",0.2,156,0
Primary education,Primary education,"293,389,582","89,211,577","204,178,005",30.4,156,0
"ICT infrastructure
development","ICT infrastructure
development","17,276,000",-,"17,276,000",-,156,0
"Youth training and
development","Youth training and
development","186,215,461","102,200","186,113,261",0.1,156,0
Quality assurance &standard,Quality assurance &standard,"4,000,000",-,"4,000,000",-,156,0
,Sub total,"554,500,000","89,444,646","465,055,354",16.1,156,0
"Lands, Infrastructure and Urban Development",,,,,,156,0
"General admin & support
services","General admin & support
services","149,892,862","130,869","149,761,993",0.1,156,0
Lands policy & planning,Lands policy & planning,"120,115,618","89,211,577","30,904,041",74.3,156,0
"Housing development and
human settlement","Housing development and
human settlement","46,625,432",-,"46,625,432",-,156,0
Government buildings,Government buildings,"34,986,959","102,200","34,884,759",0.3,156,0
Road transport,Road transport,"655,795,622",-,"655,795,622",-,156,0
,Sub total,"1,007,416,493","89,444,646","917,971,847",8.9,156,0
County Ministry Of Health And Sanitation,,,,,,156,0
"General admin & planning and
support services","General admin& planning and
support services","261,119,388","50,365,040","210,754,348",19.3,156,0
Maternal and child health,Maternal and child health,"569,536,122","400,000,000","169,536,122",70.2,157,0
"Preventive and promotive
health services","Preventive and promotive
health services","46,111,946","46,070,937","41,009",99.9,157,0
Curative health services,Curative health services,"2,546,443,704","600,169,900","1,946,273,804",23.6,157,0
,Sub total,"3,423,211,160","1,096,605,877","2,326,605,283",32.0,157,0
"Trade, Co-Operatives, & Investment",,,,,,157,0
"General admin & planning and
support services","General admin & planning
and support services","163,188,948","14,493,119","148,695,829",8.9,157,0
"Trade development and
promotion","Trade development and
promotion","259,061,205","2,797,700","256,263,505",1.1,157,0
"Cooperative development and
management","Cooperative development and
management","367,749,847","27,643,356","340,106,491",7.5,157,0
,Sub total,"790,000,000","44,934,175","745,065,825",5.7,157,0
Environment And Natural Resources,,,,,,157,0
"General admin & planning and
support services","General admin & planning
and support services","49,229,664","790,800","48,438,864",1.6,157,0
Environment management,Environment management,"56,217,263",-,"56,217,263",-,157,0
"Power transmission and
distribution","Power transmission and
distribution","6,696,737",-,"6,696,737",-,157,0
"Alternative energy
technologies","Alternative energy
technologies","39,440,491",-,"39,440,491",--,157,0
Mineral resources management,"Mineral resources
management","73,397,833",-,"73,397,833",-,157,0
,Sub total,"224,981,988","790,800","224,191,188",0.4,157,0
Tourism Sports And Culture,,,,,,157,0
"General admin & planning and
support services","General admin & planning
and support services","31,515,541","388,000","31,127,541",1.2,157,0
"Tourism development and
promotion","Tourism development and
promotion","81,697,763","33,550","81,664,213",-,157,0
Sports,Sports,"58,920,097",-,"58,920,097",-,157,0
Culture,Culture,"8,645,438",-,"8,645,438",-,157,0
Gender,Gender,"30,963,840",,"30,963,840",-,157,0
"Social development and
children services","Social development &
children services","12,960,741",-,"12,960,741",-,157,0
,Sub total,"224,703,420","421,550","224,281,870",0.2,157,0
County Treasury,,,,,,157,0
"General admin & planning and
support services","General admin & planning
and support services","187,301,775","39,381,265","147,920,510",21.0,157,0
"economic policy & national
planning","economic policy & national
planning","84,217,800","67,754,919","16,462,881",80.5,157,0
"monetary & evaluation
services","monetary & evaluation
services","15,951,327","677,249","15,274,078",4.2,157,0
public financial management,public financial management,"223,969,225","27,693,626","196,275,599",12.4,157,0
,Sub total,"511,440,127","135,507,059","375,933,068",26.5,157,0
County Public Service Board,,,,,,157,0
"General admin & planning and
support services","General admin & planning
and support services","20,557,341","250,374","20,306,967",1.2,157,0
"Human resource management
and development","Human resource
management and
development","25,508,711",-,"25,508,711",-,157,0
Governance and county values,"Governance and county
values","7,368,065",-,"7,368,065",-,157,0
,Sub total,"53,434,117","250,374","53,183,743",0.5,157,0
County Assembly,,,,,,157,0
"General admin & planning and
support services","General admin & planning
and support services","833,248,915","58,342,529","774,906,386",7.0,157,0
