Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance (Kshs.),Absorption Rate (%),page_number,table_index
Finance And Economic Planning,,,,,163,1
"Budget formulation, coordination and management","68,737,842","13,851,607","54,886,235",20.2,163,1
General Administration,"317,774,830","56,605,070","261,169,760",17.8,163,1
Revenue Collection Management,"41,631,598","3,716,402","37,915,196",8.9,163,1
Public Finance and Accounting Services,"8,720,016","1,581,100","7,138,916",18.1,163,1
Procurement Services,"5,285,680","357,860","4,927,820",6.8,163,1
Risk Assurance Services,"15,361,200","511,450","14,849,750",3.3,163,1
TOTAL,"457,511,166","76,623,489","380,887,677",16.7,163,1
"Agriculture, Livestock & Fisheries",,,,-,163,1
General Administration and Support Services,"342,400,774","41,370,530","301,030,244",12.1,163,1
Crop Production & Food Security,"71,951,000","238,200","71,712,800",0.3,163,1
Dairy and Meat Production,"34,451,000","141,500","34,309,500",0.4,163,1
Fish Production Management,"39,151,000","25,348","39,125,652",0.1,163,1
Livestock Disease Control,"41,700,000",-,"41,700,000",-,163,1
"Farm Land Utilization, Mechanization & Crop
Storage","43,812,436","391,072","43,421,364",0.9,163,1
"Agricultural Extension, Research & Training","22,480,000",-,"22,480,000",-,164,0
TOTAL,"595,946,210","42,166,650","553,779,560",7.1,164,0
"Land, Environment, Mining and Natural
Resources",,,,-,164,0
General administration and Support Services,"22,612,904","1,833,929","20,778,975",8.1,164,0
Personnel Services,"25,581,648","9,330,535","16,251,113",36.5,164,0
Physical development plans,"57,000,000","3,767,050","53,232,950",6.6,164,0
Establishment of squatter settlement schemes,"16,993,332",-,"16,993,332",-,164,0
"Identification and acquisition of land for
development","10,000,000",-,"10,000,000",-,164,0
County Environmental Awareness Initiative,"16,750,000","3,000","16,747,000",0.02,164,0
Kwale municipality,"62,500,000",,"62,500,000",-,164,0
Diani Municipality,"38,800,000",,"38,800,000",-,164,0
TOTAL,"250,237,884","14,934,514","235,303,370",6.0,164,0
Health Services,,,,-,164,0
General Administration,"352,942,172","19,434,303","333,507,869",5.5,164,0
Medical Drugs,"216,533,928","25,783,043","190,750,885",11.9,164,0
HMIS,"7,500,000",-,"7,500,000",-,164,0
Personnel Services,"1,389,966,114","126,472,875","1,263,493,239",9.1,164,0
Msambweni Hospital,"15,108,000","259,000","14,849,000",1.7,164,0
Kinango Hospital,"23,295,000","118,315","23,176,685",0.5,164,0
Kwale Hospital,"27,974,800","272,345","27,702,455",1.0,164,0
