Programme,Sub- Programme,"Estimated Budget
(Ksh)","Actual Payments
(Ksh)",Variance,"Absorption
(%)",page_number,table_index
"General Administration
Services",Headquarter Administration Services,"23,056,602","9,410,680","13,645,922",41,170,1
,"Agriculture Sector Extension
Management","8,312,612","187,800","8,124,812",2,170,1
"Livestock Resources
Management and
Development","SP2 Livestock Production and
Management","500,000",-,"500,000",-,170,1
,"SP4 Animal Health and Disease
Management and Control","514,500",-,"514,500",-,170,1
"Fisheries Productivity
Program","Promotion of Irrigation and Drainage
Development and Management","300,000",-,"300,000",-,170,1
"Physical Planning and
Survey",Physical Planning and Survey,"580,000",-,"580,000",-,170,1
"Land and Housing
Management",Housing improvement,"425,000",-,"425,000",-,171,0
"Public Works Service
Delivery Improvement",Office development,"443,000",-,"443,000",-,171,0
"Road Network
Improvement Housing
and Urban Development",Road network Improvement,"149,000",-,"149,000",-,171,0
,Urban Development,"4,400,000",-,"4,400,000",-,171,0
"Crop Development and
Management","Land and Crop Productivity
Enhancement and Management","500,000",-,"500,000",-,171,0
,"Irrigation Development and
management","175,000",-,"175,000",-,171,0
"County Renewable/Green
Energy Services","County renewable/Green energy
services","325,000",-,"325,000",-,171,0
"Administration, Planning
and Support Services",Administration Services,"1,000,000",-,"1,000,000",-,171,0
,Personnel Services,"1,375,000","1,460,000","(85,000)",106,171,0
,Policy Development,"250,000",-,"250,000",-,171,0
"Trade Development and
Promotion",Metrological Lab-weights and measures,"250,000",-,"250,000",-,171,0
,"Industrial Development and Investment
Promotion","950,000",-,"950,000",-,171,0
,Informal Sector Development,"45,000",-,"45,000",-,171,0
"Tourism Development
and Promotion",Tourism Promotion and Marketing,"750,000",-,"750,000",-,171,0
"Preventive & Promotive
Health Services",Strategic Health Interventions,"6,872,274",-,"6,872,274",-,171,0
,"Emergency Referral and Rehabilitative
Services","60,234,104","7,785,236","52,448,868",13,171,0
,"Essential Health Institutions and
Services","17,500,000",-,"17,500,000",-,171,0
"General Administrative &
Planning Services","Administration ,Project Planning and
Implementation Services","5,500,000","3,349,994","2,150,006",61,171,0
,"Health policy, governance, planning and
financing","25,000",-,"25,000",-,171,0
"Preventive Health
Services","Community health Strategy, Advocacy
and surveillance","6,140,625",-,"6,140,625",-,171,0
"Information
Communication and
Technology",Infrastructure Improvement,"1,250,000",-,"1,250,000",-,171,0
"Sports, Arts and Social
Services",Social and Cultural Development,"1,375,000",-,"1,375,000",-,171,0
Education and Training,Vocational Education and Training,"1,950,250",-,"1,950,250",-,171,0
,Education Empowerment,"1,719,198",-,"1,719,198",-,171,0
"General Administration
Planning and Support
Services",County Administration-Laikipia East,"1,000,000","500,000","500,000",50,171,0
,County Administration-Laikipia West,"750,000",-,"750,000",-,171,0
,County Administration-Laikipia North,"500,000",-,"500,000",-,171,0
,Compensation to employee,"637,818,751","556,265,984","93,673,165",85,171,0
County Administration,County Administration Management,"3,625,000","2,356,700","1,268,300",65,171,0
,Public participation,"1,000,000",-,"1,000,000",-,171,0
,Decentralized Services,"750,000",-,"750,000",-,171,0
,"County services delivery and result
reporting","1,149,972",-,"1,149,972",-,171,0
"Public Safety, Enforce
and Disaster Management",Disaster Reduction Management,"1,250,000",-,"1,250,000",-,171,0
,Fire Services,"1,250,000",-,"1,250,000",-,171,0
,Enforcement And Disaster Management,"1,750,000",-,"1,750,000",-,171,0
,Alcohol Control Committee,"1,000,000",-,"1,000,000",-,171,0
"Departmental
Administrative Services/
Centralized Services",Supply chain management services,"1,925,000","317,500","1,607,500",16,171,0
,Revenue collection services,"9,750,000","9,031,400","718,600",93,171,0
Financial Services,Accounting and Reporting Services,"4,375,000","987,250","3,387,750",23,171,0
"Monitoring and
Evaluation Services","National Integrated Monitoring and
Evaluation","9,475,000","3,194,100","6,280,900",34,171,0
