Department,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance,Absorption (%),page_number,table_index
"COUNTY ASSEMBLY
OF MARSABIT
OPERATIONAL &
OVERSIGHT",Operations and Oversight,"698,316,313","32,469,814","665,846,498",5,201,0
"PHYSICAL
PLANNING AND
DEVELOPMENT",Urban Development Services,"118,750,000","3,482,560","115,267,440",3,201,0
,"Lands and Physical Planning
Services","95,000,000","5,665,850","89,334,150",6,201,0
,"General administration planning
and Support Services","142,597,500","17,960,964","124,636,535",13,201,0
,Sub total,"356,347,500","27,109,374","329,238,125",8,201,0
EDUCATION,"General Administration, Planning
and Support Services","289,493,916","57,018,394","232,475,521",20,201,0
,Pre – Primary Education,"146,150,000","2,897,030","143,252,970",2,201,0
,Youth Development,"75,930,000",-,"75,930,000",-,201,0
,Vocational Education and Training,"17,058,298",-,"17,058,298",-,201,0
,Sports,"69,110,000",-,"69,110,000",-,201,0
,Sub total,"597,742,214","59,915,424.48","537,826,789.52",10,201,0
"EXECUTIVE
SERVICES","General Administration, Planning
and Support Services","330,000,000","142,540,680","187,459,320",43,201,0
,Management of County Affairs,"535,857,842","184,784,781","351,073,060.40",34,201,0
,Public Sector Advisory Services,"59,000,000","24,143,460","34,856,540",41,201,0
,Inter/Intra Governmental,"25,000,000","10,996,000","14,004,000",,201,0
,County Legal Services,"25,000,000","1,700,000","23,300,000",7,201,0
,Sub total,"974,857,842","364,164,922","610,692,920",37,201,0
"ADMINISTRATION
AND ICT","General administration planning
and Support Services","279,809,768","68,535,486","211,274,281",24,201,0
,ICT infrastructure,"6,200,000",-,"6,200,000",-,201,0
,"Coordination of functions of
devolved Units","17,500,000","3,505,400","13,994,600",20,201,0
,"Public Participation and Civic
Education","3,000,000",-,"3,000,000",,201,0
,Sub total,"306,509,768","72,040,886","234,468,881",24,201,0
"AGRICULTURE
AND LIVESTOCK
DEVELOPMENT","General Administration, Planning
and Support Services","90,580,444","38,492,577","52,087,866",42,201,0
,"Livestock Resources Management
and Development","139,322,786","113,378","139,209,408",-,201,0
,"Fisheries Development and
Management","82,206,450",,"82,206,450",-,201,0
,"Crop Development and
Management","349,666,188",-,"349,666,188",,201,0
,Sub total,"661,775,868","38,605,955","623,169,912",6,201,0
HEALTH SERVICES,Curative Health Services,"229,000,000",,"229,000,000",-,201,0
,"General Administration, Planning
and Support Services","1,783,535,526","303,655,335","1,479,880,190",17,201,0
,Maternal and Child Health,"10,000,000",-,"10,000,000",-,201,0
,Sub total,"2,022,535,526","303,655,335","1,718,880,190",15,201,0
