Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance,"Absorption
(%)",page_number,table_index
County Executive,\,,,,,256,1
"General Administration and
Support Services",General Administration Planning,"353,185,993","77,569,940","275,616,053",22,256,1
,Sub total,"353,185,993","77,569,940","275,616,053",22,256,1
Physical Infrastructure,Construction of Governor's offices,"20,780,655",-,"20,780,655",-,256,1
,Sub total,"20,780,655",-,"20,780,655",-,256,1
"Finance and Economic
Planning",\,,,,,256,1
"General Administration and
Support Services",General Administration Planning,"363,522,915","113,098,776","250,424,139",31.1,256,1
,Sub total,"363,522,915","113,098,776","250,424,139",31.1,256,1
"Revenue Enhancement and
Infrastructure","Revenue Collection and
Management Phase 1","42,139,914",-,"42,139,914",-,256,1
,Sub total,"42,139,914",-,"42,139,914",-,256,1
"Devolved Units and Special
Programmes",\,,,,,256,1
"Administration and Support of
Human Resources",Administration and Support Services,"553,657,040","107,369,985","446,287,054",19.4,256,1
,ICT Support Services,"9,667,014",-,"9,667,014",-,256,1
,Sub total,"563,324,054","107,369,985","455,954,068",19.1,256,1
County Administrative Services,"Urban Planning, Investment and
Research","171,371,115",-,"171,371,115",-,256,1
,Sub total,"171,371,115",-,"171,371,115",-,256,1
Health and Sanitation,\,,,,,256,1
"Health Service and Delivery
Administration Services","Health Service and Delivery
Administration Services","1,216,884,321","304,749,902","912,134,419",25.0,256,1
,Physical Planning,"415,563,515",-,"415,563,515",-,256,1
,Sub total,"1,632,447,836","304,749,902","1,327,697,934",18.7,256,1
"Preventive and Promotive Health
Services",Community Health Services,"553,721,800","106,167,938","447,553,862",19.2,256,1
,Sub total,"553,721,800","106,167,938","447,553,862",19.2,256,1
Curative Health Services,"Curative Health Management
Services","411,942,186","23,992,625","387,949,561",5.8,256,1
,Sub total,"411,942,186","23,992,625","387,949,561",5.8,256,1
"Health Sector Programme
Support (DANIDA FUNDS)","County Health Facility Support
(DANIDA)","16,031,250",-,"16,031,250",-,256,1
,Sub total,"16,031,250",-,"16,031,250",-,256,1
"Agriculture, Livestock and
Fisheries",\,,,,,257,0
"Administration and General
Support of Human Resources",Administration and Support Services,"248,618,698","52,127,571","196,491,127",21,257,0
,Sub total,"248,618,698","52,127,571","196,491,127",21,257,0
"Crop Development and
Management",Land and Crops Development,"367,500,000","50,000,000","317,500,000",13.6,257,0
,"Value addition to Agriculture
Products","6,000,000",-,"6,000,000",-,257,0
,Sub total,"373,500,000","50,000,000","323,500,000",13.4,257,0
"Livestock Resources
Management and Development","Livestock Production and
Management","340,936,485",-,"340,936,485",-,257,0
,Sub total,"340,936,485",-,"340,936,485",-,257,0
"Tourism, Culture and
Cooperative Development",\,,,,,257,0
"General Administration and
Planning",General Administration and Planning,"33,694,961","39,600","33,655,361",0.1,257,0
,Sub total,"33,694,961","39,600","33,655,361",0.1,257,0
"Tourism Development and
Promotion","Niche Tourism Product Development
and Diversification","3,199,049","50,000","3,149,049",1.6,257,0
,Sub total,"3,199,049","50,000","3,149,049",1.6,257,0
Culture,Conservation of Heritage,"1,450,000",-,"1,450,000",-,257,0
,"Development and Promotion of
Culture","63,429,479",-,"63,429,479",-,257,0
,Sub total,"64,879,479",-,"64,879,479",-,257,0
"Youth, Gender and Social
Services",\,,,,,257,0
"General Administration and
Planning",General Administration and Planning,"55,314,856","6,735,707","48,579,149",12.2,257,0
,Sub total,"55,314,856","6,735,707","48,579,149",12.2,257,0
Sports Development,Sports Activities and Programmes,"105,037,355",-,"105,037,355",-,257,0
,Sub total,"105,037,355",-,"105,037,355",-,257,0
Gender,"Gender Mainstreaming, Intervention
and Development","12,500,000",-,"12,500,000",-,257,0
,Sub total,"12,500,000",-,"12,500,000",-,257,0
"Education, Research and
Vocational Training",\,,,,,257,0
"General Administration and
Planning",General Administration and Planning,"242,413,239","72,836,689","169,576,550",30,257,0
,Sub total,"242,413,239","72,836,689","169,576,550",30,257,0
Education,"Early Child Development and
Education","194,560,919",-,"194,560,919",-,257,0
,Sub total,"194,560,919",-,"194,560,919",-,257,0
Youth Training and Development,Revitalization of Youth Polytechnics,"104,459,295",-,"104,459,295",-,257,0
,Sub total,"104,459,295",-,"104,459,295",-,257,0
"Lands, Environment and
Natural Resources",\,,,,,257,0
"General Administration and
Planning",General Administration and Planning,"78,329,251","5,693,223","72,636,028",7.3,257,0
,Sub total,"78,329,251","5,693,223","72,636,028",7.3,257,0
Land Adjudication,"Demarcation and Survey of
Community Land","25,000,000",-,"25,000,000",-,257,0
,Sub total,"25,000,000",-,"25,000,000",-,257,0
"Environmental Conservation and
Protection","Forests Protection and Conservation
of Swamps and Wetlands","10,600,000",-,"10,600,000",-,257,0
,Sub total,"10,600,000",-,"10,600,000",-,257,0
Water Supply,"Development of Water Catchment
Areas and Distribution of Water","502,694,582",-,"502,694,582",-,257,0
,Sub total,"502,694,582",-,"502,694,582",-,257,0
"Roads, Transport and Public
Works",\,,,,,257,0
