Program,Sub Program,Description,Approved Budget,Actual Payments,Variance,"Performance
(%)",page_number,table_index
County Assembly,,,,,,,268,1
101005261,,"Policy Planning, General
Administration and Support
Services","273,745,677","48,130,972","225,614,705",17.6,268,1
,101015260,"General administration and
support services","273,745,677","48,130,972","225,614,705",17.6,268,1
701005261,,"General administration and
support services","72,076,000","21,731,142","50,344,858",30.2,268,1
,701045260,Policy and planning services,"72,076,000","21,731,142","50,344,858",30.2,268,1
708005261,,"Oversight and Management
Services","72,289,000","29,492,100","42,796,900",40.8,269,0
,708015260,"Committees management
services","72,289,000","29,492,100","42,796,900",40.8,269,0
709005261,,"Legislation and
Representation Services","394,996,833","45,649,319","349,347,514",11.6,269,0
,709025260,"Representation and
infrastructural development","394,996,833","45,649,319","349,347,514",11.6,269,0
,,Grand Total,"813,107,510","145,003,533","668,103,977",17.8,269,0
Governor's Office,,,,,,,269,0
Program,Sub Program,Description,Approved Budget,Actual Payments,Variance,Performance (%),269,0
701005262,,"General administration and
support services","548,635,252","71,225,665","477,409,587",13,269,0
,701015260,"General administration
support services","316,270,188","25,611,835","290,658,353",8.1,269,0
,701025260,"Policy development and
support services","232,365,064","45,613,830","186,751,234",19.6,269,0
,,Grand Total,"548,635,252","71,225,665","477,409,587",13,269,0
Department of Finance and Economic Planning,,,,,,,269,0
Program,Sub Program,Description,Approved Budget,Actual Payments,Variance,Performance,269,0
504005263,,"Information and
Communication Technology
Services","15,000,000",-,"15,000,000",-,269,0
,504025260,ICT infrastructural services,"15,000,000",-,"15,000,000",-,269,0
701005263,,"General administration and
support services","206,026,269","30,995,023","175,031,246",15,269,0
,701015260,"General administration
support services","198,500,519","29,716,973","168,783,546",15,269,0
,701025260,"Policy development and
support services","2,740,150","368,500","2,371,650",13.4,269,0
,701035260,Supply chain management,"4,785,600","909,550","3,876,050",19,269,0
702005263,,"Economic Planning,
Budgeting and Co-
ordination Services","108,796,440","8,221,350","100,575,090",7.6,269,0
,702015260,"Economic planning and
coordination","64,903,440","5,289,650","59,613,790",8.2,269,0
,702025260,"Budget formulation and
management","43,893,000","2,931,700","40,961,300",6.7,269,0
704005263,,"County Financial
Management and Control","4,071,280","1,309,000","2,762,280",32.2,269,0
,704025260,Audit services,"4,071,280","1,309,000","2,762,280",32.2,269,0
705005263,,Resource Mobilization,"43,524,022","1,328,800","42,195,222",3.1,269,0
