Programme,Sub- Programme,"Approved Budget
(Ksh)","Actual Pay-
ments (Ksh)",Variance,"Absorption
(%)",page_number,table_index
County Public Service Board,County Public Service Board,"12,550,000",-,"12,550,000",-,278,1
Sub Total,,"12,550,000",-,"12,550,000",-,278,1
"General administration, planning and
support services",Service Delivery Unit,"12,480,000","1,404,650","11,075,350",11.3,278,1
,"Governor's Office & Investment
Promotion","76,432,000","13,792,951","62,639,049",18.0,278,1
,"Liaison and Intergovernmental
Relations","23,203,558","1,311,530","21,892,028",5.7,278,1
,"Civic Education and Public
Participation","8,000,000","1,042,817","6,957,183",13.0,278,1
Sub total,,"120,115,558","17,551,948","102,563,610",14.6,278,1
County Secretary,County Secretary-Administration,"7,788,205","1,346,960","6,441,245",17.3,278,1
,"Communication and Public
Relations","11,388,144","428,850","10,959,294",3.8,278,1
,Cabinet Affairs,"724,000","130,500","593,500",18.0,278,1
Human Resource Management,"Payroll (Including Compensation
to employees)","1,904,310,000","452,029,819","1,452,280,181",23.7,278,1
,"Human Resource Management
(Including employee gratuity,
pension and medical insurance)","108,650,100","332,400","108,317,700",0.3,278,1
Sub Total,,"2,032,860,449","454,268,529","1,578,591,920",22.3,278,1
County Attorney Services,legal and public affairs,"15,280,000","2,605,660","12,674,340",17.1,279,0
Sub Total,,"15,280,000","2,605,660","12,674,340",17.1,279,0
Public Finance Management,County Funds,"220,400,000",-,"220,400,000",-,279,0
,County Pending Bills,"40,000,000",-,"40,000,000",-,279,0
,treasury services,"295,891,970","2,440,688","293,451,282",0.8,279,0
,Financial reporting,"3,225,000","747,620","2,477,380",23.2,279,0
,"Revenue Collection and Adminis-
tration (Including automation)","27,000,000","3,557,285","23,442,715",13.2,279,0
,"Revenue Enhancement and
Monitoring","12,203,825","2,749,540","9,454,285",22.5,279,0
,Supply Chain Management,"5,750,000","1,352,705","4,397,295",23.5,279,0
,"Internal Audit and Risk Man-
agement","11,620,000","2,280,475","9,339,525",19.6,279,0
Economic planning and development,County Budgeting,"10,300,000","2,308,036","7,991,964",22.4,279,0
,County Statistics and Data Bank,"4,950,000","1,162,100","3,787,900",23.5,279,0
,Monitoring and Evaluation,"3,650,000","618,000","3,032,000",16.9,279,0
,"Economic Modelling and
Research","4,900,000","1,121,760","3,778,240",22.9,279,0
,"Economic Development Planning
(Including CEKEB)","10,400,000","2,288,611","8,111,389",22.0,279,0
Sub Total,,"650,290,795","20,626,820","629,663,975",3.2,279,0
Public administration,Public Administration,"6,955,700","849,530","6,106,170",12.2,279,0
,"sub-county and ward adminis-
tration","31,614,394","4,586,254","27,028,140",14.5,279,0
,Enforcement and Compliance,"4,410,000","705,900","3,704,100",16.0,279,0
ICT and E-government Services,ICT and E-government Services,"15,000,000","205,680","14,794,320",1.4,279,0
Sub Total,,"57,980,094","6,347,364","51,632,730",10.9,279,0
Land policy and planning,Physical Planning,"27,893,000","569,900","27,323,100",2.0,279,0
,Survey and Mapping,"15,272,760","1,018,850","14,253,910",6.7,279,0
,"Land Administration and Man-
agement","34,915,000","2,196,800","32,718,200",6.3,279,0
Housing & Urban Development,"Housing & Urban Develop-
ment (Kenya Urban Support
Programme)","159,845,900","136,300","159,709,600",0.1,279,0
Sub Total,,"237,926,660","3,921,850","234,004,810",1.6,279,0
Road transport,"Transport (Including fuel level,
General Administration & Sup-
port Services)","559,169,781","5,638,430","553,531,351",1.0,279,0
,Public Works,"161,677,400","1,150,880","160,526,520",0.7,279,0
Alternative energy technologies,alternative energy technologies,"33,944,000","1,559,100","32,384,900",4.6,279,0
"General administration, planning and
support services","Emergency Response & Prepar-
edness","5,000,000","874,905","4,125,095",17.5,279,0
Sub Total,,"759,791,181","9,223,315","750,567,866",1.2,279,0
Primary education,ECDE,"104,264,000","4,747,090","99,516,910",4.6,279,0
Youth training and development,revitization of youth polytechnics,"52,723,112","30,004","52,693,108",0.1,279,0
"Gender Affairs and Social Services &
youth empowerment","Gender Affairs and Social
Services","25,666,000","2,701,300","22,964,700",10.5,279,0
"General administration, planning and
support services","Alcohol Drinks Control and
Civic Education","3,436,306",,"3,436,306",-,279,0
Culture,"development and promotion of
culture","5,830,000","169,380","5,660,620",2.9,279,0
Sub Total,,"191,919,418","7,647,774","184,271,644",4.0,279,0
Preventive and Promotive Services,"Preventive and Promotive
Services","7,650,000","1,744,630","5,905,370",22.8,279,0
Curative Services,"Curative Services (including uni-
versal health care and grants)","475,755,836","49,127,934","426,627,902",10.3,279,0
"General administration, planning and
support services",Solid Waste and Cemeteries,"7,603,000","1,135,076","6,467,924",14.9,279,0
,Infrastructure and Equipment,"110,000,000",-,"110,000,000",-,279,0
Sub total,,"601,008,836","52,007,640","549,001,196",8.7,279,0
