Programme,Sub- Programme,"Approved Budget
(Ksh)","Actual Payments
(Ksh)",Variance,Absorption (%),page_number,table_index
"Management and Co-ordination of
county affairs
Office of the Governor and Deputy
Governor
Coordination of County Functions
and Public Service Management
Community sensitization, education
and public participation
Office of the County Secretary
Revenue Mobilization","Administration, planning and
support services","193,320,638","15,275,298","178,045,340",7.9,285,1
,Management of county affairs,"2,100,000",-,"2,100,000",-,285,1
,,"195,420,638","15,275,298","180,145,340",7.8,285,1
,"Administration, planning and
support services","218,556,582","16,897,099","201,659,483",7.7,285,1
,County publicity campaign,"1,000,000",-,"1,000,000",-,285,1
,,"219,556,582","16,897,099","202,659,483",7.7,285,1
,Revenue Mobilization,"34,495,000","454,300","34,040,700",1.3,285,1
Executive services,"Administration and personnel
services","494,105,163","52,165,310","441,939,853",10.6,285,1
Economic Planning,Monitoring and Evaluation,"4,000,000","258,300","3,741,700",6.5,285,1
"Public Finance Management
Economic Planning and Policy
Formulation
Finance and Economic Planning
Physical planning services
Land Policy and Planning
Housing Development and Human
Settlement
Lands, Physical Planning, Housing
and Urbanization
Adminstration, Planning and Gener-
al Support Services
Health Services",Financial Accounting,"12,350,000","2,124,044","10,225,956",17.2,285,1
,"Procurement Compliance and
Reporting","9,000,000","135,670","8,864,330",1.5,285,1
,Internal Audit services,"9,980,000","958,900","9,021,100",9.6,285,1
,"Economic Planning and Policy
Formulation","13,320,000","1,713,174","11,606,826",12.9,285,1
,,"577,250,163","57,809,698","519,440,465",10.0,285,1
,"Administration and personnel
services","35,864,671","10,312,257","25,552,414",28.8,285,1
,"Formulation of county spatial
planning laws","2,000,000",-,"2,000,000",-,285,1
,Land Policy Formulation,"404,776,651",-,"404,776,651",-,285,1
,Government Building,"4,920,290",-,"4,920,290",-,285,1
,,"447,561,612","10,312,257","437,249,355",2.3,285,1
,"Adminstration, Planning and
General Support Services","2,695,241,891","571,473,233","2,123,768,658",21.2,285,1
,Health Services,"174,110,480","36,074,990","138,035,490",20.7,285,1
,,"2,869,352,371","607,548,223","2,261,804,148",21.2,285,1
"General Administration and Plan-
ning services","Administration and personnel
services","54,547,408","8,746,270","45,801,138",16,285,1
