Row Labels,"Sum of Printed Es-
timate Kshs","Sum of Cumulative
Expenditure Kshs",Sum of Variance Kshs,"Sum of Absorption
(%)",page_number,table_index
P: Kenya Devolution Support Programme,"38,263,000","181,460","38,081,540",0.47,321,0
SP: Tharaka Nithi KDSP Capacity Building,"38,263,000","181,460","38,081,540",0.47,321,0
P: Cooperatives Development,"263,542,592",-,"263,542,592",-,321,0
SP: Cooperatives Development,"263,542,592",-,"263,542,592",-,321,0
P: County Assembly Services,"400,000",-,"400,000",-,321,0
SP: County Assembly Services,"400,000",-,"400,000",-,321,0
"P: County Government Administration and Field
Services","318,565,423","52,963,492","265,601,931",16.6,321,0
SP: Field Services and Administration,"3,850,000",-,"3,850,000",-,321,0
SP: General Administrative Services,"118,531,973","26,839,880","91,692,093",22.6,321,0
SP: Human Resource Management Services,"196,183,450","26,123,612","170,059,838",13.3,321,0
P: County Government Advisory Services,"20,960,740",-,"20,960,740",-,321,0
SP: Communication and Strategy,"11,544,500",-,"11,544,500",-,321,0
SP: Disaster Management and Coordination,"3,100,000",-,"3,100,000",-,321,0
"SP: Public Sector Advisory Services [Legal, Political
&Economic Advisors]","6,316,240",-,"6,316,240",-,321,0
P: County Leadership and Coordination of CDAs,"21,175,250","901,600","20,273,650",4.3,321,0
"SP: Coordination and Supervisory Services (D/Gover-
nor's Office)","21,175,250","901,600","20,273,650",4.3,321,0
P: Crop Development and Management,"7,137,000",-,"7,137,000",-,321,0
"SP: Crop Development, Agribusiness and Market Devel-
opment","7,137,000",-,"7,137,000",-,321,0
"P: Culture, Arts and Social Services","6,505,248",-,"6,505,248",-,321,0
SP: Culture and Arts Promotion,"5,870,124",-,"5,870,124",-,321,0
"SP: Gender, PWDs and Social Services","635,124",-,"635,124",-,321,0
P: Curative and Rehabilitative Services,"198,400,000","36,509,978","161,890,022",18.4,321,0
SP: Laboratory Services,"45,000,000",-,"45,000,000",-,321,0
SP: Medical Supplies,"153,400,000","36,509,978","116,890,022",23.8,321,0
P: Education and Youth Training,"87,441,540","46,200","87,395,340",0.1,321,0
SP: Promotion of Basic Education (ECDE),"51,437,760","46,200","51,391,560",0.1,321,0
SP: Youth Training and Capacity Building,"36,003,780",-,"36,003,780",-,321,0
P: Energy Resource Development & Management,"24,461,000",-,"24,461,000",-,321,0
SP: Energy Resource Development & Management,"24,461,000",-,"24,461,000",-,321,0
P: Financial Management Services,"12,480,000","849,360","11,630,640",6.8,321,0
SP: Accounting Services,"4,600,000","93,900","4,506,100",2,321,0
SP: Audit Services,"5,400,000","595,000","4,805,000",11,321,0
"SP: Procurement and Supply Chain Management Ser-
vices","2,480,000","160,460","2,319,540",6.5,321,0
"P: General Administration, Planning & Liquor Licens-
ing & Management","97,846,804","20,523,215","77,323,589",21,321,0
"SP: General Administration, Planning & Liquor Licens-
ing & Management","97,846,804","20,523,215","77,323,589",21,321,0
"P: General Administration, Planning and Support
Services","2,085,316,202","414,077,458","1,671,238,744",19.9,321,0
"SP: Administration, Policy, Strategy and Management of
Agriculture","91,263,688","27,425,050","63,838,638",30.1,321,0
SP: General administration,"330,474,894","6,474,557","324,000,337",2,321,0
