Programme S,ub- Programme,Approved Budget (Ksh),Actual Payments (Ksh),Variance,Absorption (%),page_number,table_index,Programme,Sub- Programme
"Agriculture ,Livestock, Fisheries and Co-operative Development",,,,,,327,1,,
"Administrative and sup- A
port services p","dministrative and sup-
ort services","540,603,250","149,141,291","391,461,959",27.6,327,1,,
,,"540,603,250","149,141,291","391,461,959",27.6,328,0,Land Policy and Planning,Land Policy and Planning
,,,,,,328,0,"Trade, Commerce and Industry",
,,"306,232,619","5,001,188","301,231,431",1.6,328,0,"Administrative and sup-
port services","Administrative and sup-
port services"
,,"67,584,302","5,001,188","62,583,114",7.4,328,0,"General Administration Plan-
ning and Support Services","General Administration
Planning and Support Ser-
vices"
,,,,,,328,0,"Water, Environment and Natural Resources",
,,"124,519,375","15,695,079","108,824,296",12.6,328,0,"Administrative and sup-
port services","Administrative and sup-
port services"
,,"124,519,375","15,695,079","108,824,296",12.6,328,0,"General Administration,
Planning and Support Ser-
vices","General Administration,
Planning and Support Ser-
vices"
,,,,,,328,0,"Public Works, Roads and Infrastructure",
,,"210,688,484","15,544,002","195,144,482",7.4,328,0,"Administrative and sup-
port services","Administrative and sup-
port services"
,,"210,688,484","15,544,002","195,144,482",7.4,328,0,"General Administration,
Planning and Support Ser-
vices","General Administration,
Planning and Support Ser-
vices"
,,,,,,328,0,"Lands, Housing and Urban Development",
,,"413,876,147","3,309,391","410,566,756",0.8,328,0,"Administrative and sup-
port services","Administrative and sup-
port services"
,,"383,876,147","3,309,391","380,566,756",0.9,328,0,Land Policy and Planning,Land Policy and Planning
,,,,,,328,0,"Gender, Sports, Culture, Tourism",
,,"106,305,145","2,696,079","103,609,066",2.5,328,0,"Administrative and sup-
port services","Administrative and sup-
port services"
,,"59,055,145","2,696,079","56,359,066",4.6,328,0,Sports,Sports
,,,,,,328,0,Governance and Public Service Management,
,,"423,585,825","17,658,376","405,927,449",4.2,328,0,"Administrative and sup-
port services","Administrative and sup-
port services"
,,"423,585,825","17,658,376","405,927,449",4.2,328,0,"General Administration Plan-
ning and Support Services","General Administration
Planning and Support Ser-
vices"
,,,,,,328,0,Education and ICT,
,,"589,317,813","17,236,068","572,081,745",2.9,328,0,"Administrative and sup-
port services","Administrative and sup-
port services"
,,"589,317,813","17,236,068","572,081,745",2.9,328,0,Primary Education,Primary Education
,,,,,,328,0,Finance and Economic Planning,
,,"708,832,093","57,638,289","651,193,804",8.1,328,0,"Administrative and sup-
port services","Administrative and sup-
port services"
,,"708,832,093","57,638,289","651,193,804",8.1,328,0,"General Administration Plan-
ning and Support Services","General Administration
Planning and Support Ser-
vices"
,,,,,,328,0,County Assembly,
,,"730,114,106","46,682,778","683,431,328",6.4,328,0,"Administrative and sup-
port services","Administrative and sup-
port services"
,,"455,014,106","39,674,078","415,340,028",8.7,328,0,"Gender & Youth Empower-
ment","Gender & Youth Empower-
ment"
,,"155,100,000","7,008,700","148,091,300",4.5,328,0,"Public Service Transforma-
tion","Public Service Transforma-
tion"
,,"2,248,140","648,750","1,599,390",28.9,328,0,General welfare,General welfare
,,"2,248,140","648,750","1,599,390",28.9,328,0,"Gender & Youth Empower-
ment","Gender & Youth Empower-
ment"
,,"118,750,661","747,435","118,003,226",0.6,328,0,,
,,"118,750,661","747,435","118,003,226",0.6,328,0,"General Administration Plan-
ning and Support Services","General Administration
Planning and Support Ser-
vices"
