Program,Sub Program,Approved Budget,Actual Payments,Variance,"Absorption
(%)",page_number,table_index
,"Lands, Energy, Housing and
Urban Areas Management",,,,-,333,1
"General Adminis-
tration and support
services",,"223,875,952","4,991,306","218,884,646",2.2,333,1
Program,Sub Program,Approved Budget,Actual Payments,Variance,"Absorption
(%)",333,1
,Fisheries policies and regulations,"2,893,623",-,"2,893,623",-,335,0
,Fish Farming & Aquaculture,"1,326,350",-,"1,326,350",-,335,0
Veterinary Services,,"68,730,989",-,"68,730,989",-,335,0
,Livestock Health management,"47,204,345",-,"47,204,345",-,335,0
,Veterinary public health,"2,200,000",-,"2,200,000",-,335,0
,"Livestock disease control,PDS and
monitoring","3,526,370",-,"3,526,370",-,335,0
,"Quality enhancement and regu-
lation","800,274",-,"800,274",-,335,0
,Productivity Infrastructure,"15,000,000",-,"15,000,000",-,335,0
Livestock Production,,"90,043,557",-,"90,043,557",-,335,0
,"Development and improvement of
Livestock feeds","17,000,000",-,"17,000,000",-,335,0
,Livestock extension services,"3,000,000",-,"3,000,000",-,335,0
,"Livestock diversification and breed
improvement","4,500,000",-,"4,500,000",-,335,0
,"Development of Livestock Value
Chain, Market Access, Linkages
and Bench marking/ Exposure","20,000,000",-,"20,000,000",-,335,0
,"Productivity Infrastructure and
enhanced skills development","45,543,557",-,"45,543,557",-,335,0
"General Adminis-
tration and support
services",,"545,183,603","108,021,923","437,161,680",19.8,335,0
,"General Administration - Agricul-
ture, Irrigation and Land Recla-
mation","298,799,098","42,468,819","256,330,279",14.2,335,0
,"General Administration and Sup-
port Services-Pastoral Economy
and Fisheries","246,384,505","65,553,104","180,831,401",26.6,335,0
"Agriculture Pro-
gramme",,"69,335,679",-,"69,335,679",-,335,0
,Horticultural Production,"4,476,917",-,"4,476,917",-,335,0
,"Agri-nutrition/Urban & peri-urban
agriculture","1,438,459",-,"1,438,459",-,335,0
,"Smart agriculture practices (Inno-
vations/technologies to mitigate","3,594,058",-,"3,594,058",-,335,0
,"Agricultural Sector Development
Support Programme (ASDSP)","25,346,766",-,"25,346,766",-,335,0
,Agricultural Mechanization,"10,000,000",-,"10,000,000",-,335,0
,Agricultural market Access,"1,647,631",-,"1,647,631",-,335,0
,"Agricultural Extension & Devel-
opment","7,103,287",-,"7,103,287",-,335,0
,Farm Inputs Subsidy & Support,"9,728,561",-,"9,728,561",-,335,0
,Pest Control & Management,"6,000,000",-,"6,000,000",-,335,0
"National Agricultural
& Rural Inclusive
Growth Project (NAR-
IGP)",,"350,000,000",-,"350,000,000",-,335,0
,"National Agricultural & Rural In-
clusive Growth Project (NARIGP)","350,000,000",-,"350,000,000",-,336,0
"Drought Resilience
in Northern Kenya
Programme (DRNKP/
KFW)",,"206,250,000",-,"206,250,000",-,336,0
,"Drought Resilience in Northern
Kenya Programme (DRNKP/KFW)","206,250,000",-,"206,250,000",-,336,0
,"Infrastructure, Transport and
Public Works",,,,-,336,0
"Road Development
and Maintenance",,"456,103,123","948,521","455,154,602",0.2,336,0
,Gravel rural roads,"5,000,000",-,"5,000,000",-,336,0
,Road Designs system and software,"1,850,548",-,"1,850,548",-,336,0
,"Annual Roads Inventory and Con-
ditional Survey (ARICS)","3,000,000","948,521","2,051,479",31.6,336,0
,Roads Safety initiatives,"2,083,294",-,"2,083,294",-,336,0
,"Roads maintenance levy fund(RM-
LF)","299,169,281",-,"299,169,281",-,336,0
,Lodwar Town Road Upgrade,"125,000,000",-,"125,000,000",-,336,0
,Construction of Roads,"20,000,000",-,"20,000,000",-,336,0
"Public Works Develop-
ment Programme",,"40,000,000",-,"40,000,000",-,336,0
,Gabioning Works,"40,000,000",-,"40,000,000",-,336,0
"Development and
Maintenance of Trans-
port",,"15,806,370",-,"15,806,370",-,336,0
,"Purchase of plants, machineries,
Backup office generators and spe-
cialized tools","10,000,000",-,"10,000,000",-,336,0
,"Heavy machinery/vehicle/plants
tracking systems & accessories","3,701,096",-,"3,701,096",-,336,0
,"Feasibility Study and Consultan-
cy Services on viability of Ferry
Services","830,000",-,"830,000",-,336,0
,"Capacity building, road safety cam-
paigns & promotions for transport
operators","750,000",-,"750,000",-,336,0
,Professional Capacity Building,"525,274",-,"525,274",-,336,0
"General Administra-
tion and Support
Services",,"172,862,923","53,936,826","118,926,097",31.2,336,0
,"General Administration - Infra-
structure and Transport","161,312,923","53,936,826","107,376,097",33.4,336,0
,"General Administration- Public
works","11,550,000",-,"11,550,000",-,336,0
Structural Services,,"3,026,370",-,"3,026,370",-,336,0
,Structural Services,"3,026,370",-,"3,026,370",-,336,0
Electrical Services,,"2,000,000",-,"2,000,000",-,336,0
,Electrical Services,"2,000,000",-,"2,000,000",-,337,0
"Building Inspectorate
Services",,"2,075,822",-,"2,075,822",-,337,0
,Building Inspectorate,"2,075,822",-,"2,075,822",-,337,0
Architectural Services,,"1,500,548",-,"1,500,548",-,337,0
,Architectural Services,"1,500,548",-,"1,500,548",-,337,0
,"Trade, Gender and Youth Affairs",,,,-,337,0
"Trade Development
and Promotion",,"106,130,323","223,650","105,906,673",0.2,337,0
,"Trade Licensing, Regulations and
Control","1,380,438",-,"1,380,438",-,337,0
,South Region Trade & Export,"967,911","47,700","920,211",4.9,337,0
,"Business Training & Development
Services","1,500,548",-,"1,500,548",-,337,0
,"Lease and Management of Biashara
Centre","1,700,000",-,"1,700,000",-,337,0
,Trade Research & Policy,"809,263",-,"809,263",-,337,0
,"Business Financing & Incubation
of MSMEs","1,300,000","175,950","1,124,050",13.5,337,0
,Field Metrology Services,"1,758,020",-,"1,758,020",-,337,0
,Consumer Right Education,"700,000",-,"700,000",-,337,0
,"Training for Weights and Measures
Technical Professionals","675,274",-,"675,274",-,337,0
,"Standards and Anti-Counterfeit
Services","851,252",-,"851,252",-,337,0
,Market Infrastructure Development,"39,465,000",-,"39,465,000",-,337,0
,"Industrial Development and
Investments","9,545,700",-,"9,545,700",-,337,0
,Biashara Fund,"36,000,000",-,"36,000,000",-,337,0
,"North Rift Economic & FCDC
Blocs","6,476,917",-,"6,476,917",-,337,0
,Purchase of Calibration Equipment,"3,000,000",-,"3,000,000",-,337,0
"Cooperative Develop-
ment and Management",,"10,338,842",-,"10,338,842",-,337,0
,"Cooperative extension and advisory
services","2,340,000",-,"2,340,000",-,337,0
,"Co-operative Marketing, Value
Addition, Surveys & Research","2,310,000",-,"2,310,000",-,337,0
,"Co-operative Education, Training,
Exchange and Ushirika Day Celeb","2,688,459",-,"2,688,459",-,337,0
,"Strengthening of Key Dormant
Co-operative Societies","2,000,000",-,"2,000,000",-,337,0
,"Formulation of Cooperative Policy
and Legal Frame Work","1,000,383",-,"1,000,383",-,337,0
"General Administra-
tion and Support
Services",,"95,506,321","3,161,980","92,344,341",3.3,337,0
,General Administration - Trade,"95,506,321","3,161,980","92,344,341",3.3,337,0
"Promotion of gender
Equality and Empow-
erment",,"19,056,909","365,400","18,691,509",1.9,338,0
,"Gender Empowerment and advo-
cacy","9,310,000",-,"9,310,000",-,338,0
,"Gender Mainstreaming and Coor-
dination","8,220,657","365,400","7,855,257",4.4,338,0
,Legal Compliance and Redress,"601,252",-,"601,252",-,338,0
,"Promotion of Gender Equality and
Empowerment","925,000",-,"925,000",-,338,0
"Youth Affairs Devel-
opment",,"148,898,787","998,500","147,900,287",0.7,338,0
,"Youth Coordination and Rep-
resentation","11,960,876","998,500","10,962,376",8.3,338,0
,Youth Employment Scheme,"2,550,000",-,"2,550,000",-,338,0
,Youth Rare skills,"1,387,911",-,"1,387,911",-,338,0
,Youth and Women Fund,"133,000,000",-,"133,000,000",-,338,0
,Health Services and Sanitation,,,,-,338,0
"General Administra-
tion and Support
Services",,"563,019,252","33,652,000","529,367,252",6.0,338,0
,"General Administration, Planning
and support - Health","424,004,284","33,652,000","390,352,284",7.9,338,0
,Additional Works- Health Facilities,"139,014,968",-,"139,014,968",-,338,0
"Preventive and Pro-
motive Health care
Services",,"152,382,986",-,"152,382,986",-,338,0
,Family Health,"89,487,314",-,"89,487,314",-,338,0
,Public Health,"49,610,832",-,"49,610,832",-,338,0
