Program,Sub Program,Approved Budget,Actual Payments,Variance,Absorption %,page_number,table_index
"General administration and
support services",,"100,653,823.00","44,794,599.90","55,859,223.10",44.5,60,1
,"General administration and support
services","100,653,823.00","44,794,599.90","55,859,223.10",44.5,60,1
Crop Development,,"316,919,054.00","61,047,054.75","255,871,999.25",19.3,60,1
,Cash Crops Development,"29,659,620.00",0,"29,659,620.00",0.0,60,1
,Food Crops Development,"1,000,000.00",0,"1,000,000.00",0.0,60,1
,"Agricultural Extension and Training
Services","286,259,434.00","61,047,054.75","225,212,379.25",21.3,60,1
Soil Conservation,,"600,000.00",0,"600,000.00",0.0,60,1
,Soil Conservation,"600,000.00",0,"600,000.00",0.0,60,1
Irrigation Development,,"24,700,000.00",0,"24,700,000.00",0.0,60,1
,Irrigation Development,"24,700,000.00",0,"24,700,000.00",0.0,60,1
"General administration and
support services",,"96,058,255.00","44,909,375.50","51,148,879.50",46.8,60,1
,"General administration and support
services","96,058,255.00","44,909,375.50","51,148,879.50",46.8,60,1
,,"50,943,128.00","200,000.00","50,743,128.00",0.4,60,1
,Livestock Production,"45,683,120.00",0,"45,683,120.00",0.0,60,1
Cooperative Development,,"3,000,000.00",0,"3,000,000.00",0.0,61,0
,Cooperatives development,"3,000,000.00",0,"3,000,000.00",0.0,61,0
Veterinary Services,,"29,850,000.00",0,"29,850,000.00",0.0,61,0
,Disease Surveillance and control,"20,500,000.00",0,"20,500,000.00",0.0,61,0
,A I Services,"9,350,000.00",0,"9,350,000.00",0.0,61,0
"General administration and
support services",,"35,086,495.00","15,773,158.40","19,313,336.60",45.0,61,0
,"General administration and support
services","35,086,495.00","15,773,158.40","19,313,336.60",45.0,61,0
Tourism Development,,"21,451,664.00","5,743,517.80","15,708,146.20",26.8,61,0
,Tourism Development,"21,451,664.00","5,743,517.80","15,708,146.20",26.8,61,0
"Trade and Enterprise Devel-
opment",,"2,250,000.00",0,"2,250,000.00",0.0,61,0
,Trade and enterprise development,"2,250,000.00",0,"2,250,000.00",0.0,61,0
"Culture and Heritage Pres-
ervation",,"4,200,734.00",0,"4,200,734.00",0.0,61,0
,Culture and Heritage Preservation,"4,200,734.00",0,"4,200,734.00",0.0,61,0
"General administration and
support services",,"57,550,494.00","24,964,342.50","32,586,151.50",43.4,61,0
,"General administration and support
services","57,550,494.00","24,964,342.50","32,586,151.50",43.4,61,0
Road Improvement,,"457,212,642.00","79,513,535.85","377,699,106.15",17.4,61,0
,Rural road Works,"457,212,642.00","79,513,535.85","377,699,106.15",17.4,61,0
Public works,,"11,900,000.00",0,"11,900,000.00",0.0,61,0
,Public Works,"11,900,000.00",0,"11,900,000.00",0.0,61,0
Energy,,"8,500,000.00","1,073,035.00","7,426,965.00",12.6,61,0
,Energy,"8,500,000.00","1,073,035.00","7,426,965.00",12.6,61,0
"General administration and
support services",,"35,742,302.00","13,028,801.50","22,713,500.50",36.5,61,0
,"General administration and support
services","35,742,302.00","13,028,801.50","22,713,500.50",36.5,61,0
Sports Development,,"17,115,959.00",0,"17,115,959.00",0.0,61,0
,Sports Infrastructure Development,"17,115,959.00",0,"17,115,959.00",0.0,61,0
Social Empowerment,,"94,626,441.00","10,830,326.00","83,796,115.00",11.4,61,0
,Social Empowerment,"94,626,441.00","10,830,326.00","83,796,115.00",11.4,61,0
Social Protection.,,"12,780,000.00",0,"12,780,000.00",0.0,61,0
,Social Protection,"12,780,000.00",0,"12,780,000.00",0.0,61,0
ICT Services,,"5,200,000.00",0,"5,200,000.00",0.0,61,0
,ICT Services,"5,200,000.00",0,"5,200,000.00",0.0,61,0
"General administration and
support services",,"216,736,544.00","86,571,614.40","130,164,929.60",39.9,61,0
,"General administration and support
services","216,736,544.00","86,571,614.40","130,164,929.60",39.9,61,0
"Technical and Vocational
Education and Training
(TVET)",,"231,667,259.00","38,776,393.65","192,890,865.35",16.7,61,0
,"Technical Vocational Education &
Training","231,667,259.00","38,776,393.65","192,890,865.35",16.7,61,0
Pre-Primary Education,,"128,350,000.00",0,"128,350,000.00",0.0,61,0
,Pre-Primary Education,"128,350,000.00",0,"128,350,000.00",0.0,61,0
"General administration and
support services",,"1,061,616,883.00","514,387,287.05","547,229,595.95",48.5,61,0
,"General administration and support
services","1,061,616,883.00","514,387,287.05","547,229,595.95",48.5,61,0
"Water and Sanitation Man-
agement",,"200,766,099.00","20,260,823.55","180,505,275.45",10.1,61,0
,Water Services,"200,766,099.00","20,260,823.55","180,505,275.45",10.1,61,0
"Environmental Manage-
ment and Protection",,"84,523,177.00",0,"84,523,177.00",0.0,61,0
,Environmental conservation,"84,523,177.00",0,"84,523,177.00",0.0,61,0
Solid Waste Management,,"1,000,000.00",0,"1,000,000.00",0.0,61,0
,Solid waste management,"1,000,000.00",0,"1,000,000.00",0.0,61,0
"Lands, Physical Planning
and Urban Development",,"152,508,872.00","48,222,493.40","104,286,378.60",31.6,61,0
,"Lands, Physical planning and Urban
Development","152,508,872.00","48,222,493.40","104,286,378.60",31.6,61,0
"Preventive and Promotive
health",,"80,491,967.00",0,"80,491,967.00",0.0,61,0
,Community and Environmental Health,"72,291,967.00",0,"72,291,967.00",0.0,61,0
