Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance,Absorption (%),page_number,table_index
"Administration and sup-
port services
Housing Development
and Human Resource
Land policy and planning",General Administration and Planning,"48,678,276","16,000,325","32,677,951",32.9,111,1
,Housing Development,"52,628,668","15,752,083","36,876,585",29.9,111,1
,Development Planning and Land Reforms,"351,518,177","22,622,499","328,895,678",6.4,111,1
"Policy, Strategy and Man-
agement of Agriculture
Crop Development and
Management",Land Use Planning,"6,083,798","2,220,905","3,862,893",36.5,111,1
,"Development of Agricultural Policy, Legal &
Regulatory framework.","38,216,334","11,974,692","26,241,642",31.3,111,1
,Agriculture Extension Services,"287,581,792","93,742,757","193,839,035",32.6,111,1
"Livestock Resource Man-
agement and Develop-
ment","Livestock Disease Management and Con-
trol.","15,389,873","403,450","14,986,423",2.6,111,1
,"Livestock Production and Extension Servic-
es","64,605,746","24,249,067","40,356,679",37.5,111,1
"Fisheries development
Transport Management
and safety
Infrastructure, Roads and
Transport","Management and Development of Capture
Fisheries","11,930,057","2,596,200","9,333,857",21.8,111,1
,"General Administration Planning and Sup-
port Services","31,425,059","9,745,014","21,680,045",31.0,111,1
,Rehabilitation of Road,"967,634,094","301,519,146","666,114,949",31.2,111,1
,"Maintenance of Roads and Bridges/Periodic
Maintenance","50,547,500","4,537,203","46,010,297",9.0,111,1
"Information & Commu-
nication Service",News and Information Services,"168,698,412","22,361,543","146,336,869",13.3,111,1
,ICT and BPO development services,"134,006,792","12,140,117","121,866,675",9.1,111,1
"Trade development and
investment","Fair trade Practices and Consumer Protec-
tion (weight & measures)","60,117,487","22,201,770","37,915,717",36.9,111,1
,Administrative and Support Services.,"36,154,449","3,546,743","32,607,706",9.8,111,1
"Cooperative development
and management",Cooperative Advisory & Extension Services.,"18,372,940","8,196,345","10,176,595",44.6,111,1
"Tourism development
and marketing",Local Tourism Development.,"2,500,000",0,"2,500,000",0.0,111,1
Curative Health,Administration and Planning,"933,514,854","365,905,984","567,608,870",39.2,111,1
,Hospital(curative)Services,"140,537,188","28,544,666","111,992,522",20.3,111,1
,Preventive Medicine and Promotive Health,"1,552,398,221","648,785,379","903,612,842",41.8,111,1
"General Administration
& planning services.",Policy Development and Administration,"254,955,668","106,666,821","148,288,847",41.8,111,1
Basic Education,Early Childhood Development Education,"460,761,660","15,483,702","445,277,958",3.4,111,1
"Gender and Social Devel-
opment","Social Welfare Services/Social Infrastructure
Development","24,270,000","1,543,999","22,726,001",6.4,111,1
"Implementation of Con-
stitution",Legislative Development,"32,628,810","16,718,046","15,910,764",51.2,111,1
,Compliance and Oversight,"354,182,984","195,953,686","158,229,298",55.3,111,1
