Programme,Sub- Programme,"Approved Budget
(Kshs.)","Actual Payments
(Kshs.)",Variance,Absorption (%),page_number,table_index
"General administration
and planning services",Planning and coordination services,"166,605,634","68,493,271","98,112,363",41.1,144,0
,"Management of human and capital
resources","77,265,936","98,000","77,167,936",0.1,144,0
,Planning and administration,"234,615,153","108,286,781","126,328,372",46.2,144,0
,Sub total,"477,486,723","176,878,053","300,608,670",37.0,144,0
"Agriculture productivity and
output management","Management of agriculture advisory
services","9,951,726","808,276","9,143,450",8.1,144,0
,Promotion of crop and value chain,"50,118,069","1,079,950","49,038,119",2.2,144,0
,Promotion of farm forestry,"332,500",0,"332,500",0.0,144,0
,"Development of product quality
assurance","1,078,700","204,560","874,140",19.0,144,0
,"Agriculture sector planning and
management","1,884,300","891,400","992,900",47.3,144,0
,Sub total,"63,365,295","2,984,186","60,381,109",4.7,144,0
"Physical planning and
housing",Physical planning services,"80,400,000","212,400","80,187,600",0.3,144,0
,County housing management,"2,100,000","516,896","1,583,104",24.6,144,0
,Sub total,"82, 500, 000","729,296","81,770,704",0.9,144,0
"Promotion of sustainable
land use","Promotion of soil and water manage-
ment.","46,794,484","146,400","46,648,084",0.3,145,0
,Promotion of mechanization,"26,191,098","282,200","25,908,898",1.1,145,0
,Sub total,"72, 985, 582","429,200","72,556,382",0.6,145,0
"Agriculture productivity
management",Agriculture credit access,"751,250","183,600","567,650",24.4,145,0
,Agriculture input access,"11,623,875","34,000","11,589,875",0.3,145,0
,Sub total,"12, 375, 125","217,600","12,157,525",1.8,145,0
"Promotion of market access
and product development",Promotion of agribusiness,"7,527,000","114,100","7,412,900",1.5,145,0
,Promotion of value addition,"1,618,450","141,500","1,476,950",8.7,145,0
,Sub total,"9, 145, 450","255,600","8,889,850",2.8,145,0
"Revenue generation man-
agement",Local revenue mobilization,"993,451,093","67,943,859","925,507,234",6.8,145,0
,Sub total,"993,451, 093","67,943,859","925,507,234",6.8,145,0
"Urban planning and develop-
ment control",Urban planning and development,"81,415,724","36,274,771","45,140,953",44.6,145,0
,Sub total,"81,415,724","36,274,771","45,140,953",44.6,145,0
"County roads and public
works management",General administration and planning,"72,598,256","3,280,238","69,318,018",4.5,145,0
,"Road construction and maintenance
services","462,148,784","3,997,360","458,151,424",0.9,145,0
,Sub total,"534,747,040","7,277,598","527,469,442",1.4,145,0
"Administration, planning
and support services",Administrative services,"1,061,221,541","318,964,014","742,257,527",30.1,145,0
,Financial services,"37,383,312","10,515,080","26,868,232",28.1,145,0
,Sub total,"1,098,604,853","329,479,093","769,125,760",30.0,145,0
Energy production,Petroleum and electricity,"66,696,864","426,315","65,970,655",0.6,145,0
,Sub total,"66,696,864","426,315","65,970,655",0.6,145,0
Energy and mining,Resource mobilization,"103,506,215","9,060,000","94,446,215",8.8,145,0
,Green energy,"1,500,00","148,560","1,351,440",9.9,145,0
