Programme,Sub-Programme,"Approved
Budget (Kshs.)","Actual Pay-
ments (Kshs)",Variance (Kshs.),"Absorp-
tion %",page_number,table_index
"General Administration & Planning
services",Administration Service,"4,000,000","1,249,0","50 2,750,950",31.2,166,2
,Personnel Services,"2,715,450","1,835,7","00 879,750",67.6,166,2
,Policy Development,"1,000,000","148,0","00 852,000",14.8,166,2
,Pending bills,"4,865,667",,"0 4,865,667",0.0,166,2
Co-operative Development,"Co-operative Development and
promotion","750,000","1,121,6","00 -371,600",149.5,166,2
"Home Craft Industrialization & En-
terprise Development",,"1,050,000","216,000","834,000",20.6,167,0
,"Home Craft Industrialization &
Enterprise Development",-,-,-,-,167,0
Trade development and promotion,"Market Infrastructure Develop-
ment/Trade Promotion Services","179,053,423",,"179,053,423",-,167,0
,,"700,000",-,"700,000",-,167,0
,"Tourism development and Pro-
motion","9,000,000","1,552,000","7,448,000",17.2,167,0
Tourism Promotion and Marketing,"Tourism Infrastructural Devel-
opment",-,-,-,-,167,0
,,"1,000,000","536,400","463,600",53.6,167,0
Financial Services,"County Treasury Administra-
tive Services","71,054,010",-,"71,054,010",0.0,167,0
Water Development,"Rural Water Supply & Sanita-
tion","182,736,995","1,500,000","181,236,995",0.8,167,0
"General Administration & Support
Services","Administration & Planning
Services","11,019,589","2,903,741","8,115,848",26.4,167,0
,Personnel Services,"5,000,000","3,404,345","1,595,655",68.1,167,0
,"Strategic Project Monitoring &
Intervention","2,000,000","1,419,400","580,600",71.0,167,0
Environment & Natural Resources,Solid Waste Management,"12,000,000",-,"12,000,000",-,167,0
,"Human Wildlife Conflict Pre-
vention","5,300,000",-,"5,300,000",-,167,0
,Natural Resources Management,"3,000,000",-,"3,000,000",-,167,0
"General Administration & Planning
services","Headquarters Administration
Services","11,000,000","3,287,270","7,712,730",29.9,167,0
Education Empowerment,"Education Empowerment Pro-
gramme","148,591,000",-,"148,591,000",-,167,0
"Sports, Arts and Social Services",Talent Development Services,"16,100,000","189,900","15,910,100",1.2,167,0
,"Social and Cultural Develop-
ment","13,600,000","126,373","13,473,627",0.9,167,0
Education and Training,"Vocational Education and
Training","55,533,793","1,500,000","54,033,793",2.7,167,0
Financial Services,"County Treasury Administra-
tive Services","86,039,630",-,"86,039,630",-,167,0
"Sports Improvement and Support
Programme",Sports Promotion Services,"2,200,000","621,400","1,578,600",28.2,167,0
,"Children Institution Support
Program (CEDC)","3,000,000","231,384","2,768,616",7.7,167,0
"Administration, Planning and Sup-
port Services",Administration Services,"66,036,268","17,425,047","48,611,221",26.4,167,0
,Personnel Services,"2,000,000",-,"2,000,000",0.0,167,0
Physical Planning Services,"Land Management Services and
Development of Valuation roll","10,000,000",-,"10,000,000",-,167,0
,"Survey, Planning Services and
Titling","12,000,000",-,"12,000,000",-,167,0
Housing and Urban Development,Housing Improvement,"2,000,000",-,"2,000,000",-,167,0
,"Urban development and Man-
agement","105,783,080",-,"105,783,080",-,167,0
"Public Works Service delivery Im-
provement","County Building Construction
Standards","900,602",-,"900,602",-,167,0
,"Public Building and Bridges In-
spectorate Services","3,400,000",-,"3,400,000",-,167,0
,"Private Building Inspectorate
Services","700,000",-,"700,000",-,167,0
"Roads Network Improvement and
Urban Development","Roads Network Improvement
and Bridges","550,483,915","31,739,073","518,744,842",5.8,167,0
,Bridges infrastructural Services,"16,000,000",-,"16,000,000",-,167,0
,"Leased Equipment Operations
Support","91,000,005","7,000,000","84,000,005",7.7,167,0
Renewable Energy Services,"County Renewable/Green En-
ergy Services","1,200,000",,"1,200,000",-,167,0
Financial Services,"County Treasury administrative
services","31,486,317","1,975,413","29,510,904",6.3,167,0
General Administration & Planning,"Emergency Referral and Reha-
bilitative Services","48,672,664","2,067,050","46,605,614",4.2,168,0
,"Essential Health Institutions &
Services","88,228,490","17,761,594","70,466,896",20.1,168,0
,Use of goods & Services,"2,874,619","2,563,860","310,759",89.2,168,0
,"Community Health Strategy,
Advocacy & Surveillance","18,413,700","11,461,589","6,952,111",62.2,168,0
,"County Treasury Administra-
tion Services","123,333,378","4,612,500","118,720,878",3.7,168,0
,Emergency Response Services,"24,645,672",-,"24,645,672",-,168,0
"Curative & Rehabilitative Health
Programme",Strategic Health Interventions,"2,701,874",-,"2,701,874",-,168,0
,"Emergency Referral and Reha-
bilitative Services","56,037,483",-,"56,037,483",-,168,0
,Use of goods & Services,"3,403,748","1,669,500","1,734,248",49.0,168,0
,"Community Health Strategy,
Advocacy & Surveillance","12,608,746","2,371,098","10,237,648",18.8,168,0
Preventive Health Services,Strategic Health Interventions,"3,800,000","1,636,200","2,163,800",43.1,168,0
,"Emergency Referral and Reha-
bilitative Services","940,154","626,820","313,334",66.7,168,0
,Use of goods & Services,"30,083,881","17,346,276","12,737,605",57.7,168,0
,"Participatory Budgeting Sup-
port","750,000","709,200","40,800",94.6,168,0
"Nanyuki Referral Hospital General
Administrative & Planning Services","Emergency Referral and Reha-
bilitative Services","112,640,834","19,267,864","93,372,970",17.1,168,0
"Nyahururu Hospital General Ad-
ministrative & Planning Services","Emergency Referral and Reha-
bilitative Services","96,699,071","12,272,958","84,426,113",12.7,168,0
"General Administrative & Planning
Services","Headquarter Administration
Services","37,650,016","2,457,743","35,192,273",6.5,168,0
,"County Treasury Administra-
tive Services","53,307,377",,"53,307,377",-,168,0
"Irrigation Development & Manage-
ment","Irrigation Development and
management","14,900,000","108,700","14,791,300",0.7,168,0
Crop Development,"Land and Crop Productivity
Enhancement and Management","4,599,304","557,707","4,041,597",12.1,168,0
,Strategic Food Security Service,"104,566,406","19,095,083","85,471,323",18.3,168,0
,"Agriculture Sector Extension
Management","37,397,616","4,171,138","33,226,478",11.2,168,0
Livestock Resources Management,"Animal Health and Disease
Management and Control","248,081,388","5,628,367","242,453,021",2.3,168,0
,"Livestock Resource Develop-
ment and Management","8,960,000","676,000","8,284,000",7.5,168,0
Fisheries Development,"Fisheries Development and
Management","2,200,000","377,700","1,822,300",17.2,168,0
"Human Capital Management & De-
velopment",Compensation to employees,"2,546,275,000","1,329,371,649","1,216,903,351",52.2,168,0
County Administration Services,Car and mortgage -state officers,"30,000,000",0,"30,000,000",-,168,0
,"County Administration Man-
agement","96,800,634","11,108,487","85,692,147",11.5,168,0
,"County services delivery and
result reporting","3,987,243","1,694,100","2,293,143",42.5,168,0
,Decentralized Services,"123,332,299","1,128,100","122,204,199",0.9,168,0
,Executive Support Service,"39,950,000","22,156,455","17,793,545",55.5,168,0
,"Headquarters Administration
Services","112,306,000","31,180,297","81,125,703",27.8,168,0
Security & Policing Services,"Disaster Reduction Manage-
ment","6,500,000","500,000","6,000,000",7.7,168,0
,"Enforcement And Disaster
Management","7,000,000","1,706,400","5,293,600",24.4,168,0
,Alcohol Control Committee,"4,000,000","713,400","3,286,600",17.8,168,0
,Fire Services,"5,500,000","1,267,100","4,232,900",23.0,168,0
