Programme,Sub- Programme,"Approved Budget
(Kshs. Million)","Actual Payments
(Kshs. Million)",Absorption (%),page_number,table_index
County Assembly,General Administration & Planning,201.81,61.96,30.7,173,1
,Legislation. Representation & Oversight,203.19,66.70,32.8,173,1
,Sub total,405.00,128.65,31.8,173,1
County Executive,Headquarters,210.00,123.17,58.7,174,0
,Office of the Governor & Deputy Governor,195.47,17.87,9.1,174,0
,Public Service Management,4.18,0.28,6.7,174,0
,County Public Service,18.04,0.93,5.2,174,0
,Sub total,427.69,142.25,33.3,174,0
Finance,Headquarters,101.37,18.64,18.4,174,0
,Sub total,101.37,18.64,18.4,174,0
Agriculture & Irrigation,Agriculture & Extension Services,68.01,12.57,18.5,174,0
,Crop Management,7.48,-,0.0,174,0
,Crop Husbandry,1.97,-,0.0,174,0
,Plant disease control,39.70,-,0.0,174,0
,Sub total,117.16,12.57,10.7,174,0
"Land, Physical Planning",Headquarters,24.15,6.19,25.6,174,0
,Survey & Planning,10.10,-,0.0,174,0
,"Housing, Urban Devpt & Infrastructure",0.25,-,0.0,174,0
,Sub total,34.50,6.19,17.9,174,0
"Education, Gender,
Sports, Youth, Culture &
Social Services",Headquarters,29.52,4.16,14.1,174,0
,Early Childhood Development,227.93,182.14,79.9,174,0
,Sub total,257.45,186.29,72.4,174,0
Medical Services,Headquarters,714.63,171.50,24.0,174,0
,Curative & Rehabilitative Health Dept,141.98,1.96,1.4,174,0
,Preventive & Promotive Health Dept,57.72,5.30,9.2,174,0
,Sub total,914.33,178.75,19.5,174,0
"Trade, Tourism & Invest-
ment Development",Headquarters,10.24,2.81,27.4,174,0
,Tourism,3.10,0.18,6.0,174,0
,Culture,9.00,-,0.0,174,0
,Trade & Investment,3.65,0.11,3.1,174,0
,Sub total,26.00,3.11,12.0,174,0
"Livestock, Veterinary &
Cooperative Develop-
ment",Headquarters,10.92,2.26,20.7,174,0
,Livestock Production,9.89,3.03,30.7,174,0
,Veterinary Services,15.16,4.70,31.0,174,0
,Cooperative Development,2.01,0.05,2.3,174,0
,Sub total,37.98,10.05,26.5,174,0
Public Service Board,Trade Development & Regulation,45.22,5.93,13.1,174,0
,Sub total,45.22,5.93,13.1,174,0
"Water Management &
Conservation",Headquarters,16.75,1.56,9.3,174,0
,Headquarter,10.29,0.01,0.1,174,0
,Sub total,27.04,1.56,5.8,174,0
"Gender, Youth, Culture,
Sports & Social Services",Headquarter,9.86,0.85,8.6,174,0
,Headquarters,10.78,0.74,6.8,174,0
,Social Services,4.37,-,0.0,174,0
,Sub total,25.02,1.59,6.3,174,0
"Public Health Sanitation
& Environment",Headquarter,86.27,13.20,15.3,174,0
,Sub total,86.27,13.20,15.3,174,0
Fisheries Development,Headquarters,33.85,4.95,14.6,174,0
,Sub total,33.85,4.95,14.6,174,0
"Budget & Economic Plan-
ning",Economic Planning and Budgeting,19.95,4.00,20,174,0
,Sub total,19.95,4.00,20,174,0
Infrastructure & Energy,Headquarters,43.32,8.37,19.3,174,0
,Sub total,43.32,8.37,19.3,174,0
Lamu Municipality,Headquarters,53.79,0.23,0.4,174,0
,Sub total,53.79,0.23,0.4,174,0
Grand Total,,"2,655.94",726.33,27.3,174,0
