Programme,Sub- Programme,Approved Budget (Kshs),"Actual Payments
(Kshs)",Variance,"Absorption
(%)",page_number,table_index
HEALTH SERVICE,,,,,,209,1
"Preventive and Promotive Health
Care Services",Preventive Services,"25,652,122",-,"25,652,122",-,209,1
,Promotive health care,-,-,0.00,-,209,1
,Sub total,"25,652,122",,,,209,1
Curative Health,Curative health care services,"721,075,173","1141,042,255","580,032,918",19.6,209,1
,Tertiary care,,,,,209,1
,Sub total,,,,,209,1
"General Administration and
Planning","General Administration and
Planning","2,594,105,378","1,240,747,603","1,353,357,775",47.8,209,1
,Sub total,,,,,209,1
OFFICE OF THE GOVERNOR,,,,,,209,1
"General Administration and
Planning","General Administration and
Planning","105,043,999","59,154,261.30","45,889,737.70",56.3,209,1
Communication and Events,Communication and Events,"25,650,000","6,590,000","19,060,000",25.7,209,1
"Disaster Management, Rescue
and Emergency","Disaster Management, Res-
cue and Emergency","18,200,000","6,441,250","11,758,750",35.4,210,0
Human Resource Management,"Human Resource Manage-
ment","136,800,629","58,984,527.10","77,816,102.42",43.1,210,0
"Efficiency, Monitoring and Eval-
uation","Efficiency, Monitoring and
Evaluation","8,900,000","7,436,900","1,463,100",83.6,210,0
,"Performance Management
and Appraisal","1,000,000","98,000","902,000",9.8,210,0
"Partnership Development and
External Linkages","Partnership Development
and External Linkages","10,100,728","11,582,269","-1,481,541",114.7,210,0
"FINANCE, ECONOMIC PLANNING AND ICT",,,,,,210,0
"General Administration and
Planning","General Administration and
Planning","729,414,994","260,950,318.70","468,464,675.30",35.8,210,0
Public Finance Management,"Budget Coordination & Man-
agement","22,400,000","12,034,620","10,365,380",53.7,210,0
,Internal Audit,"5,550,000","4,206,204","1,343,796",75.8,210,0
,Procurement Service,"4,700,000","1,922,900","2,777,100",40.9,210,0
ICT Development,ICT Development,"24,839,132","15,659,799","9,179,333",63.0,210,0
"Economic Planning & Coordina-
tion services","Economic Planning & Coor-
dination services","13,300,000","4,249,694","9,050,306",32.0,210,0
Fleet Management,Fleet Management,"23,925,000",0.00,"23,925,000",0.0,210,0
"AGRICULTURE, LIVESTOCK AND FISHERIES",,,,,,210,0
"General Administration and
Planning","General Administration and
Planning","723,799,925","127,107,511","596,692,413.10",17.6,210,0
Agriculture Development,Agriculture Development,"32,008,000","12,358,159.80","19,569,840.20",38.9,210,0
Aquaculture Development,Aquaculture Development,"7,628,000","919,892","6,708,108",12.1,210,0
Livestock Development,Livestock Development,"8,628,000","478,020","8,149,980",5.5,210,0
Animal Disease Management,Animal Disease Management,"15,628,000","491,699","15,136,301",3.1,210,0
County Owned Enterprise,Agricultural Training Centre,"15,226,400","12,000","15,214,4000",0.1,210,0
,"Agricultural Mechanization
Service","525,600",-,"525,600",-,210,0
WATER AND IRRIGATION,,,,,,210,0
"General Administration and
Planning","General Administration and
Planning","115,120,000","48,000,873.75","67,119,126.25",41.7,210,0
Water Resource Management,Water Resource Management,"439,650,000",-,"439,650,000",-,210,0
Water Resource Management,Water Resource Management,"47,000,000",-,"47,000,000",-,210,0
"EDUCATION, TECHNOLOGY,
GENDER AND SOCIAL SER-
VICE",,,,,,210,0
"General Administration and
Planning","General Administration and
Planning","786,230,856","303,888,373.70","482,342,482.20",38.7,210,0
Basic Education,Basic Education,"194,501,646","103,333,221","91,168,425",53.1,210,0
"Technical & Vocational Education
Service","Technical & Vocational Edu-
cation Service","68,199,983","1,081,000","67,118,983",1.6,210,0
"Gender, Social Development &
Children Service","Gender, Social Development
& Children Service","36,000,000","3,481,350","32,518,650",9.7,210,0
"LANDS, PHYSICAL PLANNING, URBAN DEVELOPMENT AND PUBLIC WORKS",,,,,,210,0
"General Administration and
Planning","General Administration and
Planning","105,800,000","460,907,372.15","58,892,627.85",44.3,210,0
Meru Town Municipality,Meru Town Municipality,"310,430,649","560,200","309,870,449",0.2,210,0
"Spatial, Planning, Survey and
Mapping","Spatial, Planning, Survey and
Mapping","28,000,000",-,"28,000,000",-,210,0
Public Works,Public Works,"135,318,966",-,"135,318,966",-,210,0
PUBLIC SERVICE ADMINISTRATION AND LEGAL AFFAIRS,,,,,,210,0
"General Administration and
Planning","General Administration and
Planning","40,624,640","13,876,285","26,748,355",34.2,210,0
"Coordination of County Govern-
ment Function","Coordination of County Gov-
ernment Function","11,395,000","4,788,000","6,607,000",42.0,210,0
County Enforcement Service,"County Law Enforcement
Service","2,030,000",-,"2,030,000",-,210,0
Human Resource Management,"Human Resource Manage-
ment","820,353,506","142,674,424.70","677,679,081.30",17.4,210,0
