Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance (Kshs.),Absorption (%),page_number,table_index
The Executive,"Governor's Affairs & Advisory Ser-
vices","132,442,288","37,749,802","94,692,486",28.5,226,1
,"Deputy Governor's Affairs & Exter-
nal Relations","77,286,579","10,183,747","67,102,833",13.2,226,1
,"Cabinet Affairs, Policy Research and
Legal Services","120,987,682","1,777,457","119,210,225",1.5,226,1
,MV 2035 & E-Government,"25,950,714",-,"25,950,714",-,226,1
,Strategic Delivery Unit,"21,823,957",-,"21,823,957",-,226,1
County Public Service Board,Administration Unit,"130,469,239","15,505,333","114,963,906",11.9,226,1
"Finance and Economic Plan-
ning",Administration Unit,"1,556,801,698","577,706,756","979,094,942",37.1,226,1
,Accounting Unit,"79,100,000","52,313,922","26,786,078",66.1,226,1
,Planning and Monitoring Unit,"93,574,896","49,696,343","43,878,553",53.1,226,1
"Energy, Environment & Waste
Management","Administration, Planning and Sup-
port Services","416,866,040","149,202,324","267,663,716",35.8,227,0
,Waste Management,"285,072,081","11,337,909","273,734,172",4,227,0
,"Environmental Compliance and
Monitoring","167,065,338","4,779,310","162,286,028",2.9,227,0
,Climate Change,"53,250,500",-,"53,250,500",-,227,0
,Energy,"20,250,500",-,"20,250,500",-,227,0
"Education, Information Tech-
nology & MV 2035","General Administration, Planning
and Support Services","286,676,346","94,568,831","192,107,515",33,227,0
,Education headquarters,"126,359,535","4,141,991","122,217,544",3.3,227,0
,Childcare,"64,650,000",-,"64,650,000",-,227,0
,Elimu Fund,"161,890,000",-,"161,890,000",-,227,0
,"Information Technology Headquar-
ters","122,273,119",-,"122,273,119",-,227,0
Health Services,Administration Unit,"2,551,268,459","1,288,394,509","1,262,873,950",50.5,227,0
,Curative/Clinical Health Services,"266,500,326",-,"266,500,326",-,227,0
,"Preventive and Promotive Services
Unit","205,120,131",-,"205,120,131",-,227,0
,Special Programs,"22,588,394",-,"22,588,394",-,227,0
"Water, Sanitation & Natural
Resources",Administration unit,"68,984,955","9,662,940","59,322,015",14,227,0
,"Sanitation/Sewerage Services Head-
quarters","609,430,666",-,"609,430,666",-,227,0
,Water Supply Headquarters,"938,006,011",-,"938,006,011",-,227,0
,Natural Resources,"54,800,000",-,"54,800,000",-,227,0
"Youth, Gender , Sports and
Cultural Affairs",Administration Unit,"186,314,141","35,576,347","150,737,794",19.1,227,0
,Youth Empowerment,"101,754,276",-,"101,754,276",-,227,0
,"Gender Affairs and Disability Main-
streaming","44,000,000",-,"44,000,000",-,227,0
,Sports development,"206,913,664",-,"206,913,664",-,227,0
,Cultural Affairs,"66,890,078",-,"66,890,078",-,227,0
,Public Recreation and Entertainment,"40,000,000",-,"40,000,000",-,227,0
"Trade, Tourism & Investment",Administration Unit,"329,770,816","114,353,855","215,416,961",34.7,227,0
,Trade Development,"83,412,129","2,062,985","81,349,144",2.5,227,0
,Development of Tourism,"98,412,128",-,"98,412,128",-,227,0
,"Investment Promotion and Products
Headquarters","91,412,129",-,"91,412,129",-,227,0
,"Ease of Doing Business-Headquar-
ters","14,001,998",-,"14,001,998",-,227,0
"Lands, Housing and Physical
Planning",Administration Unit,"233,119,225","68,939,208","164,180,017",29.6,227,0
,Land Management Unit,"78,075,000",-,"78,075,000",-,227,0
,Housing Development Unit,"120,290,000",-,"120,290,000",-,227,0
"Transport, Infrastructure &
Public Works",Administration Unit,"288,997,607","211,372,164","77,625,443",73.1,227,0
,Road and Transport Unit,"473,500,531","168,178,223","305,322,308",35.5,227,0
,Works Unit,"63,789,385",-,"63,789,385",-,227,0
,"Transport Planning, Management
and Safety","146,305,365","11,949,117","134,356,248",8.2,227,0
,Mechanical Services,"77,825,279","3,273,103","74,552,176",4.2,227,0
,"Safety, Risk Management and Rescue
Services","42,250,000",-,"42,250,000",-,227,0
