Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance,"Absorption
(%)",page_number,table_index
"General Administration Planning and Sup-
port Services","General Adminis-
tration Planning and
Support Services","52,214,502","14,452,879","37,761,623",27.7,241,0
COUNTY PUBLIC SERVICE BOARD,,"52,214,502","14,452,879","37,761,623",27.7,241,0
General Administrative Services,"General Adminis-
tration & Support
Services","491,292,312","199,933,444","291,358,868",40.7,241,0
,"0718025310 Sp2 Sub
County Adminis-
tration","2,073,002,186","737,735,488","1,335,266,698",35.6,241,0
,"0718075310 Sp7
County Executive","355,423,965","54,379,972","301,043,993",15.3,241,0
,"0718095310 Sp9
Audit","99,100,941","25,077,860","74,023,081",25.3,241,0
Security and Safety Management,"0724055310 Inspec-
torate","2,040,682,477","750,131,365","1,290,551,112",36.8,241,0
,"0724015310 sp 24.1
investigative Services","90,897,401","25,123,248","65,774,153",27.6,241,0
"Disaster Management Coordination & Con-
trol","0724045310 Fire &
Disaster Management","650,744,784","68,524,673","582,220,111",10.5,241,0
Management of legal affairs,"0725015310 sp 25.1
legal services","306,305,142","142,402,102","163,903,040",46.5,241,0
"OFFICE OF GOVERNOR & DEPUTY
GOVERNOR",,"6,107,449,208","2,003,308,152","4,104,141,056",32.8,241,0
"General Administration Planning and Sup-
port Services","0207010 SP 1:
General Administra-
tion, Planning And
Support Services","114,011,356","38,752,008","75,259,348",34.0,241,0
Information And Communication Services,"0208010 SP 2.1: News
And Information
Services","65,500,000","10,579,937","54,920,063",16.2,241,0
,"0208030 SP 2.3: ICT
and Media Regulatory
Services","19,500,000","1,151,925","18,348,075",5.9,241,0
,"0208040 SP 2.4
E-Government
Services","228,500,000",-,"228,500,000",-,241,0
ICT Infrastructure Development,"0210010 SP1: ICT
Infrastructure Con-
nectivity","107,000,000",-,"107,000,000",-,241,0
,"0210035310 sp 3:In-
formation Security","18,000,000",-,"18,000,000",-,241,0
"ICT, E-GOVT & PUBLIC COMMUNICA-
TIONS",,"552,511,356","50,483,870","502,027,486",9.1,241,0
0701005310 Public Financial Management,"0701015310 Assets
Management Services","287,667,520","22,555,634","265,111,886",7.8,241,0
,"0701065310 sp1.6
Accounting Services","3,251,694,840","3,042,838,747","208,856,093",93.6,241,0
,"0701075310 sp1.7
Budget Formulation
Coordination and
mgt","176,129,010","41,040,174","135,088,836",23.3,241,0
,"0701085310 sp1.8 Re-
source Mobilization","355,754,600","12,761,970","342,992,630",3.6,241,0
,"Debt Management
Services","13,949,500","100,000","13,849,500",0.7,241,0
,"0718085310 Sp8
Supply Chain Man-
agement","113,451,364","34,525,954","78,925,410",30.4,241,0
,5314001001 KDSP,"83,000,000",-,"83,000,000",-,242,0
,"5314001101 County
Budget & Economic
Forum","5,470,000",-,"5,470,000",-,242,0
General Administrative Services,"0718015310 Sp1 Gen-
eral Administration &
Support Services","916,314,417","388,003,597","528,310,820",42.3,242,0
"Economic and Financial Policy Formulation
and Management","0719010 SP 3.1 Fiscal
Policy Formulation,
Development and
Management","319,446,289","17,418,927","302,027,362",5.5,242,0
FINANCE & ECONOMIC PLANNING,,"5,522,877,540","3,559,245,003","1,963,632,537",64.4,242,0
Preventive & Promotive Health Services,"0401115310 HIV/
AIDS Prevention &
Control Unit","4,440,402","75,000","4,365,402",1.7,242,0
,"0401125310 TB
Control","2,200,000",-,"2,200,000",-,242,0
,"0401135310 Malaria
Control & Other
Communicable
Diseases","1,400,000",-,"1,400,000",-,242,0
,"0401145310 Re-
productive Health
& Maternal Health
(RMNCAH)","148,661,321","25,083,827","123,577,494",16.9,242,0
,"0401155310 Envi-
ronmental / Public
Health","96,300,000","14,334,000","81,966,000",14.9,242,0
Curative care,"0402065310 sp.2.6
County Referral
Hospitals","732,450,000","35,831,723","696,618,277",4.9,242,0
,"0402075310 sp.2.7
Health Canters &
dispensaries","305,338,679","1,663,018","303,675,661",0.5,242,0
"General administration, planning and sup-
port services","0404015310 Sp4.1
Administration/
Human Resource for
Health","5,324,566,646","2,077,732,937","3,246,833,709",39.0,242,0
,"0404025310 Sp4.2
Health Policy, Plan-
ning & Financing","49,900,000","2,067,909","47,832,091",4.1,242,0
,"0404035310 sp 4.3
Health Commodities","651,957,500","41,384,130","610,573,370",6.3,242,0
,"0404045310 sp 4.4
Research, Quality
assurance & standards
unit","27,000,500","554,356","26,446,144",2.1,242,0
,"0404055310 sp 4.5
Coroner services unit","33,000,000",-,"33,000,000",-,242,0
HEALTH,,"7,377,215,048","2,198,726,900","5,178,488,148",29.8,242,0
"General Administration Planning and Sup-
port Services","0106010 SP.6.1
Administration,
Planning & Support
Services","290,837,689","89,134,073","201,703,616",30.6,242,0
"Urban Planning, compliance & enforcement","0114015310 sp 8.1
Urban planning","32,500,000","4,611,110","27,888,890",14.2,242,0
,"0114025310 sp 8.2
Enforcement and
compliance","88,200,000","920,800","87,279,200",1.0,242,0
Land management,"0115015310 sp 9.1
valuation services","56,500,000","1,586,320","54,913,680",2.8,242,0
,"0115025310 sp 9.2
land survey","170,437,596","63,073,117","107,364,479",37.0,242,0
,"0115035310 sp 9.3
Administrative
services","18,000,000","87,200","17,912,800",0.5,242,0
URBAN PLANNING AND LANDS,,"656,475,285","159,412,620","497,062,665",24.3,243,0
"General Administration Planning and Sup-
port Services","0207010 SP 1:
General Administra-
tion, Planning And
Support Services","1,078,097,939","382,068,495","696,029,444",35.4,243,0
"Roads, Drainage & Bridges","0211015310 sp 5.1
Construction Roads
& Drainages & Main-
tenance","3,257,860,000","19,388,484","3,238,471,516",0.6,243,0
Road Safety Interventions,"0212015310 sp 6.1
Transport Facilities &
Traffic Management","187,620,000","14,716,354","172,903,646",7.8,243,0
Institutional Buildings & Maintenance,"0213015310 sp 7.1
Public street lighting
Installations & Main-
tenances","230,000,000","6,053,657","223,946,343",2.6,243,0
,"0213025310 sp
7.2 Motor Vehicle,
Machinery & Plant
Maintenance","11,200,000",-,"11,200,000",-,243,0
,"0213035310 sp 7.3 In-
stitutional Buildings
Maintenance","14,500,000",-,"14,500,000",-,243,0
"PUBLIC WORKS ,TRANSPORT & INFRA-
STRUCTURE",,"4,779,277,939","422,226,990","4,357,050,949",8.8,243,0
"General administration, planning and sup-
port services","0508025310 sp 8.2
General Adminis-
tration & Support
Services","1,149,631,494","298,689,858","850,941,636",26.0,243,0
