Programme,Sub- Programme,"Approved
Budget (Kshs)","Actual Payments
(Kshs)",Variance,Absorption (%),page_number,table_index
County Executive,,,,,,260,1
"General Administration
and Planning","General Administration and
Planning","353,185,993","157,566,517","195,619,476",44.6,260,1
,Sub total,"353,185,993","157,566,517","195,619,476",44.6,260,1
Physical Infrastructure,"Construction of Governor's Of-
fices","20,780,655",-,"20,780,655",-,260,1
,Sub total,"20,780,655",-,"20,780,655",-,260,1
,,,,,,260,1
Finance and Economic Planning,,,,,,260,1
"General Administration
and Planning","General Administration and
Planning","363,522,915","120,189,309","243,333,606",33.1,260,1
,Sub total,"363,522,915","120,189,309","243,333,606",33.1,260,1
"Revenue Enhancement
and Infrastructure","Revenue Collection and Man-
agement Phase 1","42,139,914",-,"42,139,914",-,260,1
,Sub total,"42,139,914",-,"42,139,914",-,260,1
,,,,,,260,1
Devolved Units and Special Programmes,,,,,,260,1
"Administration and Sup-
port of Human Resources",Administrative Support Services,"553,657,040","173,071,203","380,585,837",31.3,260,1
,ICT Support Services,"9,667,014",-,"9,667,014",-,260,1
,Sub total,"563,324,054","173,071,203","390,252,851",30.7,260,1
"County Administrative
Services","Urban Planning, Investment and
Research","171,371,115",-,"171,371,115",-,260,1
,Sub total,"171,371,115",-,"171,371,115",-,260,1
,,,,,,260,1
Health and Sanitation,,,,,,260,1
"Health Service Delivery
Administration Services","Health Service Delivery Adminis-
tration Services","1,216,884,321","575,147,007","641,737,314",47.3,260,1
,Construction of building,"415,563,515","17,625,434","397,938,081",4.2,260,1
,Sub total,"1,632,447,836","592,772,441","1,039,675,395",36.3,260,1
"Preventive & Promotive
Health Services",Community Health Services,"553,721,800","264,544,759","289,177,041",47.8,260,1
,Sub total,"553,721,800","264,544,759","289,177,041",47.8,260,1
Curative Health Services,"Curative Health Management
Services","411,942,186","167,414,745","244,527,441",40.6,261,0
,Sub total,"411,942,186","167,414,745","244,527,441",40.6,261,0
"Health Sector Pro-
gramme Support
(DANIDA FUNDS)","County Health Facilities Support
(DANIDA)","16,031,250","7,946,597","8,084,653",49.6,261,0
,Sub total,"16,031,250","7,946,597","8,084,653",49.6,261,0
,,,,,,261,0
"Agriculture, Livestock and Fisheries",,,,,,261,0
"Administration and gen-
eral support
services","Administration and support ser-
vices","248,618,698","114,189,494","134,429,204",45.9,261,0
,Sub total,"248,618,698","114,189,494","134,429,204",45.9,261,0
"Crop Development and
Management",Land and Crops Development,"367,500,000","50,000,000","317,500,000",13.6,261,0
,"Value addition to Agricultural
Products","6,000,000",-,"6,000,000",-,261,0
,Sub total,"373,500,000","50,000,000","323,500,000",13.4,261,0
"Livestock Resources
Management and Devel-
opment","Livestock Production and Man-
agement","340,936,485","61,529,377","279,407,108",18,261,0
,Sub total,"340,936,485","61,529,377","279,407,108",18,261,0
,,,,,,261,0
"Tourism, Culture and Cooperative Development",,,,,,261,0
"Tourism Development
and Promotion","Niche Tourism Prod-
uct Development and
Diversification","3,199,049","620,490","2,578,559",19.4,261,0
,Sub total,"3,199,049","620,490","2,578,559",19.4,261,0
"General Administration
and Planning","General Administration and
Planning","33,694,961","13,542,308","20,152,653",40.2,261,0
,Sub total,"33,694,961","13,542,308","20,152,653",40.2,261,0
Culture,Conservation of Heritage,"1,450,000","339,900","1,110,100",23.4,261,0
,"Development And Promotion of
Culture","63,429,479","1,344,000","62,085,479",2.1,261,0
,Sub total,"64,879,479","1,683,900","63,195,579",2.6,261,0
,,,,,,261,0
"Youth ,Gender and Social Services",,,,,,261,0
"General Administration
and Planning","General Administration and
Planning","55,314,856","20,639,980","34,674,876",37.3,261,0
,Sub total,"55,314,856","20,639,980","34,674,876",37.3,261,0
Sports Development,Sports Activities and Programs,"105,037,355","4,196,600","100,840,755",4,261,0
,Sub total,"105,037,355","4,196,600","100,840,755",4,261,0
Gender,"Gender Mainstream-
ing, Interventions and
Development","12,500,000",-,"12,500,000",-,261,0
,Sub total,"12,500,000",-,"12,500,000",-,261,0
,,,,,,261,0
"Education, Research and Vocational Training",,,,,,261,0
"General Administration
and Planning","General Administration and
Planning","242,413,239","89,205,940","153,207,299",36.8,261,0
,Sub total,"242,413,239","89,205,940","153,207,299",36.8,261,0
Education,"Early Child Development and
Education.","194,560,919","21,764,510","172,796,409",11.2,261,0
,Sub total,"194,560,919","21,764,510","172,796,409",11.2,261,0
"Youth Training and De-
velopment","Revitalization of Youth Poly-
technics","104,459,295","509,900","103,949,395",0.5,261,0
,Sub total,"104,459,295","509,900","103,949,395",0.5,261,0
,,,,,,261,0
"Lands, Environment and Natural Resources",,,,,,261,0
