Programme,Sub- Programme,"Approved Budget
(Kshs.)","Actual Payments
(Kshs.)",Variance,Absorption (%),page_number,table_index
County Public Service Board,County Public Service Board,"12,550,000","2,926,903","9,623,097",23.3,282,1
Sub Total,,"12,550,000","2,926,903","9,623,097",23.3,282,1
"General administration, planning and
support sevices",Service Delivery Unit,"12,480,000","5,605,482","6,874,518",44.9,282,1
,"Governor's Office & Investment
Promotion","76,432,000","32,330,630","44,101,370",42.3,282,1
,"Liaison and Intergovernmental
Relations","23,203,558","3,033,330","20,170,228",13.1,282,1
,"Civic Education and Public
Participation","8,000,000","3,883,333","4,116,667",48.5,282,1
Sub total,,"120,115,558","44,852,775","75,262,783",37.3,283,0
County Secretary,County Secretary-Administration,"7,788,205","3,355,795","4,432,410",43.1,283,0
,"Communication and Public
Relations","11,388,144","1,723,593","9,664,551",15.1,283,0
,Cabinet Affairs,"724,000","345,890","378,110",47.8,283,0
Human Resource Management,"Payroll (Including Compensation
to employees)","1,904,310,000","925,405,508","978,904,492",48.6,283,0
,"Human Resource Management
(Including employee gratuity,
pension and medical insurance)","108,650,100","1,586,300","107,063,800",1.5,283,0
Sub Total,,"2,032,860,449","932,417,086","1,100,443,363",45.9,283,0
County Attorney Services,legal and public affairs,"15,280,000","7,129,609","8,150,391",46.7,283,0
Sub Total,,"15,280,000","7,129,609","8,150,391",46.7,283,0
Public Finance Management,County Funds,"220,400,000","94,200,000","126,200,000",42.7,283,0
,County Pending Bills,"40,000,000",-,"40,000,000",-,283,0
,treasury services,"295,891,970","25,494,530","270,397,440",8.6,283,0
,Financial reporting,"3,225,000","1,667,118","1,557,882",51.7,283,0
,"Revenue Collection and Admin-
istration (Including automation)","27,000,000","13,506,329","13,493,671",50,283,0
,"Revenue Enhancement and
Monitoring","12,203,825","5,832,099","6,371,726",47.8,283,0
,Supply Chain Management,"5,750,000","2,594,247","3,155,753",45.1,283,0
,"Internal Audit and Risk Man-
agement","11,620,000","5,859,118","5,760,882",50.4,283,0
Economic planning and development,County Budgeting,"10,300,000","5,409,000","4,891,000",52.5,283,0
,County Statistics and Data Bank,"4,950,000","3,039,400","1,910,600",61.4,283,0
,Monitoring and Evaluation,"3,650,000","2,102,000","1,548,000",57.6,283,0
,"Economic Modelling and
Research","4,900,000","2,324,820","2,575,180",47.4,283,0
,"Economic Development Planning
(Including CEKEB)","10,400,000","5,288,611","5,111,389",50.9,283,0
Sub Total,,"650,290,795","167,317,272","482,973,523",25.7,283,0
Public administration,Public Administration,"6,955,700","2,585,858","4,369,842",37.2,283,0
,"sub-county and ward adminis-
tration","31,614,394","10,707,582","20,906,812",33.9,283,0
,Enforcement and Compliance,"4,410,000","1,954,688","2,455,312",44.3,283,0
ICT and E-government Services,ICT and E-government Services,"15,000,000","1,264,195","13,735,805",8.4,283,0
Sub Total,,"57,980,094","16,512,323","41,467,771",28.5,283,0
Land policy and planning,Physical Planning,"27,893,000","2,442,453","25,450,547",8.8,283,0
,Survey and Mapping,"15,272,760","3,631,428","11,641,332",23.8,283,0
,"Land Administration and Man-
agement","34,915,000","5,198,475","29,716,525",14.9,283,0
Housing & Urban Development,"Housing & Urban Develop-
ment (Kenya Urban Support
Programme)","159,845,900","701,598","159,144,302",0.4,283,0
Sub Total,,"237,926,660","11,973,954","225,952,706",5,283,0
Road transport,"Transport (Including fuel level,
General Administration & Sup-
port Services)","559,169,781","16,407,177","542,762,604",2.9,283,0
,Public Works,"161,677,400","3,613,658","158,063,742",2.2,283,0
Alternative energy technologies,alternative energy technologies,"33,944,000","5,062,040","28,881,960",14.9,283,0
"General administration, planning and
support services","Emergency Response & Prepar-
edness","5,000,000","874,905","4,125,095",17.5,283,0
Sub Total,,"759,791,181","25,957,780","733,833,401",3.4,283,0
Primary education,ECDE,"104,264,000","8,775,030","95,488,970",8.4,283,0
Youth training and development,revitization of youth polytechnics,"52,723,112","2,270,589","50,452,523",4.3,283,0
"Gender Affairs and Social Services &
youth empowerment","Gender Affairs and Social
Services","25,666,000","3,637,350","22,028,650",14.2,283,0
"General administration, planning and
support services","Alcohol Drinks Control and
Civic Education","3,436,306","922,000","2,514,306",26.8,283,0
Culture,"development and promotion of
culture","5,830,000","989,245","4,840,755",17,283,0
Sub Total,,"191,919,418","16,594,214","175,325,204",8.6,283,0
