Programme,Sub- Programme,Approved Budget (Kshs),"Actual Payments
(Kshs)",Variance,Absorption (%),page_number,table_index
County Executive,,,,,,296,0
"0701004210 P1
Management of
County Affairs","0701014210 SP1 General Adminis-
tration and Support Services (Gov-
ernor, Deputy Governor)","220,830,697","65,651,206","155,179,491",29.7,296,0
,"0704014210 SP2 Administration of
Human Resources in County Pub-
lic Service","66,404,595","17,938,676","48,465,919",27,296,0
,"0701034210 SP3 Sub County Ad-
ministration","165,018,388","61,076,770","103,941,618",37,296,0
,"0701044210 SP4 Coordination,
Supervision and Human Resource
services (C S)","37,821,177","15,365,830","22,455,347",40.6,296,0
,Sub total,"490,074,857","160,032,482","330,042,375",32.7,296,0
,,,,,,296,0
"Finance, Economic Planning & ICT",,,,,,296,0
"0705004210 P1
General Admin-
istration Planning
and Support Ser-
vices","0705014210 SP1 Administration
Services","382,103,639","89,363,422","292,740,217",23.4,297,0
,0705024210 SP2 ICT Services,"58,523,202","14,588,952","43,934,250",24.9,297,0
,Sub total,"440,626,841","103,952,374","336,674,467",23.6,297,0
"0706004210 P2
Public Finance
Management","0706054210 SP5 Accounting Ser-
vices","33,881,646","6,697,345","27,184,301",19.8,297,0
,"0706024210 SP2 Resource Mobili-
zation","74,449,061","26,346,160","48,102,901",35.4,297,0
,0706034210 SP3 Internal Audit,"16,079,558","6,232,986","9,846,572",38.8,297,0
,"0706044210 SP4 Supply Chain
Management","21,125,208","8,601,313","12,523,895",40.7,297,0
,"0706014210 SP1 Budget Formu-
lation Coordination and Manage-
ment","10,589,310","6,150,625","4,438,685",58.1,297,0
,0706064210 SP6 Fiscal Planning,"69,706,152","9,796,533","59,909,619",14.1,297,0
,Sub total,"225,830,935","63,824,962","162,005,973",28.3,297,0
"0713004210 P3
General Admin-
istration Planning
and Support Ser-
vices","0713014210 SP1 General Admin-
istration Planning and Support
Services","6,890,240","2,821,085","4,069,155",40.9,297,0
,Sub total,"6,890,240","2,821,085","4,069,155",40.9,297,0
"0712004210 P4
Special Programs",0712014210 SP 1 Special Programs,"15,721,022","3,882,166","11,838,856",24.7,297,0
,Sub total,"15,721,022","3,882,166","11,838,856",24.7,297,0
,,,,,,297,0
"Agriculture, Livestock Development, Veterinary Services & Fisheries",,,,,,297,0
"0101004210 P1
General Admin-
istration Planning
and Support Ser-
vices","0101014210 SP1 Administration,
Planning and Support Services","486,605,760","24,621,074","461,984,686",5.1,297,0
,Sub total,"486,605,760","24,621,074","461,984,686",5.1,297,0
"0103004210 P2
Livestock Resource
Management and
Development","0103014210 SP1 Livestock policy
development and capacity building","171,337,746","6,401,645","164,936,101",3.7,297,0
,"0103024210 SP2 Livestock Produc-
tion and Management","57,137,347","10,287,805","46,849,542",18,297,0
,"0103034210 SP3 Livestock Diseases
management and control","27,496,262","2,339,071","25,157,191",8.5,297,0
,"0103044210 SP4 Livestock market-
ing and rangeland management","9,871,455","3,336,203","6,535,252",33.8,297,0
,Sub total,"265,842,810","22,364,724","243,478,086",8.4,297,0
"0104004210 P4
Fisheries Develop-
ment and Manage-
ment","0104014210 SP1 Management and
Development of fisheries","11,497,070","2,815,340","8,681,730",24.5,297,0
,Sub total,"11,497,070","2,815,340","8,681,730",24.5,297,0
"0105004210 P3
Crop Development
and Management","0105014210 SP1 Lands and Crops
Development","92,754,282","12,707,085","80,047,197",13.7,297,0
,"0105024210 SP2 Food security In-
itiatives","36,465,699","4,742,819","31,722,880",13,297,0
,Sub total,"129,219,981","17,449,904","111,770,077",13.5,297,0
,,,,,,297,0
"Water, Environment, Natural Resources & Energy",,,,,,297,0
"1001004210 P1
General Admin-
istration Planning
and Support Ser-
vices","1001014210 SP1 General Admin-
istration Planning and Support
Services","313,534,521","7,926,446","305,608,075",2.5,297,0
,Sub total,"313,534,521","7,926,446","305,608,075",2.5,297,0
"1002004210 P2
Environmental
Management and
Protection","1002014210 SP1 County Environ-
ment Management","24,861,039","2,454,923","22,406,116",9.9,297,0
,"1002024210 SP2 Forests Conserva-
tion and Management","15,009,868","815,443","14,194,425",5.4,297,0
,Sub total,"39,870,907","3,270,366","36,600,541",8.2,297,0
"1003004210 P3
Natural Resources
Services","1003024210 SP2 Soil Conservation
Management","8,341,886","759,749","7,582,137",9.1,298,0
,1003034210 SP3 Mining Services,"17,247,500","1,951,000","15,296,500",11.3,298,0
,"1003044210 SP4 Water catchment
and protection services","72,992,708","365,151","72,627,557",0.5,298,0
,Sub total,"98,582,094","3,075,900","95,506,194",3.1,298,0
"1004004210 P4
Water and sanita-
tion infrastructure","1004014210 SP1 Storm Water
Management","7,372,093","1,156,200","6,215,893",15.7,298,0
,"1004024210 SP2 Water and Sanita-
tion Services","85,429,635","17,939,095","67,490,540",21,298,0
,Sub total,"92,801,728","19,095,295","73,706,433",20.6,298,0
,,,,,,298,0
Education and Vocational Training,,,,,,298,0
"0501004210 P1
General Admin-
istration Planning
and Support Ser-
vices","0501014210 SP1 General Admin-
istration Planning and Support
Services","126,813,010","18,115,764","108,697,246",14.3,298,0
,Sub total,"126,813,010","18,115,764","108,697,246",14.3,298,0
"0502004210 P3
Youth Training and
Development","SP 0504014210 Revitalization of
Youth Polytechnics","92,277,256","1,826,571","90,450,685",1.98,298,0
,Sub total,"92,277,256","1,826,571","90,450,685",1.98,298,0
"0502004210 P2
Early childhood
development and
Education","0502014210 SP1 Early Childhood
Development and Education","378,128,446","103,648,642","274,479,804",27.4,298,0
,Sub total,"378,128,446","103,648,642","274,479,804",27.4,298,0
,,,,,,298,0
"Medical Services, Public Health & Sanitation",,,,,,298,0
"0401004210 P1
Preventive and
Promotive Health
Services","0401044210 SP2 Environmental &
Health Promotion","74,608,471","36,268,307","38,340,164",48.6,298,0
,0402014210 SP1 Nutrition,"14,144,518","6,713,890","7,430,628",47.5,298,0
,"0401054210 SP3 Communicable
Disease Control","83,111,734","41,098,598","42,013,136",49.5,298,0
,"0401064210 SP4 Non-communica-
ble Disease Prevention & Control","36,870,936","11,585,329","25,285,607",31.4,298,0
,"0401074210 SP5 Reproductive,
Maternal, Neonatal, child and Ad-
olescent Health","61,112,750","30,493,180","30,619,570",49.9,298,0
,Sub total,"269,848,409","126,159,304","143,689,105",46.8,298,0
"0402004210 P2
Curative Health","0402044210 SP1 County Hospital
and Referral Services","362,609,585","166,983,937","195,625,648",46.1,298,0
,"0402054210 SP2 Free Primary
Health Services","136,200,280","51,290,954","84,909,326",37.7,298,0
,Sub total,"498,809,865","218,274,891","280,534,974",43.8,298,0
"0403004210 P3
General Admin-
istration Planning
and Support Ser-
vices","0403014210 SP1 Health Infrastruc-
ture Development","9,049,174","4,418,300","4,630,874",48.8,298,0
,"0403034210 SP2 Human Resource
Management and Development","74,762,075","46,746,111","28,015,964",62.5,298,0
,"0403044210 SP3 Monitoring and
Evaluation, Research and Devel-
opment","5,025,018","2,066,713","2,958,305",41.1,298,0
,"0403054210 SP4 Health Policy,
Planning & Financing","440,620,345","28,333,689","412,286,656",6.4,298,0
,"0403064210 SP5 Health Standards
and Quality Assurance Services","57,090,371","18,545,619","38,544,752",32.5,298,0
,Sub total,"586,546,983","100,110,432","486,436,551",17.1,298,0
,,,,,,298,0
"Lands, Housing, Physical Planning & Urban Development",,,,,,298,0
280,,,,,,298,0
"0101004210 P1
General Admin-
istration Planning
and Support Ser-
vices","0101014210 SP1 Administration,
Planning and Support Services","56,244,429","9,567,942","46,676,487",17,299,0
,Sub total,"56,244,429","9,567,942","46,676,487",17,299,0
"0102004210 P2
Land policy Plan-
ning and Housing","0102014210 SP1 Land Use Plan-
ning","39,614,274","2,944,750","36,669,524",7.4,299,0
,"0102034210 SP2 Land Survey and
Mapping","41,543,515","3,879,588","37,663,927",9.3,299,0
,"0102044210 SP3 Housing Manage-
ment Services","1,072,214","162,041","910,173",15.1,299,0
,Sub total,"82,230,003","6,986,379","75,243,624",8.5,299,0
"0106004210 P3
Urban Centres Ad-
ministration","0106014210 SP1 Urban Centre
Management","104,531,216","15,088,985","89,442,231",14.4,299,0
,Sub total,"104,531,216","15,088,985","89,442,231",14.4,299,0
,,,,,,299,0
"Roads, Transport & Public Works",,,,,,299,0
