Row Labels,"Sum of Printed Estimate
(Kshs.)","Sum of Approved Es-
timates (Net)-Kshs.","Sum of Cumulative
Expenditure (Kshs.
Millions)","Sum of Variance
(Kshs.)",Sum of % Absorption,page_number,table_index
"P: 3619000800 Kenya Devo-
lution Support Programme","38,263,000","59,255,973","8,080,880","51,175,093",13.6,330,1
"SP: Tharaka Nithi KDSP
Capacity Building","38,263,000","59,255,973","8,080,880","51,175,093",13.6,330,1
"P: Cooperatives Develop-
ment","15,169,050","17,423,062","158,000","17,265,062",0.9,330,1
"SP: Cooperatives Develop-
ment","15,169,050","17,423,062","158,000","17,265,062",0.9,330,1
P: County Assembly Services,"400,000","400,000","175,000","225,000",43.8,330,1
SP: County Assembly Services,"400,000","400,000","175,000","225,000",43.8,330,1
"P: County Government
Administration and Field
Services","346,080,422","375,306,539","129,264,387","246,042,152",34.4,330,1
"SP: Field Services and Ad-
ministration","4,700,000","3,593,630","418,760","3,174,870",11.7,330,1
"SP: General Administrative
Services","144,746,972","180,357,633","56,647,487","123,710,146",31.4,330,1
"SP: Human Resource Man-
agement Services","196,633,450","191,355,276","72,198,140","119,157,136",37.7,330,1
"P: County Government
Advisory Services","20,960,741","18,354,257","5,476,115","12,878,142",29.8,330,1
"SP: Communication and
Strategy","11,544,500","11,088,122","3,348,045","7,740,077",30.2,330,1
"SP: Disaster Management and
Coordination","3,100,000","2,370,267","368,380","2,001,887",15.5,330,1
"SP: Public Sector Advisory
Services [Legal, Political
&Economic Advisors]","6,316,241","4,895,868","1,759,690","3,136,178",35.9,330,1
"P: County Leadership and
Coordination of CDAs","21,175,250","14,787,213","2,862,140","11,925,073",19.4,330,1
"SP: Coordination and Super-
visory Services (D/Governor's
Office)","21,175,250","14,787,213","2,862,140","11,925,073",19.4,330,1
