Program,Sub Program,Description,Approved Budget,Actual Payments,Variance,"Absorption
(%)",page_number,table_index
104003000,,,"33,928,561","630,740","3,329,782,100",1.9,345,1
,104014110,"Policies on land and reg-
ulations",-,-,-,-,345,1
,104024110,,"10,000,000",-,"1,000,000,000",-,345,1
,104064110,Transport Parks,"8,000,000",-,"800,000,000",-,345,1
,104074110,Urban Centre Mgt,"2,300,000",-,"230,000,000",-,345,1
,104084110,Municipality Upgrade,"13,628,561","630,740","1,299,782,100",4.6,345,1
105003000,,,"14,400,000",-,"1,440,000,000",-,345,1
,105014110,"Land acquisition for pub-
lic utilities","14,400,000",-,"1,440,000,000",-,345,1
109003000,,,"83,000,000",-,"8,300,000,000",-,345,1
,109014110,"Improvement of Moi
Garden Stadia","30,000,000",-,"3,000,000,000",-,345,1
,109024110,"completion of recreation-
al park","46,000,000",-,"4,600,000,000",-,345,1
,109034110,"setting up of dumping
site in Lodwar","7,000,000",-,"700,000,000",-,345,1
110003000,,,"241,334,972",-,"24,133,497,200",-,345,1
,110014110,"Revival of Turkana Fish-
ermen Co-op. society",-,-,-,-,345,1
,110044110,,"56,334,972",-,"5,633,497,200",-,345,1
,110054110,,"12,000,000",-,"1,200,000,000",-,345,1
,110064110,,"77,000,000",-,"7,700,000,000",-,345,1
,110074110,"Spate Irrigation Technol-
ogy","60,000,000",-,"6,000,000,000",-,345,1
,110084110,Rehabilitation,"7,000,000",-,"700,000,000",-,345,1
,110094110,"Soil & Water Conserva-
tion","29,000,000",-,"2,900,000,000",-,345,1
111003000,,,"31,850,497","26,580","31,823,917",0.1,345,1
,111014110,"Fish market infrastruc-
ture/ fish value addition","1,200,000",-,"1,200,000",-,346,0
,111024110,"Fisheries livelihood sup-
port","19,200,000","13,290","19,186,710",0.1,346,0
,111034110,"Fisheries Extension Ser-
vices","2,500,000",-,"2,500,000",-,346,0
,111044110,"Fisheries resource man-
agement","2,960,524",-,"2,960,524",-,346,0
,111054110,,"1,770,000",-,"1,770,000",-,346,0
,111064110,,"2,893,623",-,"2,893,623",-,346,0
,111084110,"Fish Farming & Aqua-
culture","1,326,350","13,290","1,313,060",1.0,346,0
115003000,,,"68,730,989","1,099,024","67,631,965",1.6,346,0
,115014110,Frame survey,"47,204,345","986,437","46,217,908",2.1,346,0
,115024110,Fish Stock assessment,"2,200,000",-,"2,200,000",-,346,0
,115034110,"Monitoring, Control and
Surveillance","3,526,370","11,575","3,514,795",0.3,346,0
,115044110,"Resource monitoring fa-
cilities","800,274","101,012","699,262",12.6,346,0
,115064110,"Productivity Infrastruc-
ture","15,000,000",-,"15,000,000",-,346,0
117003000,,,"90,043,557","256,160","89,787,397",0.3,346,0
,117014110,"Establish livestock Mul-
tiplication and breeding
Centre.","17,000,000",-,"17,000,000",-,346,0
,117024110,"Livestock diversification
and breed improvement",-,-,-,-,346,0
