Programmes,Sub- Programmes,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance (Kshs.),"Absorption
(%)",page_number,table_index
Default,Default - Non Programmatic,-,"269,600","(269,600)",-,32,0
General administration,"General Administration, Planning & Support
Services","344,211,616","175,061,544","169,150,072",50.9,32,0
Land Administration,Land Adjudication and Demarcation,"27,700,000","192,200","27,507,800",0.7,32,0
"Urban Development-Eldama
ravine",Support Service,"40,000,000",-,"40,000,000",-,32,0
"Livestock Development and
Management","General Administration, Planning & Support
Services","12,800,000","1,020,134","11,779,866",8.0,32,0
,Support service,"443,134,299","206,946,721","236,187,578",46.7,32,0
,"Livestock Improvement, Pasture & Fodder
Development","6,000,000",-,"6,000,000",-,32,0
,Apiculture Development,"5,000,000","895,000","4,105,000",17.9,32,0
,Sub total,"466,934,299","208,861,855","258,072,444",44.7,32,0
Agricultural Development,"Administration, Planning & Support Services","1,000,000","1,000,000",-,100,32,0
Agricultural Training Services,"Administration, Planning & Support Services","1,300,000","1,300,000",-,100,32,0
"Other Urban Infrastructure
development and management",KUSP Programme,"52,360,500",-,"52,360,500",-,32,0
"Crop Production and Man-
agement",Agribusiness Infrastructure Development,"11,400,000","3,612,150","7,787,850",31.7,32,0
"Fisheries Development and
Management",Aquaculture Development,"3,000,000","110,000","2,890,000",3.7,32,0
Urban Development-Kabarnet,"Administration, Planning & Support Services","134,702,716","18,794,629","115,908,087",14.0,32,0
Land Use Planning,Land Planning and Development,"16,600,000",-,"16,600,000",0.0,32,0
General administration,"Administration, Planning & Support Services","62,894,893","57,556,573","5,338,320",91.5,32,0
"Rural Infrastructure Devel-
opment",Rural road development and management,-,-,-,-,32,0
"Development and Rehabil-
itation of rural roads and
structures",Roads opening and rehabilitation,"831,582,296","273,346,826","558,235,470",32.9,32,0
General administration,"Administration, Planning & Support Services","74,853,448","67,118,459","7,734,989",89.7,32,0
"Tourism Development &
Marketing","Administration, Planning & Support Services",-,-,-,-,33,0
Trade Development,Trade Development,"5,752,776","4,679,922","1,072,854",81.4,33,0
"Industrial Development
services",Industrial Development services,-,-,-,-,33,0
