Programme,Sub- Programme,"Approved Budget
(Kshs)",Actual Payments (Kshs),Variance (Kshs.),"Absorption
(%)",page_number,table_index,"Actual Payments
(Kshs)",Absorption (%)
General Infrastructure,Infrastructural Development,"139,290,453","72,558,433","66,732,021",52.1,54,0,,
,"Other Infrastructure and Civil
works","35,000,000","4,098,500","30,901,500",11.7,54,0,,
Sub total,,"1,041,952,136","619,372,886","422,579,250",59.4,54,0,,
Grand Total,,"13,597,064,294","6,803,832,847","6,793,231,447",50.0,54,0,,
"DEPARTMENT OF AGRICULTURE, LIVESTOCK AND FISHERIES",,,,,,59,0,,
"CP1 : General Admin-
istration and support
services",Administrative support services,"219,828,995",,"43,663,094",,59,0,"176,165,901",80.1
"CP2 : Crop Production
and Management",CSP 3.1 Input support services,"27,000,000",,"9,699,900",,59,0,"17,300,100",64.1
,CSP 3.2: Crop Development,"6,050,000",,"6,050,000",,59,0,-,-
,CSP 3.3: Crop protection,"5,010,000",,"5,010,000",,59,0,-,-
"CP3: Land Use and
Management",CSP 2.1: Agricultural Mechanization,"12,300,000",,"12,300,000",,59,0,-,-
"CP4: Agricultural
training and extension
services","CSP 4.1: Agriculture Extension Ser-
vices","3,000,000",,"3,000,000",,59,0,-,-
,"CSP 4.2: Agricultural training ser-
vices","153,234,646",,"78,359,444",,59,0,"74,875,202",48.9
"CP 5: Agribusiness and
agricultural value chain
Development",CSP 5.1: Value addition,"372,190",,"372,190",,59,0,,-
"CP 6: Agricultural Fi-
nancial Support Services","CSP 6.1: Agricultural credit support
services","8,000,000",,"3,825,000",,59,0,"4,175,000",52.2
"CP 7: Kenya Climate
Smart Agriculture Pro-
gramme",CSP 7.1: Kenya Climate SMART,"208,607,507",,"208,607,507",,59,0,-,-
"CP 8: Fisheries and
Aquaculture Resources
Development",CSP 8.1: Aquaculture development,"6,080,000",,"6,080,000",,59,0,-,-
,"CSP 8.2: Fisheries Training infrastruc-
ture development","5,000,000",,"5,000,000",,59,0,-,-
,"CSP 8.3: Fish value addition and mar-
keting",-,,-,,59,0,-,-
,CSP 8.4: Lake Based agriculture parks,"20,000,000",,"11,269,745",,59,0,"8,730,255",43.7
"CP 9: Veterinary Health
Services",CSP 9.1: Veterinary Disease Control,"10,585,000",,"9,585,000",,59,0,"1,000,000",9.4
,CSP 9.2: AI services,"3,500,000",,"3,500,000",,59,0,-,-
,CSP 9.3: Meat inspection services,"2,000,000",,"2,000,000",,59,0,-,-
"CP 10: Livestock produc-
tion and development","CSP 10.1: Livestock production im-
provement","5,000,000",,"5,000,000",,59,0,-,-
,CSP 10.2: Livestock Execution,-,,-,,59,0,-,-
"CP 11: Other Develop-
ment Projects","CSP 11.1: Other Development Proj-
ects","188,454,000",,"139,828,070",,59,0,"48,625,930",25.8
Sub totals,,"884,022,338",,"553,149,950",,59,0,"330,872,388",37.4
"DEPARTMENT OF TRADE, COOPERATIVE AND INDUSTRIALIZATION",,,,,,59,0,,
"CP 12: General Admin-
istration and support
services",CSP 12.1: Administrative support servi,"ce 76,117,960",,"39,966,006",,59,0,"36,151,936",47.5
"CP 13; Trade Develop-
ment and Investment","CSP 13.1: Busia county trade and devel-
opment fund","5,000,000",,"5,000,000",,60,0,-,-
,"CSP 13.2: Market modernization and de-
velopment","49,574,063",,"23,308,066",,60,0,"26,265,995",53.0
"CP 14: Fair Trade
Practices",CSP 14.1; Weights and measures,"5,000,000",,"5,000,000",,60,0,-,-
"CP 15: Cooperative
Development","CSP 15.1: Busia county cooperative en-
terprise development fund",-,,-,,60,0,-,-
,"CSP 15.2: Revitalization of cotton gin-
neries",-,,-,,60,0,-,-
,CSP 15.3: value addition,"7,000,000",,"7,000,000",,60,0,-,-
"CP 16: Other Develop-
ment Projects",CSP 16.1: Other development projects,"138,821,114",,"136,089,588",,60,0,"2,731,546",2.0
Sub totals,,"281,513,137",,"216,363,660",,60,0,"65,149,477",23.1
"DEPARTMENT OF FINANCE, ECONOMIC PLANNING AND SERVICE DELIVERY",,,,,,60,0,,
"CP 22: General Admin-
istration and support
services","CSP 22.1: Administrative support ser-
vices","815,755,683",,"127,644,008",,60,0,"688,111,676",84.4
"CP 23: Financial man-
agement, control and
development services",CSP 23.1: Revenue generation services,"14,892,000",,"14,892,000",,60,0,-,-
"CP 24: Information and
communication services",CSP 24.1: ICT support services,"9,534,474",,"9,534,474",,60,0,-,-
"CP 25: Other Develop-
ment Projects",CSP 25.1: Other development projects,"42,100,000",,"39,557,241",,60,0,"2,542,759",6.0
