Programme,Sub- Programme,Description,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Absorption (%),page_number,table_index
3000,,,-,-,-,99,0
,0,Default - Non Programmatic,-,-,-,99,0
1-1--3000,,,"89,176,875","75,779,983",85.0,99,0
,101013510,"Extension services,",-,-,-,99,0
,101023510,Livestock Production,"88,486,875","75,779,983",85.6,99,0
,101083510,livestock infrastructure development,"690,000",-,-,99,0
103003000,,,"51,706,138","35,983,700",69.6,99,0
,103013510,Administration and Support Services,"51,706,138","35,983,700",69.6,99,0
,103023510,generation of sector policy and direction,-,-,-,99,0
,103063510,,-,-,-,99,0
,103093510,,-,-,-,99,0
104003000,,,"246,299,142","161,932,380",65.7,99,0
,104043510,Establishment of Demo Farms,"24,040,573","14,683,086",61.1,99,0
,104053510,Administration Climate Change Mitigation,"222,258,569","145,749,294",65.6,99,0
,104063510,Irrigation,-,"1,500,000",-,99,0
,104073510,Policy Devt,-,-,-,99,0
105003000,,,"25,889,251","22,874,187",88.4,99,0
,105013510,Veterinary Support Services,"25,889,251","22,874,187",88.4,99,0
107003000,,,"22,356,220","14,998,159",67.1,99,0
,107013510,Administration and Planning Services,"22,356,220","14,998,159",67.1,99,0
108003000,,,-,-,-,99,0
,108013510,Crop Productivity Enhancement Support,-,-,,99,0
,108053510,Livestock Production Services,-,-,-,99,0
109003000,,,"42,044,186","22,216,333",52.8,99,0
,109013510,"County land planning and spatial develop-
ment","24,218,866","11,330,533",46.8,99,0
,109023510,County Land Survey and Mapping,"17,825,320","10,885,800",61.1,99,0
,109033510,"land management infrastructural develop-
ment",-,-,-,99,0
204003000,,,"268,172,267","113,412,428",42.3,99,0
,204013510,Road Improvement,"10,440,117","4,284,134",41.0,99,0
,204023510,Estate Flood lighting facilities.,"257,732,150","109,128,295",42.3,99,0
,204033510,"Bridge Infrastructure and Engineering De-
signs",-,-,-,99,0
,204043510,Roads Maintenance Emergency,-,-,-,99,0
206003000,,,"237,936,200","113,172,783",47.6,99,0
,206013510,Control of invasive species (Mathenge),"50,000,000","26,402,850",52.8,99,0
,206023510,Urban Development,"187,936,200","86,769,933",46.2,99,0
207003000,,,"142,385,541","96,791,172",68.0,99,0
,207013510,General Administration and Planning,"32,049,111","17,918,287",55.9,99,0
,207023510,Infrastructural Development,"110,336,430","78,872,885",71.5,99,0
301003000,,,"19,655,746","6,183,921",31.5,99,0
,301013510,"Entrepreneurship and business management
training","17,655,746","6,183,921",35.0,99,0
,301023510,Micro and Small Business Support Services,"2,000,000",-,-,99,0
,301033510,Infrastructure support,-,-,-,99,0
,303013510,Co-operative training and supervision,-,-,-,99,0
304003000,,,"120,872,880","72,077,415",59.6,99,0
,304013510,Tourism Promotion and Marketing,-,-,-,100,0
,304023510,Tourism Development,"120,872,880","72,077,415",59.6,100,0
,304033510,Protection of endangered wildlife animals.,-,-,-,100,0
,304043510,Conservancy development and support,-,-,-,100,0
401003000,,,"152,521,039","117,004,134",76.7,100,0
,401013510,Community Health Strategy,-,-,-,100,0
,401023510,Preventive and Promotive Health Services,"125,822,002","86,967,641",69.1,100,0
,401033510,"Disease Surveillance And Epidemic pre-
paredness","16,572,474","7,977,768",48.1,100,0
,401043510,"Health communication, Promotive Services
& health promotion",-,-,-,100,0
,401053510,,"10,126,563","22,058,725",217.8,100,0
,401063510,Purchase of KEPI Fridges,-,-,-,100,0
402003000,,,"1,106,369,204","559,760,563",50.6,100,0
,402013510,"Provision Of Essential Health products In all
The Level",-,-,-,100,0
,402023510,"Elimination Of Communicable & Non Com-
municable Diseases",-,-,-,100,0
,402033510,Administration Support Services,"876,822,063","553,360,563",63.1,100,0
,402043510,"SP4 Administration Support services( Med-
ical Services)","15,500,000",-,-,100,0
,402083510,Beyond Zero Campaigns,-,-,-,100,0
,402093510,Preventive and Promotive Services,"214,047,141","6,400,000",3.0,100,0
403003000,,,"93,774,226","50,914,883",54.3,100,0
,403013510,Curative and Rehabilitative Health Services,"86,411,350","47,728,413",55.2,100,0
,403023510,Health Information System,-,-,-,100,0
,403033510,Leadership/Governance,-,-,-,100,0
,403043510,Human Resources for health,-,-,-,100,0
,403053510,Curative Infrastructure Support,"7,362,876","3,186,470",43.3,100,0
404003000,,,-,-,-,100,0
,404013510,"World Bank Loan for Transforming Health
System for Universal Car",-,-,-,100,0
501003000,,,"188,114,144","140,004,449",74.4,100,0
,501013510,Administration,"153,114,144","105,004,449",68.6,100,0
,501023510,Personnel services,-,-,-,100,0
,501033510,Contracted Services,"35,000,000","35,000,000",100.0,100,0
502003000,,,"40,815,568","19,579,106",48.0,100,0
,502013510,ECDE Classroom Infrastructure,"30,815,568","5,595,106",18.2,100,0
,502023510,Vocational Training,-,-,-,100,0
,502033510,Youth Polytechnics,"10,000,000","13,984,000",139.8,100,0
,502043510,Promotion of Quality Youth empowerment,-,-,-,100,0
,502063510,Child Rescue Centre In Isiolo,-,-,-,100,0
503003000,,,"10,833,297",-,-,100,0
,503033510,Sport Youth and Gender,-,-,-,100,0
