Programme,Approved Budget (Ksh),"Actual Payments
(Ksh)",Variance (Kshs.),"Absorption
(%)",page_number,table_index
Finance and Economic Planning,,,,,170,0
"Budget formulation, coordation and management (0703023060)","68,737,842","48,133,190","20,604,652",30.0,170,0
General Administration (0704043060),"151,153,268","44,029,382","107,123,886",70.9,170,0
Revenue Collection Management (0710013060),"21,631,598","9,007,764","12,623,834",58.4,170,0
Public Finance and Accounting Services (0711013060),"8,720,017","4,482,273","4,237,744",48.6,170,0
Procurement Services (0711023060),"5,285,681","1,676,650","3,609,031",68.3,170,0
Risk Assurance Services (0711033060),"5,361,200","2,259,178","3,102,022",57.9,170,0
Personal Services(0704013060),"229,495,874","152,914,864","76,581,010",33.4,170,0
Sub Total,"490,385,480","262,503,301","227,882,179",46.5,170,0
"Agriculture, Livestock and Fisheries",,,,,170,0
General Administration and Support Services {0102053060},"745,989,584","241,220,165","504,769,419",67.7,170,0
Crop Production & Food Security {0107013060},"74,463,032","5,523,890","68,939,142",92.6,170,0
Dairy And Meat Production {0108013060},"38,381,000","12,750,356","25,630,644",66.8,170,0
Fish Production Management {0109013060},"29,279,200","15,748,422","13,530,778",46.2,170,0
Livestock Disease Control {0108033060},"41,850,000","5,434,030","36,415,970",87.0,170,0
"Farm Land Utilization, Mechanization & Crop Storage {0107033060}","44,427,436","30,286,896","14,140,540",31.8,170,0
"Agricultural Extension, Research & Training. {0107023060}","23,801,000","561,750","23,239,250",97.6,170,0
Sub Total,"998,191,252","311,525,509","686,665,743",68.8,170,0
"Land, Environment, Mining and natural resources",,,-,,170,0
0102053060 (General administration and Support services,"109,803,699","31,925,149","77,878,551",70.9,170,0
0102063060 (Personnel Services),"25,581,648","21,101,506","4,480,142",17.5,170,0
0104013060 (Physical development plans),"13,500,000","4,868,230","8,631,770",63.9,170,0
0105013060 (Establishment of squatter settlement schemes,"4,793,333","450,020","4,343,313",90.6,170,0
'0105033060 (identification and acquisition of land for development),"11,680,000",-,"11,680,000",100.0,170,0
0106023060 (County Environmental Awareness Initiative),"16,929,550","609,250","16,320,300",96.4,170,0
0111013060 (kwale municipality),"51,200,000",,"51,200,000",100.0,170,0
0112013060 (Diani Municipality),"4,000,000",,"4,000,000",100.0,170,0
Sub Total,"237,488,230","58,954,155","178,534,075",75.2,170,0
Medical and Public Health Services,,,,,170,0
General Administration(0403013060),"878,741,657","297,450,116","581,291,541",33.8,170,0
Medical Drugs(0402043060)),"216,533,928","144,700,848","71,833,080",66.8,170,0
Personnel Services(0403053060),"1,314,842,910","889,011,538","425,831,372",67.6,171,0
Msambweni Hospital (0405013060),"26,976,000","2,756,722","24,219,278",10.2,171,0
Kinango Hospital(0406013060),"23,395,000","1,733,807","21,661,193",7.4,171,0
Kwale Hospital(0407013060),"23,974,800","1,271,901","22,702,899",5.3,171,0
Tiwi Rural Health Facility(0408013060),"4,820,000","74,200","4,745,800",1.5,171,0
Samburu Hospital(0409013060),"1,240,000",-,"1,240,000",0.0,171,0
Lungalunga Hospital(0410013060),"20,100,000","470,550","19,629,450",2.3,171,0
Public Health(0401053060),"43,750,000","1,176,059","42,573,941",2.7,171,0
Rural Health Facilities(0412013060),"290,633,634","20,844,582","269,789,052",7.2,171,0
Diani Health Center (0413013060),"600,000",-,"600,000",-,171,0
Other Current Transfers (0401023060),"177,810,035","65,606,129","112,203,906",36.9,171,0
Sub Total,"3,030,917,964","1,427,256,452","1,603,661,512",47.1,171,0
County Assembly,,,,,171,0
General Administration('0704013060),"276,194,154","162,113,835","114,080,319",58.7,171,0
Oversight& Legislation Of County Affairs('0705013060),"132,884,166","80,372,406","52,511,760",60.5,171,0
General Administration And Support Services('0704043060),"527,628,462","229,163,995","298,464,467",43.4,171,0
Sub Total,"936,706,782","471,650,236","465,056,546",50.4,171,0
"Trade, Investment and Co-operative Development",,,,,171,0
Administration services(0305023060),"9,262,773","3,913,191","5,349,582",42.2,171,0
Construction of new markets(0306023060),"24,503,272",-,"24,503,272",-,171,0
Weights & Measures,"10,042,000","8,132,193","1,909,807",81.0,171,0
Trade Development and Investment,"12,947,800","4,419,860","8,527,940",34.1,171,0
Other Current Transfers(0306023060),"88,497,081","27,892,626","60,604,455",31.5,171,0
Personnel services(0305013060),"23,934,891","17,246,828","6,688,063",72.1,171,0
Building Capacity of Traders for better Market Acess (301013060),"3,381,000","1,226,461","2,154,539",36.3,171,0
"Availing Affordable Credit to Entrepreneurs for Wealth cre-
ation(301023060)","39,000,000",-,"39,000,000",-,171,0
Industry & Enterprise Development,"85,221,449","925,476","84,295,973",1.1,171,0
Cooperative Development,"5,816,000","2,369,792","3,446,208",40.7,171,0
Domestic payable-from previous years,"97,303,888","40,449,279","56,854,609",41.6,171,0
Sub Total,"399,910,154","106,575,706","293,334,448",26.6,171,0
Social Services and Talent Management,,,,,171,0
0903013060,"46,239,114","34,761,529","11,477,585",75.2,171,0
0903023060 Community Development,"32,750,000","1,620,470","31,129,530",4.9,171,0
0903033060,"5,000,000","475,100","4,524,900",9.5,171,0
