Programme,Sub- Programme,"Approved Budget
(Ksh)","Actual Payments
(Ksh)",Variance (Kshs.),"Absorption
(%)",page_number,table_index
RECURRENT EXPENDITURE,,,,,,185,1
,General Administration & Planning,"201,811,120","91,248,678","110,562,442",45.2,185,1
County Assembly,Legislation. Representation & Oversight,"203,188,880","110,686,026","92,502,854",54.5,185,1
,Sub total,"405,000,000","201,934,704","203,065,296",49.9,185,1
County Executive,Headquarters,"209,997,394","162,220,179","47,777,215",77.2,185,1
,Office of the Governor & Deputy Governor,"195,474,344","59,098,716","136,375,628",30.2,185,1
,Public Service Management,"4,175,000","2,604,824","1,570,176",62.4,185,1
,County Public Service,"18,044,856","3,348,181","14,696,675",18.6,185,1
,Sub total,"427,691,594","227,271,900","200,419,694",53.1,185,1
Finance,Headquarters,"101,367,686","52,040,999","49,326,687",51.3,185,1
,Sub total,"101,367,686","52,040,999","49,326,687",51.3,185,1
Agriculture & Irrigation,"Directorate of Agriculture and Extension
Services","68,009,607","36,121,794","31,887,813",53.1,185,1
,Crop Management,"7,476,915",-,-,-,185,1
,Crop Husbandry,"1,967,844",-,"1,967,844",0.0,185,1
,Agriculture Training Centers (ATC),,,,,185,1
,Plant Disease Control,"39,701,490","4,072,108","35,629,382",10.3,185,1
,Sub total,"117,155,856","40,193,902","76,961,954",34.3,185,1
"Land, Physical Planning",Headquarters,"24,151,163","15,944,836","8,206,327",66.0,186,0
,"Housing, Urban Dev and Infrastructure","250,000",-,"250,000",0.0,186,0
,Survey & Planning,"10,100,000","9,900,000","200,000",98.0,186,0
,Sub total,"34,501,163","25,844,836","8,656,327",74.9,186,0
"Education, Gender,
Sports, Youth, Culture &
Social services",Headquarters,"29,520,409","20,174,317","9,346,092",68.3,186,0
,Village Polytechnics,-,-,,,186,0
,Early Childhood Development,"227,930,800","202,223,553","25,707,247",88.7,186,0
,Sub total,"257,451,209","222,397,870","35,053,339",86.4,186,0
Medical Services,Headquarters,"714,628,305","513,944,489","200,683,816",71.9,186,0
,Curative & Rehabilitative Health Dept,"141,980,020","48,889,924","93,090,096",34.4,186,0
,Preventive & Promotive Health Dept,"57,724,264","5,796,875","51,927,389",10.0,186,0
,Sub total,"914,332,589","568,631,288","345,701,301",62.2,186,0
"Trade, Tourism & In-
vestment Development",Headquarters,"10,244,893","6,629,473","3,615,420",64.7,186,0
,Tourism,"3,096,382","853,680","2,242,702",27.6,186,0
,Culture,"9,000,000",-,"9,000,000",0.0,186,0
,Trade & Investment,"3,654,341","559,423","3,094,918",15.3,186,0
,Sub total,"25,995,616","8,042,576","17,953,040",30.9,186,0
"Livestock, Veterinary &
Cooperative Develop-
ment",Headquarters,"10,920,693","8,334,133","2,586,560",76.3,186,0
,Livestock Production,"9,890,936","7,517,007","2,373,929",76.0,186,0
,Veterinary Services,"15,160,881","10,739,584","4,421,297",70.8,186,0
,Cooperative Development,"2,011,734","230,991","1,780,743",11.5,186,0
,Sub total,"37,984,244","26,821,715","11,162,529",70.6,186,0
Public Service Board,Trade Development & Regulation,"45,217,320","15,729,337","29,487,983",34.8,186,0
,Sub total,"45,217,320","15,729,337","29,487,983",34.8,186,0
"Water Management &
Conservation",Headquarter,"16,754,852","7,384,462","9,370,390",44.1,186,0
,Headquarter,"10,286,597","4,664,604","5,621,993",45.3,186,0
,Sub total,"27,041,449","12,049,066","14,992,383",44.6,186,0
"Gender,Youth, Culture,
Sports & Social Services",Headquarter,"9,861,732","3,911,476","5,950,256",39.7,186,0
,Headquarter,"10,784,200","3,479,876","7,304,324",32.3,186,0
,Social Services,"4,373,200","694,700","3,678,500",15.9,186,0
,Sub total,"25,019,132","8,086,052","16,933,080",32.3,186,0
"Public Health Sanitation
and Environment",Headquarter,"86,274,460","47,844,900","38,429,560",55.5,186,0
,Sub total,"86,274,460","47,844,900","38,429,560",55.5,186,0
Fisheries Development,Headquarter,"33,852,020","18,000,797","15,851,223",53.2,186,0
,Sub total,"33,852,020","18,000,797","15,851,223",53.2,186,0
"Budget & Economic
Planning",Economic Planning and Budgeting,"19,949,480","9,487,773","10,461,707",47.6,186,0
,Sub total,"19,949,480","9,487,773","10,461,707",47.6,186,0
"Infrastructure and En-
ergy",Headquarter,"43,316,204","20,127,676","23,188,528",46.5,186,0
,Sub total,"43,316,204","20,127,676","23,188,528",46.5,186,0
Lamu Municipality,Headquarter,"53,790,000","708,070","53,081,930",1.3,186,0
,Sub total,"53,790,000","708,070","53,081,930",1.3,186,0
Grand Total,,"2,655,940,022","1,505,213,461","1,150,726,561",56.7,186,0
DEVELOPMENT EXPENDITURE,,,,,,186,0
County Assembly,General Administration and Planning,,,,,187,0
,Legislation. Representation and Oversight,"195,000,000","7,704,900","187,295,100",4.0,187,0
,Sub total,"195,000,000","7,704,900","187,295,100",4.0,187,0
County Executive,Headquarters,"197,000,000","42,032,069","154,967,931",21.3,187,0
,Office of the Governor & Deputy Governor,"45,000,000",-,"45,000,000",0.0,187,0
,Public Service Management,"3,000,008",-,"3,000,008",0.0,187,0
,County Public Service,"1,685,376",-,"1,685,376",0.0,187,0
,Sub total,"246,685,384","42,032,069","204,653,315",17.0,187,0
Finance,"Accounting, Standards & Reporting","4,100,000",-,"4,100,000",0.0,187,0
,Sub total,"4,100,000",-,"4,100,000",0.0,187,0
Agriculture & Irrigation,"Directorate of Agriculture and Extension
Services",-,-,,,187,0
,Crop Management,"15,460,000","2,460,000","13,000,000",15.9,187,0
,Crop Husbandry,,-,-,-,187,0
,Agriculture Training Centers (ATC),,,"5,000,000",0.0,187,0
,Plant Disease Control,"149,441,632",-,"149,441,632-",-,187,0
,Sub total,"169,901,632","2,460,000","167,441,632",1.4,187,0
"Land, Physical Planning",Headquarters,-,,-,-,187,0
,"Housing, Urban Dev and Infrastructure",-,-,-,-,187,0
,Survey & Planning,"140,646,644",-,"140,646,644",-,187,0
,Sub total,"140,646,644",-,"140,646,644",-,187,0
"Education, Gender,
Sports, Youth, Culture &
Social services",Headquarters,-,-,-,-,187,0
,Village Polytechnics,"83,598,297","44,212,699","39,385,598",52.9,187,0
,Early Childhood Development,"96,014,321","6,406,660","89,607,661",6.7,187,0
,Sub total,"179,612,618","50,619,359","128,993,259",28.2,187,0
Medical Services,Headquarters,,,-,-,187,0
,Curative & Rehabilitative Health Dept,"350,000",-,"350,000",-,187,0
,Preventive & Promotive Health Dept,"335,891,284","13,065,500","322,825,784",3.9,187,0
,Sub total,"336,241,284","13,065,500","323,175,784",3.9,187,0
"Trade, Tourism & In-
vestment Development",Headquarters,,,,,187,0
,Tourism,,,,,187,0
,Culture,,,,,187,0
,Trade & Investment,"27,900,000","8,817,618","19,082,382",31.6,187,0
,Sub total,"27,900,000","8,817,618","19,082,382",31.6,187,0
"Livestock, Veterinary &
Cooperative Develop-
ment",Headquarters,,,-,-,187,0
,Livestock Production,"20,000,000",-,"20,000,000",0.0,187,0
,Veterinary Services,"23,017,253","934,473","22,082,780",4.1,187,0
,Cooperative Development,,,-,-,187,0
,Sub total,"43,017,253","934,473","42,082,780",2.2,187,0
"Water Management &
Conservation",Headquarter,"182,672,073","35,735,126","146,936,947",19.6,187,0
,Headquarter,,,-,-,187,0
,Sub total,"182,672,073","35,735,126","146,936,947",19.6,187,0
