Programme,Sub- Programme,"Approved Budget
(Kshs.)","Actual Payments
(Kshs.)",Variance (Kshs.),Absorption (%),page_number,table_index,"Approved Budget
(Kshs)","Actual Payments
(Kshs)","Implementation Sta-
tus (%)"
"Operation And mainte-
nance Of Rural Water Ser-
vices",Water supplies and sewerage,"19,611,766",-,"19,611,766",-,234,0,,,
,Sub total,"19,611,766",-,"19,611,766",-,234,0,,,
Grand Total,,"9,541,861,428","4,014,312,923","5,527,548,505",42,234,0,,,
3011 The Executive,"Governor's Affairs & Advisory
Services",,,"88,337,827",,239,0,"138,270,479","49,932,652",36.1
,"Deputy Governor's Affairs & Ex-
ternal Relations",,,"72,541,882",,239,0,"92,117,045","19,575,163",21.3
,"Cabinet Affairs, Policy Research
and Legal Services",,,"81,433,935",,239,0,"84,096,963","2,663,028",3.2
,MV 2035 & E-Government,,,"13,428,650",,239,0,"13,428,650",-,-
,Strategic Delivery Unit,,,"4,485,000",,239,0,"4,485,000",-,-
"3013 County Public
Service Board",Administration Unit,,,"61,005,978",,239,0,"86,459,525","25,453,547",29.4
"3014 Finance and
Economic Planning",Administration Unit,,,"1,093,438,704",,239,0,"1,978,613,010","885,174,306",44.7
,Accounting Unit,,,"103,888,164",,239,0,"209,710,783","105,822,619",50.5
,Planning and Monitoring Unit,,,"116,448,602",,239,0,"174,075,045","57,626,443",33.1
"3015 Energy,
Environment & Waste
Management","Administration, Planning and
Support Services",,,"154,402,582",,239,0,"393,660,241","239,257,659",60.8
,Waste Management,,,"131,965,857",,239,0,"184,693,088","52,727,231",28.5
,"Environmental Compliance and
Monitoring",,,"121,948,640",,239,0,"126,727,950","4,779,310",3.8
,Climate Change,,,"51,760,348",,239,0,"53,167,400","1,407,052",2.6
,Energy,,,"2,404,000",,239,0,"2,404,000",-,-
"3016 Education,
Information Technology
& MV 2035","General Administration, Plan-
ning and Support Services",,,"129,136,337",,239,0,"263,079,423","133,943,086",50.9
,Education headquarters,,,"130,775,793",,239,0,"164,864,132","34,088,339",20.7
,Childcare,,,"72,062,000",,239,0,"72,062,000",-,-
,Elimu Fund,,,"105,080,000",,239,0,"217,800,000","112,720,000",51.8
,"Information Technology Head-
quarters",,,"79,667,454",,239,0,"85,105,385","5,437,931",6.4
3017 Health Services,Administration Unit,,,"481,401,014",,239,0,"2,529,829,109","2,048,428,095",81
,"Curative/Clinical Health Ser-
vices",,,"147,695,420",,239,0,"147,695,420",-,-
,"Preventive and Promotive Ser-
vices Unit",,,"134,099,627",,239,0,"165,339,437","31,239,810",18.9
,Special Programs,,,"5,205,227",,239,0,"5,205,227",-,0.0
"3018 Water, Sanitation
& Natural Resources",Administration unit,,,"38,710,327",,239,0,"51,023,693","12,313,366",24.1
,"Sanitation/Sewerage Services
Headquarters",,,"608,930,666",,239,0,"608,930,666",-,-
,Water Supply Headquarters,,,"685,931,721",,239,0,"938,006,011","252,074,290",26.9
,Natural Resources,,,"51,000,000",,239,0,"51,000,000",-,-
