Programme,Sub- Programme,Approved Budget (Kshs),"Actual Payments
(Kshs)",Variance (Kshs.),"Implementa-
tion Status (%)",page_number,table_index
"0701000 P1 General Adminis-
tration Planning and Support
Services","General Administration
Planning and Support Ser-
vices",Error! Not a valid link.,"21,537,006","30,677,496",41.2,252,1
"Total 5311000000 COUNTY
PUBLIC SERVICE BOARD",,Error! Not a valid link.,"21,537,006","30,677,496",41.2,252,1
"General Administrative
Services","General Administration &
Support Services",Error! Not a valid link.,"252,369,186","238,923,126",51.4,252,1
,"0718025310 Sp2 Sub
County Administration",Error! Not a valid link.,"1,095,235,111","977,767,075",52.8,252,1
,"0718075310 Sp7 County
Executive",Error! Not a valid link.,"101,585,132","253,838,833",28.6,252,1
,0718095310 Sp9 Audit,Error! Not a valid link.,"37,751,205","61,349,736",38.1,252,1
"Security and Safety Manage-
ment",0724055310 Inspectorate,Error! Not a valid link.,"1,122,614,434","918,068,043",55.0,252,1
,"0724015310 sp 24.1 inves-
tigative Services",Error! Not a valid link.,"36,892,687","54,004,714",40.6,252,1
"Disaster Management Coordi-
nation & Control","0724045310 Fire & Disas-
ter Management",Error! Not a valid link.,"97,847,024","552,897,760",15.0,252,1
management of legal affairs,"0725015310 sp 25.1 legal
services",Error! Not a valid link.,"158,672,853","147,632,289",51.8,252,1
"Total 5312000000 OFFICE
OF GOVERNOR & DEPUTY
GOVERNOR",,Error! Not a valid link.,"2,902,967,633","3,204,481,575",47.5,253,0
"0207000 P1: General Adminis-
tration Planning and Support
Services","0207010 SP 1: General
Administration, Planning
And Support Services","114,011,356","55,949,536","58,061,820",49.1,253,0
"0208000 P2: Information And
Communication Services","0208010 SP 2.1: News And
Information Services","65,500,000","10,528,937","54,971,063",16.1,253,0
,"0208030 SP 2.3: ICT and
Media Regulatory Services","19,500,000","1,213,725","18,286,275",6.2,253,0
,"0208040 SP 2.4 E-Govern-
ment Services","228,500,000","100,100","228,399,900",0.0,253,0
"0210005310 ICT Infrastructure
Development","0210010 SP1: ICT Infra-
structure Connectivity","107,000,000",-,"107,000,000",0.0,253,0
,"0210035310 sp 3:Informa-
tion Security","18,000,000",-,"18,000,000",0.0,253,0
"Total 5313000000 ICT,
E-GOVT & PUBLIC COM-
MUNICATIONS",,"552,511,356","67,792,298","484,719,058",12.3,253,0
"0701005310 Public Financial
Management","0701015310 Assets Man-
agement Services","287,667,520","23,350,234","264,317,286",8.1,253,0
,"0701065310 sp1.6 Ac-
counting Services","3,251,694,840","3,144,246,546","107,448,294",96.7,253,0
,"0701075310 sp1.7 Budget
Formulation Coordination
and mgt","176,129,010","45,422,774","130,706,236",25.8,253,0
,"0701085310 sp1.8 Re-
source Mobilisation","355,754,600","30,858,628","324,895,972",8.7,253,0
,Debt Management Services,"13,949,500","100,000","13,849,500",0.7,253,0
,"0718085310 Sp8 Supply
Chain Management","113,451,364","57,652,081","55,799,283",50.8,253,0
,5314001001 KDSP,"83,000,000",-,"83,000,000",0.0,253,0
,"5314001101 County Bud-
get & Economic Forum","5,470,000",-,"5,470,000",0.0,253,0
"0718005310 General Adminis-
trative Services","0718015310 Sp1 General
Administration & Support
Services","916,314,417","571,924,987","344,389,430",62.4,253,0
"0719000 P3: Economic and
Financial Policy Formulation
and Management","0719010 SP 3.1 Fiscal Pol-
icy Formulation, Develop-
ment and Management","319,446,289","26,916,115","292,530,174",8.4,253,0
"Total 5314000000 FINANCE
& ECONOMIC PLANNING",,"5,522,877,540","3,900,471,365","1,622,406,175",70.6,254,0
"0401000 P.1 Preventive & Pro-
motive Health Services","0401115310 HIV/AIDS
Prevention & Control Unit","4,440,402","75,000","4,365,402",1.7,254,0
,0401125310 TB Control,"2,200,000",-,"2,200,000",0.0,254,0
,"0401135310 Malaria Con-
trol & Other Communica-
ble Diseases","1,400,000","117,600","1,282,400",8.4,254,0
,"0401145310 Reproductive
Health & Maternal Health
(RMNCAH)","148,661,321","26,874,517","121,786,804",18.1,254,0
,"0401155310 Environmen-
tal / Public Health","96,300,000","16,672,800","79,627,200",17.3,254,0
0402005310 Curative care,"0402065310 sp.2.6 County
Referral Hospitals","231,416,000","19,054,866","212,361,134",8.2,254,0
,,"218,544,000","29,042,325","189,501,675",13.3,254,0
,,"191,266,000","14,443,324","176,822,676",7.6,254,0
,,"91,224,000","921,000","90,303,000",1.0,254,0
,"0402075310 sp.2.7 Health
Centres & dispensaries","305,338,679","18,509,418","286,829,261",6.1,254,0
"0404005310 General adminis-
tration, planning and support
services","0404015310 Sp4.1 Admin-
istration/Human Resource
for Health","5,324,566,646","3,065,151,239","2,259,415,407",57.6,254,0
,"0404025310 Sp4.2 Health
Policy,Planning & Financ-
ing","49,900,000","2,067,909","47,832,091",4.1,254,0
,"0404035310 sp 4.3 Health
Commodities","651,957,500","237,542,176","414,415,324",36.4,254,0
,"0404045310 sp 4.4 Re-
search, Quality assurance
& standards unit","27,000,500","554,356","26,446,144",2.1,254,0
,"0404055310 sp 4.5 Coroner
services unit","33,000,000",-,"33,000,000",0.0,254,0
Total 5315000000 HEALTH,,"7,377,215,048","3,431,026,531","3,946,188,517",46.5,254,0
"0106000 P 6 General Adminis-
tration Planning and Support
Services","0106010 SP.6.1 Adminis-
tration, Planning & Sup-
port Services","290,837,689","134,771,845","156,065,844",46.3,254,0
"0114005310 P.8:Urban Plan-
ning, compliance & enforce-
ment","0114015310 sp 8.1 Urban
planning","32,500,000","7,548,258","24,951,742",23.2,254,0
,"0114025310 sp 8.2 En-
forcement and compliance","88,200,000","920,800","87,279,200",1.0,254,0
"0115005310 P.9:Land manage-
ment","0115015310 sp 9.1 valua-
tion services","56,500,000","4,768,920","51,731,080",8.4,255,0
,"0115025310 sp 9.2 land
survey","170,437,596","94,217,804","76,219,792",55.3,255,0
,"0115035310 sp 9.3 Admin-
istrative services","18,000,000","1,492,568","16,507,432",8.3,255,0
"Total 5316000000 URBAN
PLANNING AND LANDS",,"656,475,285","243,720,195","412,755,090",37.1,255,0
"0207000 P1: General Adminis-
tration Planning and Support
Services","0207010 SP 1: General
Administration, Planning
And Support Services","1,078,097,939","558,946,334","519,151,605",51.8,255,0
"0211005310 P5:Roads,Drainage
& Bridges","0211015310 sp 5.1 Con-
struction Roads & Drain-
ages & Maintenance","1,727,078,840","156,249,693","1,570,829,147",9.0,255,0
,,"1,530,781,160","415,847,530","1,114,933,630",27.2,255,0
"0212005310 P6:Road Safety
Interventions","0212015310 sp 6.1 Trans-
port Facilities & Traffic
Management","187,620,000","32,137,805","155,482,195",17.1,255,0
"0213005310 P7: Institutional
Buildings & Maintenance","0213015310 sp 7.1 Public
street lighting Installations
& Maintenances","230,000,000","60,162,242","169,837,758",26.2,255,0
,"0213025310 sp 7.2 Mo-
tor Vehicle, Machinery &
Plant Maintenance","11,200,000",-,"11,200,000",0.0,255,0
,"0213035310 sp 7.3 Institu-
tional Buildings Mainte-
nance","14,500,000",-,"14,500,000",0.0,255,0
"Total 5317000000 PUBLIC
WORKS ,TRANSPORT &
INFRASTRUCTURE",,"4,779,277,939","1,223,343,605","3,555,934,334",25.6,255,0
"0508005310 General adminis-
tration, planning and support
services","0508025310 sp 8.2 General
Administration & Support
Services","1,149,631,494","431,805,115","717,826,379",37.6,255,0
