Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance (Kshs.),Absorption (%),page_number,table_index
Governors Office,"General administration support
services","284,470,188","183,791,935","100,678,253",64.6,285,1
,"Policy development and support
services","202,058,499","174,064,105","27,994,394",86.1,285,1
,,"486,528,687","357,856,040","128,672,647",73.6,285,1
"Finance and Economic
Planning","Information and communication
services","10,000,000",,"- 10,000,000",-,285,1
,ICT infrastructural services,"45,257,817","13,755,000","31,502,817",30.4,285,1
,"General administration support
services","313,642,323","258,268,310","55,374,013",82.3,285,1
,"Policy development and support
services","4,740,150","3,170,500","1,569,650",66.9,285,1
,Supply chain management,"12,785,600","5,951,950","6,833,650",46.6,285,1
,"Economic planning and coordi-
nation","69,203,440","27,537,120","41,666,320",39.8,285,1
,"Budget formulation and manage-
ment","85,393,000","26,325,350","59,067,650",30.8,285,1
,Audit services,"9,071,280","5,463,400","3,607,880",60.2,285,1
,Sub Total,"558,617,632","347,159,124","211,458,508",62.1,286,0
"Agriculture, Livestock
and Fisheries","General administration and sup-
port services","156,827,209","113,034,830","43,792,379",72.1,286,0
,Policy and planning,"8,696,114","7,599,550","1,096,564",87.4,286,0
,Crop Development Services,"429,939,866","96,078,400","333,861,466",22.3,286,0
,Agribusiness,"46,156,331","22,556,827","23,599,504",48.9,286,0
,Aquaculture Promotion Services,"3,372,000","1,848,000","1,524,000",54.8,286,0
,"Livestock Products Value Addi-
tion and Marketing","9,258,950","3,016,050","6,242,900",32.6,286,0
,"Animal Health Disease and Man-
agement","1,900,000","512,000","1,388,000",26.9,286,0
,Sub Total,"656,150,470","244,645,657","411,504,813",37.3,286,0
"Environment and Nat-
ural Resources","General administration and sup-
port services","57,361,604","48,348,468","9,013,136",84.3,286,0
,Policy and planning,"4,218,670","3,105,450","1,113,220",73.6,286,0
,Other energy sources promotion,"57,903,100","16,902,600","41,000,500",29.2,286,0
,Major towns water services,"2,980,000",-,"2,980,000",-,286,0
,Rural water services,"61,696,097","29,776,826","31,919,271",48.3,286,0
,Pollution and waste management,"7,833,996","3,882,872","3,951,124",49.6,286,0
,Agroforestry promotion,"15,150,000","850,200","14,299,800",5.6,286,0
,Sub Total,"207,143,467","102,866,416","104,277,051",49.7,286,0
"Education and voca-
tional training",General administration,"29,063,368","8,745,429","20,317,939",30.1,286,0
,Planning policy,"2,879,265","1,538,500","1,340,765",53.4,286,0
,"ECDE and CCC management
services","369,916,305","277,725,870","92,190,435",75.1,286,0
,Vocational management services,"329,293,382","40,681,400","288,611,982",12.4,286,0
,Sub Total,"731,152,320","328,691,199","402,461,121",45.0,286,0
Health Services,Health Promotion,"427,522,327","247,134,806","180,387,521",57.8,286,0
,Communicable Disease Control,"162,021,613","41,020,497","121,001,116",25.3,286,0
,Administration support services,"177,301,155","110,837,429","66,463,726",62.5,286,0
,Medical services,"1,090,125,247","822,979,874","267,145,373",75.5,286,0
,Facility infrastructural services,"41,055,000","12,084,186","28,970,814",29.4,286,0
,Sub Total,"1,898,025,342","1,234,056,793","663,968,549",65.0,286,0
"Land Housing & Phys-
ical Planning","General administration and sup-
port services","66,045,731","56,109,964","9,935,767",85.0,286,0
,Policy and planning,"6,072,400","2,868,900","3,203,500",47.2,286,0
,Physical Planning,"20,000,000",-,"20,000,000",-,286,0
,Surveying services,"5,915,000",-,"5,915,000",-,287,0
,Housing Improvement Services,"127,730,329","80,986,948","46,743,381",63.4,287,0
,"Town Management and Coordi-
nation","24,063,800","3,603,700","20,460,100",15.0,287,0
,Sub Total,"249,827,260","143,569,512","106,257,748",57.5,287,0
"Transport and Infra-
structure","Administration and support ser-
vices","88,279,966","78,115,776","10,164,190",88.5,287,0
,Policy and planning,"2,560,853","1,875,100","685,753",73.2,287,0
,"Construction of roads and bridg-
es","142,502,698","60,711,683","81,791,015",42.6,287,0
,"Rehabilitation and maintenance
of Roads","317,612,187","100,952,591","216,659,596",31.8,287,0
,Sub Total,"550,955,704","241,655,151","309,300,553",43.9,287,0
"Trade, Tourism, In-
dustrialization and
Cooperative Develop-
ment","General administration and sup-
port services","34,533,944","21,986,084","12,547,860",63.7,287,0
,Policy and planning services,"2,100,306","1,709,160","391,146",81.4,287,0
,Cooperative promotion,"14,313,440","3,576,850","10,736,590",25.0,287,0
,Trade promotion,"64,714,734","3,568,700","61,146,034",5.5,287,0
,"Tourism promotion and manage-
ment","2,594,600","1,290,600","1,304,000",49.7,287,0
,Sub Total,"118,257,024","32,131,394","86,125,630",27.2,287,0
"Youths, Sports, Gen-
der & Social Services","General administration support
services","42,192,130","31,016,159","11,175,971",73.5,287,0
,"Policy development and support
services","3,066,000","2,078,000","988,000",67.8,287,0
,Community Development,"97,713,224","46,335,259","51,377,965",47.4,287,0
,Cultural promotion heritage,"17,942,724","1,269,600","16,673,124",7.1,287,0
,Sub Total,"160,914,078","80,699,018","80,215,060",50.2,287,0
Public Service Board,"General administration and sup-
port services","83,857,466","57,665,177","26,192,289",68.8,287,0
,Policy and planning,"13,636,392","9,828,440","3,807,952",72.1,287,0
,Sub Total,"97,493,858","67,493,617","30,000,241",69.2,287,0
"Public Service Man-
agement","General administration and sup-
port services","542,819,942","411,458,423","131,361,519",75.8,287,0
,Policy and planning,"14,168,600","7,599,400","6,569,200",53.6,287,0
,Communication services,"2,334,000","1,707,000","627,000",73.1,287,0
,"Field coordination and adminis-
tration","4,335,000","1,310,308","3,024,692",30.2,287,0
,Strategy and Advisory Services,"1,200,000","498,816","701,184",41.6,287,0
