Programme,Sub- Programme,"Approved Budget
(Kshs.)","Actual Payments
(Kshs.)",Variance (Kshs.),"Absorption
(%)",page_number,table_index
"Agriculture ,Livestock, Fisheries and Co-operative Development",,,,,,347,1
Administrative and support services,Land Policy and Planning,"508,987,657","309,117,205","199,870,453",60.7,347,1
Irrigation and Drainage Infrastructure,Irrigation and Drainage Infrastructure,"21,000,000","987,500","20,012,500",4.7,347,1
"Agribusiness and Information Man-
agement",,"165,083,178","43,394,583","121,688,595",26.3,347,1
Livestock,"Housing Development and Human
Settlement","6,795,170","6,572,016","223,154",96.7,347,1
Livestock,Land Policy and Planning,"167,357,525","8,234,250","159,123,275",4.9,347,1
Veterinaries,"Housing Development and Human
Settlement","21,900,000","17,968,398","3,931,602",82,347,1
Veterinaries,,"2,623,950",-,"2,623,950",-,348,0
,"Housing Development and Human
Settlement","14,300,000","9,750,100","4,549,900",68.2,348,0
Sub total,,"908,047,480","396,024,052","512,023,428",43.6,348,0
"Trade, Commerce and Industry",,,,,,348,0
Administrative and support services,"Industrial Development and Invest-
ments","224,748,317","17,225,393","207,522,924",7.7,348,0
Administrative and support services,"General Administration Planning and
Support Services","57,944,644","20,042,702","37,901,942",34.6,348,0
Trade and industry development,Trade and industry development,"85,700,000","1,388,500","84,311,500",1.6,348,0
Sub total,,"368,392,961","38,656,595","329,736,366",10.5,348,0
"Water, Environment and Natural Resources",,,,,,348,0
Administrative and support services,"General Administration, Planning &
Support Services","100,519,375","47,027,143","53,492,233",46.8,348,0
"Water resource management and stor-
age","Environment Management and Pro-
tection","164,200,000","122,603,325","41,596,675",74.7,348,0
"Water resource management and stor-
age","Natural Resources Conservation &
Management","141,256,871","59,620,276","81,636,595",42.2,348,0
Sub total,,"405,976,246","229,250,744","176,725,502",56.5,348,0
"Public Works, Roads and Infrastructure",,,,,,348,0
Administrative and support services,"General Administration, Planning &
Support Services","181,938,484","145,273,732","36,664,752",79.8,348,0
Road construction,"General Administration, Planning &
Support Services","154,561,500","101,299,144","53,262,356",65.5,348,0
Road maintenance,Road maintenance,"291,756,125","114,764,351","176,991,774",39.3,348,0
Electrification,Electrification,"27,100,000","44,517,101","-17,417,101",164.3,348,0
Transport,Transport,"3,000,000","1,791,410","1,208,590",59.7,348,0
Transport,Transport,"15,900,000","10,031,984","5,868,016",63.1,348,0
Sub total,,"674,256,109","417,677,721","256,578,388",61.9,348,0
Health,,,,,,348,0
Administrative and support services,"Preventive & Promotive Health Ser-
vices","53,768,230","105,800","53,662,430",0.2,348,0
Medical health,Health Research and Development,"1,037,244",-,"1,037,244",-,348,0
"Preventive & Promotive Health Ser-
vices","Preventive & Promotive Health Ser-
vices","1,566,650,453","1,360,998,138","205,652,315",86.9,348,0
Health Research and Development,Health Research and Development,"529,759,194","182,032,527","347,726,667",34.4,348,0
Sub total,,"2,151,215,121","1,543,136,466","608,078,655",71.7,348,0
"Lands, Housing and Urban Development",,,,,,348,0
Administrative and support services,Land Policy and Planning,"421,242,067","25,978,844","395,263,223",6.2,348,0
Administrative and support services,Crop Development and Management,"13,000,000",-,"13,000,000",-,348,0
Housing,Land Policy and Planning,"26,700,000","1,800,000","24,900,000",6.7,348,0
Survey,Crop Development and Management,"47,258,730","45,022,485","2,236,245",95.3,348,0
Sub total,,"508,200,797","72,801,329","435,399,468",14.3,348,0
"Gender, Sports, Culture, Tourism",,,,,,348,0
Administrative and support services,Sports,"53,055,145","20,805,546","32,249,599",39.2,348,0
Administrative and support services,"General Administration, Planning &
Support Services","57,350,000","19,276,901","38,073,099",33.6,348,0
Sports,The Arts,"25,900,118","7,618,580","18,281,538",29.4,348,0
Culture,Library Services,"24,690,617","14,622,352","10,068,265",59.2,348,0
Administrative and support services,"General Administration Planning and
Support Services","117,950,661","26,978,134","90,972,527",22.9,348,0
Sub total,,"278,946,541","89,301,514","189,645,027",32,348,0
Governance and Public Service Management,,,,,,348,0
