Programme,Sub- Programme,"Approved Bud-
get (Ksh)","Actual Payments
(Ksh)",Variance,"Absorption
(%)",page_number,table_index
"Default - Non-Program-
matic",,-,"1,453,600","(1,453,600)",-,36,0
,Default - Non Programmatic,-,"1,453,600","(1,453,600)",,36,0
General administration,,"392,511,616","369,533,777","22,977,839",94.1,36,0
,"General administration, plan-
ning & support services","392,511,616","369,533,777","22,977,839",94.1,36,0
Land Administration,,"23,000,000","192,200","22,807,800",0.8,36,0
,"Land adjudication and demar-
cation","23,000,000","192,200","22,807,800",0.8,36,0
"Urban Development-Elda-
ma ravine",,"32,853,000",-,"32,853,000",-,36,0
,Support service,"32,853,000",-,"32,853,000",-,36,0
"Livestock Development and
Management",,"451,068,736","372,671,189","78,397,547",82.6,36,0
,"General administration, plan-
ning & support services","12,800,000","6,364,681","6,435,319",49.7,36,0
,Support service,"431,268,736","365,411,508","65,857,228",84.7,36,0
,"Livestock Improvement, Pas-
ture and Fodder Development","3,000,000",-,"3,000,000",-,36,0
,Apiculture Development,"4,000,000","895,000","3,105,000",22.4,36,0
Agricultural Development,,"2,800,000","2,154,900","645,100",77.0,36,0
,"General administration, plan-
ning & support services","2,800,000","2,154,900","645,100",77.0,36,0
"Agricultural training
services",,"1,300,000","1,300,000",-,100.0,36,0
,"General administration, plan-
ning & support services","1,300,000","1,300,000",-,100.0,36,0
"Other Urban Infrastructure
development and manage-
ment",,"91,242,376","18,547,713","72,694,663",20.3,36,0
,KUSP Programme,"91,242,376","18,547,713","72,694,663",20.3,36,0
"Crop Production and Man-
agement",,"11,400,000","8,215,475","3,184,525",72.1,36,0
,"Agribusiness Infrastructure
Development","11,400,000","8,215,475","3,184,525",72.1,36,0
"Fisheries Development and
Management",,"3,000,000","660,000","2,340,000",22.0,36,0
,Aquaculture Development,"3,000,000","660,000","2,340,000",22.0,36,0
"Urban Development-Ka-
barnet",,"45,223,307","40,302,799","4,920,509",89.1,36,0
,"General Administrative Ser-
vices","45,223,307","40,302,799","4,920,509",89.1,36,0
Land Use Planning,,"12,300,000",-,"12,300,000",-,36,0
,"Land Planning and Develop-
ment","12,300,000",-,"12,300,000",-,36,0
General administration,,"69,394,893","67,522,356","1,872,537",97.3,36,0
,"General administration, plan-
ning & support services","69,394,893","67,522,356","1,872,537",97.3,36,0
"Rural Infrastructure Devel-
opment",,-,-,-,-,36,0
,"Rural road development and
management",-,-,-,-,36,0
"Development and Rehabil-
itation of rural roads and
structures",,"725,325,712","488,238,713","237,086,999",67.3,36,0
,"Roads opening and rehabilita-
tion","725,325,712","488,238,713","237,086,999",67.3,36,0
General administration,,"80,853,448","80,242,062","611,386",99.2,36,0
,"General administration, plan-
ning & support services","80,853,448","80,242,062","611,386",99.2,36,0
"Tourism Development &
Marketing",,-,-,-,-,36,0
,"General administration, plan-
ning & support services",-,-,-,-,36,0
Trade Development,,"9,852,591","5,947,189","3,905,402",60.4,36,0
,Trade Development,"9,852,591","5,947,189","3,905,402",60.4,36,0
"Industrial Development
services",,"6,000,000","7,390,364","(1,390,364)",123.2,36,0
,Industrial Dev services,-,-,-,-,36,0
,"General administration, plan-
ning & support services","6,000,000","7,390,364","(1,390,364)",123.2,36,0
General administration,,"1,970,056,541","1,889,447,920","80,608,621",95.9,37,0
,"General administration, plan-
ning & support services","1,970,056,541","1,889,447,920","80,608,621",95.9,37,0
Health/preventive services,,-,"38,890,490","(38,890,490)",-,37,0
