Programme,Sub- Programme,"Approved Bud-
get
(Kshs)","Actual Payments
(Kshs)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index
Water and Natural Resources,,,,,,56,1
"General administration, planning
and support services","General administration, planning
and support services","157,766,722","74,251,927","83,514,795",47.1,56,1
"Water and sewerage services man-
agement","Water and sewerage services man-
agement","65,000,000","65,000,000",-,100.0,56,1
,,"96,279,340","41,019,814","55,259,526",42.6,56,1
"Forest conservation, protection
and management","Forest conservation, protection
and management","144,000,000",-,"144,000,000",0.0,56,1
Sub total,,"463,046,062","180,271,741","282,774,321",38.9,56,1
"Trade, Energy and Industrialization",,,,,,56,1
"General administration, planning
and support services","General administration, planning
and support services","83,319,413","72,061,017","11,258,396",86.5,56,1
"Energy access and Industrial de-
velopment","Energy access and Industrial de-
velopment","13,793,500","13,071,000","722,500",94.8,57,0
Ward Based Projects,,"22,845,184","8,027,362","14,817,822",35.1,57,0
Sub total,,"119,958,097","93,159,379","26,798,718",77.7,57,0
Education and Planning,,,,,,57,0
"General Administration, Planning,
Policy Coordination and Support
Services","General Administration, Planning,
Policy Coordination and Support
Services","1,082,875,148","1,011,969,124","70,906,024",93.5,57,0
,"General Administration, Planning,
Policy Coordination and Support
Services","1,300,000","1,300,000",-,100.0,57,0
,"General Administration, Planning,
Policy Coordination and Support
Services","2,000,000","2,000,000",-,100.0,57,0
"Early Childhood Development
and Education","Early Childhood Development
and Education","500,000","500,000",-,100.0,57,0
,"Early Childhood Development
and Education","300,000","300,000",-,100.0,57,0
,"Early Childhood Development
and Education","300,000","300,000",-,100.0,57,0
,"Early Childhood Development
and Education","126,922,941","31,339,500","95,583,441",24.7,57,0
"Vocational Education and Train-
ing","Vocational Education and Train-
ing","124,503,298","7,387,144","117,116,154",5.9,57,0
,,"300,000","300,000",-,100.0,57,0
,,"300,000","300,000",-,100.0,57,0
,,"12,243,545",-,"12,243,545",0.0,57,0
Education Support Programme,Education Support Programme,"243,726,800","170,000,000","73,726,800",69.8,57,0
Sub total,,"1,595,271,732","1,225,695,768","369,575,964",76.8,57,0
Environment and Tourism,,,,,,57,0
"General Administration, Planning,
Policy Coordination and Support
Services","General Administration, Planning,
Policy Coordination and Support
Services","28,716,261","28,716,261",-,100.0,57,0
,,"3,000,000","3,000,000",-,100.0,57,0
,,"159,898,868","159,737,176","161,692",99.9,57,0
"Tourism product development and
marketing","Tourism product development and
marketing","1,288,784",-,"1,288,784",0.0,57,0
,,"3,866,351",-,"3,866,351",0.0,57,0
"Integrated solid waste manage-
ment","Integrated solid Waste manage-
ment","9,879,461","6,173,314","3,706,147",62.5,57,0
Sub total,,"206,649,725","197,626,751","9,022,974",95.6,57,0
"Lands, Urban and Physical Planning",,,,,,57,0
"General administration, planning
and support services","General administration, planning
and support services","128,145,955","73,933,442","54,212,512",57.7,57,0
"General administration, planning
and support services","General administration, planning
and support services","65,037,640","65,037,640",-,100.0,57,0
"General administration, planning
and support services","General administration, planning
and support services","521,078,910","253,150,033","267,928,877",48.6,57,0
Sub total,,"714,262,505","392,121,115","322,141,390",54.9,57,0
County Public Service Board,,,,,,57,0
"General administration, planning
and support services","General administration, planning
and support services","34,148,688","35,659,368","(1,510,680)",104.4,57,0
"General administration, planning
and support services","General administration, planning
and support services","6,185,300","6,185,300",-,100.0,57,0
Governance and National Values,Governance and National Values,"2,400,000","2,400,000",-,100.0,57,0
Sub total,,"42,733,988","44,244,668","(1,510,680)",103.5,57,0
Public Administration/ Sub County Administration,,,,,,58,0
"General Administration, Planning
and support services","General Administration, Planning
and support services","354,195,499","346,297,614","7,897,885",97.8,58,0
"Public participation, civic educa-
tion and Outreach services","Public participation ,civic educa-
tion and Outreach services","6,000,000","6,000,000",-,100.0,58,0
"Service Delivery and organiza-
tional transformation","Service Delivery and organiza-
tional transformation","10,897,624","7,373,271","3,524,353",67.7,58,0
Sub total,,"371,093,123","359,670,885","11,422,238",96.9,58,0
Directorate Housing,,,,,,58,0
"General Administration, Planning
and support services","General Administration, Planning
and support services","21,331,384","20,984,906","346,479",98.4,58,0
"Housing development and man-
agement","Housing development and man-
agement","6,443,919","6,437,915","6,004",99.9,58,0
Sub total,,"27,775,303","27,422,821","352,482",98.7,58,0
Finance and Economic Planning,,,,,,58,0
"General administration, planning
and support services","General administration ,planning
and support services","462,404,152","400,924,367","61,479,785",86.7,58,0
,,"446,571,931","446,571,931",-,100.0,58,0
,,"143,520,280","143,472,080","48,200",100.0,58,0
"Economic development planning
and coordination","Economic development planning
and coordination","86,026,515","72,750,240","13,276,275",84.6,58,0
Monitoring & Evaluation services,Monitoring & Evaluation services,"17,345,744","16,491,213","854,531",95.1,58,0
"County Public Financial Manage-
ment","County Public Financial Manage-
ment","30,309,641","29,100,000","1,209,640",96.0,58,0
Audit Services,Audit Services,"30,047,900","28,027,005","2,020,896",93.3,58,0
Sub total,,"1,216,226,162","1,137,336,835","78,889,327",93.5,58,0
Governor/ Deputy Governor's Office,,,,,,58,0
"General Administration, Planning
and support services","General Administration, Planning
and support services","261,415,188","261,415,188",-,100.0,58,0
,,"138,909,173","133,282,779","96,250,669",95.9,58,0
"County Executive Committee Af-
fairs","County Executive Committee Af-
fairs","22,956,484","22,956,484",-,100.0,58,0
"County Strategic and Service De-
livery","County Strategic and Service De-
livery","6,627,827","6,627,827",-,100.0,58,0
"Governance and strategic leader-
ship","Governance and strategic leader-
ship","47,151,184","30,046,519","17,104,665",63.7,58,0
"County government advisory ser-
vices","County government advisory ser-
vices","10,000,000","9,215,185","192,244,661",92.2,58,0
Subtotal,,"487,059,856","463,543,982","23,515,874",95.2,58,0
Health and Sanitation,,,,,,58,0
"General Administration, Planning,
Policy Coordination and Support
Services","General Administration, Planning,
Policy Coordination and Support
Services","3,036,545,921","2,811,232,095","225,313,826",92.6,58,0
"Preventive and Promotive Health
Services","Preventive and Promotive Health
Services","379,654,848","155,238,923","224,415,925",40.9,58,0
"Curative and Rehabilitative
Health Services","Curative and Rehabilitative
Health Services","361,766,693","100,000,000","261,766,693",27.6,58,0
"Reproductive, Maternal, New
Born and Child Health","Reproductive, Maternal, New
Born and Child Health","190,613,112","24,008,466","166,604,646",12.6,58,0
Sanitation Management,Sanitation Management,"25,491,544","1,477,300","24,014,244",5.8,58,0
Public health Department,Public health Department,"8,008,550",-,"8,008,550",-,58,0
Sub total,,"4,002,080,668","3,091,956,785","910,123,883",77.3,58,0
County Secretary,,,,,,58,0
"General administration, planning
and support services","General administration ,planning
and support services","251,363,631","196,713,097","54,650,534",78.3,58,0
