Programme,Sub- Programme,"Approved Bud-
get (Kshs.)","Actual Pay-
ments (Kshs.)","Va r i a n c e
(Kshs.)","Absorption
(%)",page_number,table_index
"Department Of Agriculture, Livestock And Fisheries",,,,,,64,1
"Cp1: General Adminis-
tration And Support Ser-
vices",Administrative Support Services,"222,815,995","215,663,706","7,152,289",96.8,64,1
"Cp2: Crop Production
And Management",Csp 3.1 Input Support Services,"27,000,000","27,000,000",-,100.0,64,1
,Csp 3.2: Crop Development,"6,422,190","6,169,545","252,645",96.1,64,1
,Csp 3.3: Crop Protection,"3,010,000","999,900","2,010,100",33.2,64,1
"Cp3: Land Use And
Management",Csp 2.1: Agricultural Mechanization,"9,300,000",-,"9,300,000",0.0,64,1
"Cp4: Agricultural Train-
ing And Extension Ser-
vices",Csp 4.1: Agriculture Extension Services,"2,500,000","1,372,180","1,127,820",54.9,64,1
,Csp 4.2: Agricultural Training Services,"364,243,690","122,179,901","242,063,789",33.5,64,1
"Cp 5: Agribusiness And
Agricultural Value Chain
Development",Csp 5.1: Value Addition,-,,-,-,64,1
"Cp 6: Agricultural Finan-
cial Support Services","Csp 6.1: Agricultural Credit Support Ser-
vices","8,000,000","4,175,000","3,825,000",52.2,65,0
"Cp 8: Fisheries And
Aquaculture Resources
Development",Csp 8.1: Aquaculture Development,"5,080,000","3,056,310","2,023,690",60.2,65,0
,"Csp 8.2: Fisheries Training Infrastructure
Development","5,000,000","4,805,865","194,135",96.1,65,0
,"Csp 8.3: Fish Value Addition And Market-
ing","5,000,000","3,999,600","1,000,400",80.0,65,0
,Csp 8.4: Lake Based Agriculture Parks,"15,000,000","14,748,195","251,805",98.3,65,0
"Cp 9: Veterinary Health
Services",Csp 9.1: Veterinary Disease Control,"22,562,191","15,872,717","6,689,474",70.4,65,0
,Csp 9.2: Ai Services,-,-,-,-,65,0
,Csp 9.3: Meat Inspection Services,"2,000,000","2,000,000",-,100.0,65,0
"Cp 10: Livestock Pro-
duction And Develop-
ment","Csp 10.1: Livestock Production Improve-
ment","9,000,000","8,726,054","273,946",97.0,65,0
,Csp 10.2: Livestock Execution,-,-,-,-,65,0
"Cp 11: Other Develop-
ment Projects",Csp 11.1: Other Development Projects,"187,878,000","149,012,196","38,865,804",79.3,65,0
Sub Totals,,"894,812,066","579,781,169","315,030,897",64.8,65,0
"Department Of Trade, Cooperative And Industrialization",,,,,,65,0
"Cp 12: General Admin-
istration And Support
Services",Csp 12.1: Administrative Support Service,"66,987,960","58,734,839","8,253,121",87.7,65,0
"Cp 13; Trade Develop-
ment And Investment","Csp 13.1: Busia County Trade And Devel-
opment Fund","5,000,000",-,"5,000,000",0.0,65,0
,"Csp 13.2: Market Modernization And De-
velopment","46,530,017","29,797,372","16,732,645",64.0,65,0
"Cp 14: Fair Trade Prac-
tices",Csp 14.1; Weights And Measures,"5,000,000",-,"5,000,000",0.0,65,0
"Cp 15: Cooperative De-
velopment","Csp 15.1: Busia County Cooperative Enter-
prise Development Fund",-,-,-,-,65,0
,"Csp 15.2: Revitalization Of Cotton Ginner-
ies",-,-,-,-,65,0
,Csp 15.3: Value Addition,"7,000,000","1,488,128","5,511,872",21.3,65,0
"Cp 16: Other Develop-
ment Projects",Csp 16.1: Other Development Projects,"116,557,261","11,935,733","104,621,528",10.2,65,0
Sub Totals,,"247,075,238","101,956,072","145,119,166",41.3,65,0
"Department Of Finance, Economic Planning And Service Delivery",,,,,,65,0
"Cp 22: General Admin-
istration And Support
Services",Csp 22.1: Administrative Support Services,"893,755,683","872,382,215","21,373,468",97.6,65,0
