Programme,"Sub- Pro-
gramme",Description,"Approved Budget
(Kshs.)","Actual Payments
(Kshs.)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index
3000,,,-,"3,006,339","(3,006,339)",-,107,0
,0,"Default - Non Program-
matic",-,"3,006,339","(3,006,339)",-,107,0
101003000,,,"87,566,574","84,186,924","3,379,650",96.1,107,0
,101013510,"Extension services,",-,-,-,-,107,0
,101023510,Livestock Production,"86,876,574","83,496,924","3,379,650",96.1,107,0
,101063510,"Capacity building,",-,-,-,-,107,0
,101073510,"promotion of value ad-
dition of livestock and
livestock products",-,-,-,-,107,0
,101083510,"livestock infrastructure
development","690,000","690,000",-,100.0,107,0
102003000,,,-,-,-,0.0,107,0
,102013510,"infrastructure develop-
ment",-,-,-,-,107,0
,102023510,extension services,-,-,-,-,107,0
,102033510,capacity building,-,-,-,-,107,0
,102043510,,-,-,-,-,107,0
103003000,,,"49,531,638","44,548,934","4,982,704",89.9,107,0
,103013510,"Administration and
Support Services","49,531,638","44,548,934","4,982,704",89.9,107,0
,103023510,"generation of sector
policy and direction",-,-,-,-,107,0
104003000,,,"247,799,142","191,187,414","56,611,728",77.2,107,0
,104013510,"Increase food produc-
tivity & output by 30.",-,-,-,-,107,0
,104023510,"Enhance the accessibil-
ity of affordable inputs
and credit to farmers",-,-,-,-,107,0
,104033510,"Promote sustainable
land use and environ-
mental conservation",-,-,-,-,107,0
,104043510,"Establishment of Demo
Farms","25,540,573","19,919,886","5,620,687",78.0,107,0
,104053510,"Administration Climate
Change Mitigation","222,258,569","169,767,528","52,491,041",76.4,107,0
,104063510,Irrigation,-,"1,500,000","(1,500,000)",0.0,107,0
,104073510,Policy Development,-,-,-,-,107,0
105003000,,,"35,889,251","31,710,273","4,178,978",88.4,107,0
,105013510,"Veterinary Support Ser-
vices","35,889,251","31,710,273","4,178,978",88.4,107,0
107003000,,,"25,556,220","19,229,079","6,327,141",75.2,107,0
,107013510,"Administration and
Planning Services","25,556,220","19,229,079","6,327,141",75.2,107,0
108003000,,,-,-,-,-,107,0
,108013510,"Crop Productivity En-
hancement Support",-,-,-,-,107,0
,108053510,"Livestock Production
Services",-,-,-,-,108,0
109003000,,,"41,436,084","32,878,233","8,557,852",79.3,108,0
,109013510,"County land planning
and spatial develop-
ment","23,610,764","19,992,433","3,618,332",84.7,108,0
,109023510,"County Land Survey
and Mapping","17,825,320","12,885,800","4,939,520",72.3,108,0
,109033510,"land management infra-
structural development",-,-,-,-,108,0
201003000,,,-,"(1,320,000)","1,320,000",-,108,0
,201013510,"Establishment of Coun-
ty structures, Frame-
works, Policies",-,"(1,320,000)","1,320,000",-,108,0
203003000,,,-,-,-,-,108,0
,203013510,"Upgrading of Isiolo
Town roads to bitumen
standards",-,-,-,-,108,0
204003000,,,"268,172,267","240,991,208","27,181,059",89.9,108,0
,204013510,Road Improvement,"10,440,117","6,433,892","4,006,225",61.6,108,0
,204023510,"Estate Flood lighting
facilities.","257,732,150","234,557,316","23,174,834",91.0,108,0
,204033510,"Bridge Infrastructure
and Engineering De-
signs",-,-,-,-,108,0
,204043510,"Roads Maintenance
Emergency",-,-,-,-,108,0
205003000,,,-,-,-,-,108,0
,205013510,Personnel Management,-,-,-,-,108,0
,205023510,"General Administra-
tion, and Support Ser-
vices",-,-,-,-,108,0
206003000,,,"237,936,200","130,320,783","107,615,417",54.8,108,0
,206013510,"Control of invasive spe-
cies (Mathenge)","50,000,000","36,749,850","13,250,150",73.5,108,0
,206023510,Urban Development,"187,936,200","93,570,933","94,365,267",49.8,108,0
,206033510,Graveyards protection,-,-,-,-,108,0
,206043510,"Garbage collection
Support(truck)",-,-,-,-,108,0
,206053510,County Climate change,-,-,-,-,108,0
,206063510,"Rehabilitation of Sew-
erage Ponds",-,-,-,-,108,0
,206073510,"Installation of Hybrid
Solar Pumping System
in Boreholes",-,-,-,-,108,0
207003000,,,"137,273,758","125,864,574","11,409,184",91.7,108,0
,207013510,"General Administration
and Planning","34,949,111","25,565,449","9,383,662",73.2,108,0
,207023510,"Infrastructural Devel-
opment","102,324,647","100,299,125","2,025,522",98.0,108,0
301003000,,,"19,550,746","10,176,341","9,374,405",52.1,108,0
,301013510,"Entrepreneurship and
business management
training","17,550,746","8,433,071","9,117,675",48.0,108,0
,301023510,"Micro and Small Busi-
ness Support Services","2,000,000","1,895,580","104,420",94.8,108,0
,301033510,Infrastructure support,-,"(152,310)","152,310",0.0,108,0
,301043510,"Development of new
market stalls",-,-,-,0.0,108,0
302003000,,,-,-,-,0.0,108,0
,302013510,"Verification of weigh-
ing and measuring in-
struments",-,-,-,-,109,0
303003000,,,-,-,-,-,109,0
,303013510,"Co-operative training
and supervision",-,-,-,-,109,0
304003000,,,"120,318,997","113,625,270","6,693,727",94.4,109,0
,304013510,"Tourism Promotion and
Marketing",-,-,-,-,109,0
,304023510,Tourism Development,"120,318,997","112,525,270","7,793,727",93.5,109,0
,304033510,"Protection of endan-
gered wildlife animals.",-,"1,100,000","(1,100,000)",-,109,0
,304043510,"Conservancy develop-
ment and support",-,-,-,-,109,0
305003000,,,-,-,-,-,109,0
,305013510,"Administration plan-
ning support services",-,-,-,-,109,0
,305023510,Personnel service,-,-,-,-,109,0
,305033510,"Market Chain Develop-
ment",-,-,-,-,109,0
401003000,,,"168,153,201","147,443,393","20,709,808",87.7,109,0
,401013510,"Community Health
Strategy",-,-,-,-,109,0
,401023510,"Preventive and Promo-
tive Health Services","129,522,002","109,847,499","19,674,503",84.8,109,0
,401033510,"Disease Surveillance
And Epidemic pre-
paredness","16,572,474","15,537,169","1,035,305",93.8,109,0
,401043510,"Health communication,
Promotive Services &
health promotion",-,-,-,-,109,0
,401053510,,"22,058,725","22,058,725",(0),100.0,109,0
,401063510,"Purchase of KEPI
Fridges",-,-,-,0.0,109,0
402003000,,,"1,119,668,874","1,034,661,289","85,007,585",92.4,109,0
,402013510,"Provision Of Essential
Health products In all
The Level",-,-,-,-,109,0
,402023510,"Elimination Of
Communicable &
Non-Communicable
Diseases",-,-,-,-,109,0
,402033510,"Administration Support
Services","884,746,733","871,703,798","13,042,935",98.5,109,0
,402043510,"SP4 Administration
Support services( Med-
ical Services)","16,500,000","16,500,000",-,100.0,109,0
,402083510,"Beyond Zero Cam-
paigns",-,"1,440,000","(1,440,000)",-,109,0
,402093510,"Preventive and Promo-
tive Services","218,422,141","145,017,492","73,404,649",66.4,109,0
403003000,,,"93,774,226","72,810,147","20,964,079",77.6,109,0
,403013510,"Curative and Rehabil-
itative Health Services","86,411,350","66,124,073","20,287,277",76.5,109,0
,403023510,"Health Information
System",-,-,-,-,109,0
,403033510,"Leadership/Gover-
nance",-,-,-,-,109,0
,403043510,"Human Resources for
health",-,-,-,-,109,0
,403053510,"Curative Infrastructure
Support","7,362,876","6,686,074","676,802",90.8,109,0
404003000,,,-,-,-,0.0,110,0
,404013510,"World Bank Loan for
Transforming Health
System for Universal
Car",-,-,-,-,110,0
501003000,,,"183,846,531","181,465,606","2,380,926",98.7,110,0
,501013510,Administration,"148,846,531","146,465,606","2,380,926",98.4,110,0
