Programme,Sub- Programme,"Approved Budget
(Kshs)","Expenditure
(Kshs)","Variance
(Kshs)","Absorption
(%)",page_number,table_index
"General Administra-
tion, Planning and Sup-
port Services",Sub Total,"415,980,874","376,517,178","39,463,696",90.5,118,0
,"Headquarters Administrative
Services",-,-,-,-,118,0
,"General Administration and Sup-
port Services","415,980,874","376,517,178","39,463,696",90.5,118,0
"Crop and Plant Hus-
bandry","Crop Development and Manage-
ment.",-,-,-,-,118,0
,"Plant Diseases Management and
Control",-,-,-,-,118,0
"Livestock Resources
Management and De-
velopment",Sub Total,"2,291,900","604,800","1,687,100",26.4,118,0
,Animal Husbandry Management,-,-,-,-,118,0
,"Livestock Sale Yard and Abat-
toirs Development",-,-,-,-,118,0
,Veterinary Services,"2,291,900","604,800","1,687,100",26.4,118,0
"Fisheries Development
and Management",Sub Total,"3,822,078","318,100","3,503,978",8.3,118,0
,"Fisheries Policy Strategy and Ca-
pacity Building",-,-,-,-,118,0
,Fisheries,"3,822,078","318,100","3,503,978",8.3,118,0
"Environment Protection
and Natural Resources",,-,-,-,-,118,0
,"Forestry Conservation and Man-
agement",-,-,-,-,118,0
,"Air and Noise Pollution and Oth-
er Public Nuisance",-,-,-,-,118,0
"Land Policy and Plan-
ning",Sub Total,"98,109,900","68,628,340","29,481,560",70.0,118,0
,Land Survey,-,-,-,-,118,0
,Boundaries and Fencing Services,-,-,-,-,118,0
,Physical Planning,"24,621,900","8,011,756","16,610,144",32.5,118,0
,Land Survey and Mapping,"11,686,000","4,129,267","7,556,733",35.3,118,0
,Housing,-,-,-,-,118,0
,,"7,102,000","3,946,660","3,155,340",55.6,118,0
,,"54,700,000","52,540,657","2,159,343",96.1,118,0
"Animal Husbandry
Livestock Resource
Management and De-
velopment",Sub Total,"91,089,241","37,452,211","53,637,030",41.1,118,0
,Animal Husbandry,"28,721,422","10,045,148","18,676,274",35.0,118,0
,County Abattoirs,"1,636,100","362,340","1,273,760",22.1,118,0
,Animal Disease Control,"59,864,345","26,917,323","32,947,022",45.0,118,0
,Livestock Sale Yards,"867,374","127,400","739,974",14.7,118,0
"Agricultural Develop-
ment",Sub Total,"26,622,769","6,232,632","20,390,137",23.4,118,0
,Crop Husbandry,"14,587,500","4,660,630","9,926,870",31.9,118,0
,Plant Disease Control,"3,059,419","43,400","3,016,019",1.4,118,0
,"Agricultural Mechanization Ser-
vices","6,397,500","1,358,602","5,038,898",21.2,118,0
,Demonstration Farm,"1,108,200","125,000","983,200",11.3,118,0
,Agricultural Training Centre,"1,470,150","45,000","1,425,150",3.1,118,0
"Environment Manage-
ment",Sub Total,"149,604,958","46,372,227","103,232,731",31.0,118,0
,Environmental Protection,"139,621,000","43,099,762","96,521,238",30.9,118,0
,Noise Pollution Management,"2,500,000","974,100","1,525,900",39.0,118,0
,Control of Air Pollution,"1,533,958","302,615","1,231,343",19.7,118,0
,,"5,950,000","1,995,750","3,954,250",33.5,118,0
"General Administra-
tion, Planning and Sup-
port Services",Sub Total,"865,810,349","514,022,232","351,788,117",59.4,118,0
,"Headquarters Administrative
Services","107,017,184","88,107,145","18,910,039",82.3,118,0
