Programme,col_1,Sub- Programme,"Approved Budget
(Kshs.)",col_4,col_5,"Actual Payments
(Kshs.)",col_7,"Variance
(Kshs.)","Absorption
(%)",page_number,table_index
,,,,"133,847,738",,"117,438,329",,"16,409,409",87.7,145,0
Sub Total,,,,"975,858,011",,"892,233,436",,"83,624,575",91.4,145,0
County Assembly,,,,,,,,,,145,0
"General Administration and sup-
port services",,"General Administration
and support services",,"436,275,461",,"312,260,665",,"124,014,796",71.6,145,0
,,,,"436,275,461",,"312,260,665",,"124,014,796",71.6,145,0
Representation services,,Representation services,,"144,015,268",,"105,221,992",,"38,793,276",73.1,145,0
,,,,"144,015,268",,"105,221,992",,"38,793,276",73.1,145,0
"0701004060 Legislation and
Oversight of County Government",,"Legislation and Oversight
services",,"614,432,806",,"578,890,300",,"35,542,506",94.2,145,0
,,,,"614,432,806",,"578,890,300",,"35,542,506",94.2,145,0
Sub Total,,,,"1,194,723,535",,"996,372,958",,"198,350,577",83.4,145,0
County Executive,,,,,,,,,,145,0
,,"General Administration
and support services",,"352,437,320",,"292,643,425",,"59,793,895",83.0,145,0
"0702004060 Leadership and Co-
ord of County Administration and
Departments",,"Public Sector Advisory
Services",,"59,224,438",,"55,553,130",,"3,671,308",93.8,145,0
,,,,"411,661,758",,"348,196,555",,"63,465,203",84.6,145,0
Sub Total,,,,"411,661,758",,"348,196,555",,"63,465,203",84.6,145,0
County Public Service Board,,,,,,,,,,145,0
"0703004060 Leadership and
Admin of HR management and
development in County Public
Service",,"Human Resource devel-
opment and management
services",,"68,417,805",,"54,444,395",,"13,973,410",79.6,145,0
,,,,"68,417,805",,"54,444,395",,"13,973,410",79.6,145,0
Sub Total,,,,"68,417,805",,"54,444,395",,"13,973,410",79.6,145,0
Finance and Economic Planning,,,,,,,,,,145,0
,,"General Administration
and support services",,"1,897,646,117",,"1,576,271,556",,"321,374,561",83.1,145,0
,,"financial management
services",,"236,131,170",,"220,956,525",,"15,174,645",93.6,145,0
"0704004060 Public Finance
Management and Economic Pol-
icy and Strategy",,"Economic planning ser-
vices",,"30,073,566",,"24,214,527",,"5,859,039",80.5,145,0
,,,,"2,163,850,853",,"1,821,442,608",,"342,408,245",84.2,145,0
Sub Total,,,,"2,163,850,853",,"1,821,442,608",,"342,408,245",84.2,145,0
"Administration, and Public Service and Communication",,,,,,,,,,145,0
,"General administration and
support services",,,"727,952,728",,"670,761,284",,"57,191,444",92.1,145,0
"0705004060 Admin & co-ord
of county affairs, HR Dev,
Management, Capacity Build-
ing","Human resource develop-
ment and management",,,"48,215,518",,"47,647,303",,"568,215",98.8,145,0
,,,,"776,168,246",,"718,408,587",,"57,759,659",92.6,145,0
Sub Total,,,,"776,168,246",,"718,408,587",,"57,759,659",92.6,145,0
Youth and Sports,,,,,,,,,,145,0
"0901004060 Promotion and de-
velopment of sports; Youth ser-
vices",,"General administration
and support services",,"178,180,802","146,411,323",,,"31,769,479",82.2,145,0
,,,,"178,180,802","146,411,323",,,"31,769,479",82.2,145,0
902004060 ICT Services,,ICT Services,,"61,152,751","49,103,838",,,"12,048,913",80.3,145,0
,,,,"61,152,751","49,103,838",,,"12,048,913",80.3,145,0
Sub Total,,,,"239,333,553","195,515,161",,,"43,818,392",81.7,145,0
"Water, Energy, Environment and Natural Resources",,,,,,,,,,145,0
,,"Environmental manage-
ment",,"45,169,300","20,892,972",,"24,276,328",,46.3,145,0
