Programme,Sub- Programme,"Approved Budget
(Ksh)","Actual Payments
(Ksh)",Variance,"Absorption
(%)",page_number,table_index
"General Administra-
tion And Planning
Services","Planning And Coordination Ser-
vices","248,892,179","223,560,837","25,331,342",89.8,172,0
,"Management Of Human And
Capital Resources","58,662,912","56,738,112","1,924,800",96.7,172,0
,Planning And Administration,"220,226,797","214,832,362","5,394,435",97.6,172,0
,Sub Total,"527,781,888","495,131,310","32,650,578",93.8,172,0
"Agriculture Produc-
tivity And Output
Management","Management Of Agriculture Ad-
visory Services","8,190,257","4,732,422","3,457,835",57.8,172,0
,"Promotion Of Crop And Value
Chain","22,392,744","15,099,980","7,292,764",67.4,172,0
,Promotion Of Farm Forestry,"302,500","110,400","192,100",36.5,172,0
,"Development Of Product Quali-
ty Assurance","630,500","230,560","399,940",36.6,172,0
,"Agriculture Sector Planning And
Management","1,366,100","1,311,650","54,450",96,172,0
,Sub Total,"32,882,101","21,485,012","11,397,089",65.3,172,0
"Physical Planning And
Housing",Physical Planning Services,"38,775,460","27,789,616","10,985,844",71.7,172,0
,County Housing Management,"1,548,886","1,299,886","249,000",83.9,172,0
,Sub Total,"40,324,346","29,089,502","11,234,844",72.1,172,0
"Promotion Of Sustain-
able Land Use","Promotion Of Soil And Water
Management.","20,806,734","13,983,013","6,823,721",67.2,172,0
,Promotion Of Mechanization,"736,098","567,000","169,098",77,172,0
,Sub Total,"21,542,832","14,550,013","6,992,819",67.5,172,0
"Agriculture Productiv-
ity Management",Agriculture Credit Access,"548,250","470,600","77,650",85.8,172,0
,Agriculture Input Access,"15,915,758","6,435,713","9,480,045",40.4,172,0
,Sub Total,"16,464,008","6,906,313","9,557,695",41.9,172,0
"Promotion Of Market
Access And Product
Development",Promotion Of Agribusiness,"7,181,000","519,200","6,661,800",7.2,172,0
,Promotion Of Value Addition,"1,330,750","1,134,500","196,250",85.3,172,0
,Sub Total,"8,511,750","1,653,700","6,858,050",19.4,172,0
"Revenue Generation
Management",Local Revenue Mobilization,"822,165,629","214,809,714","607,355,915",26.1,172,0
,Sub Total,"822,165,629","214,809,714","607,355,915",26.1,172,0
"Urban Planning And
Development Control","Urban Planning And Develop-
ment","77,998,900","69,624,669","8,374,231",89.3,172,0
,Sub Total,"77,998,900","69,624,669","8,374,231",89.3,172,0
"County Roads And
Public Works Manage-
ment","General Administration And
Planning","75,350,295","40,115,612","35,234,683",53.2,172,0
,"Road Construction And Mainte-
nance Services","286,874,890","118,996,997","167,877,893",41.5,172,0
,Sub Total,"362,225,185","159,112,608","203,112,577",43.9,172,0
"Administration,
Planning And Support
Services",Administrative Services,"1,289,938,329","1,105,450,005","184,488,324",85.7,172,0
,Financial Services,"38,111,312","38,053,364","57,948",99.8,172,0
,Sub Total,"1,328,049,641","1,143,503,369","184,546,272",86.1,172,0
Energy Production,Petroleum And Electricity,"40,171,170","7,099,026","33,072,144",17.7,172,0
,Sub Total,"40,171,170","7,099,026","33,072,144",17.7,172,0
Mining Efficiency,Resource Mobilization,"35,631,592","25,160,849","10,470,743",70.6,173,0
,Green Energy,"973,940","572,340","401,600",58.8,173,0
,Sub Total,"36,005,532","25,733,190","10,872,342",71.5,173,0
"Roads General Admin-
istration And Planning",Public Works,"201,841,750","89,477,140","112,364,610",44.3,173,0
,Transport Management,"21,180,113","9,324,358","11,855,755",44,173,0
,Sub Total,"223,021,863","98,801,498","124,220,365",44.3,173,0
ICT Services,ICT Services,"3,834,600","2,892,833","941,767",75.4,173,0
,Sub Total,"3,834,600","2,892,833","941,767",75.4,173,0
"Communication
Services",Communication Services,"1,947,550","1,429,300","518,250",73.4,173,0
,Sub Total,"1,947,550","1,429,300","518,250",73.4,173,0
"General Adminis-
tration And Policy
Making",Trade Support Services,"46,633,474","5,561,742","41,071,732",11.9,173,0
,Sub Total,"46,633,474","5,561,742","41,071,732",11.9,173,0
"Regulation And Verifi-
cation Of Weights","Verification And Calibration Of
Weighing Equipment","9,597,875","2,458,375","7,139,500",25.6,173,0
,Sub Total,"9,597,875","2,458,375","7,139,500",25.6,173,0
"Tourism Development
And Management",Tourism Development,"8,938,030","7,807,640","1,130,390",87.4,173,0
,"Research And Product Develop-
ment","1,704,100","1,569,100","135,000",92.1,173,0
,Tourism Event Management,"3,370,368","2,984,871","385,497",88.6,173,0
,"Tourism Standards Develop-
ment","1,867,560","1,462,910","404,650",78.3,173,0
,Sub Total,"15,880,058","13,824,521","2,055,5",87.1,173,0
"Administration Plan-
ning And Support",Administration Planning,"122,536,189","90,295,058","32,241,131",73.7,173,0
,Sub Total,"122,536,189","90,295,058","32,241,131",73.7,173,0
"Co-Operative Devel-
opment Management",Co-operative Governance,"48,866,360","17,198,885","31,667,475",35.2,173,0
,Sub Total,"48,866,360","17,198,885","31,667,475",35.2,173,0
"Industrial Develop-
ment","Renovations And Operational-
ization Of Cidcs","48,587,110","19,867,365","28,719,745",40.9,173,0
,Sub Total,"48,587,110","19,867,365","28,719,745",40.9,173,0
"Preventive And
Promotive Health
Services","Environmental Health And San-
itation","140,100,399","117,091,414","23,008,985",83.6,173,0
,Community Health Strategy,560000,"276,600","283,400",49.4,173,0
,Disease Surveillance,"161,814,000","161,205,935","608,065",99.6,173,0
,Health Promotion Services,"92,822,884","88,766,327","4,056,557",95.6,173,0
,Sub Total,"395,297,283","367,340,276","27,957,007",92.9,173,0
"Health Curative
Services","Elimination Of Communicable
And Non – Communicable Dis-
eases","40,227,900","11,745,347","28,532,552",29.2,173,0
,Reproductive Health,"2,206,583","698,800","1,507,783",31.7,173,0
,Sub Total,"42,484,483","12,444,147","30,040,336",29.3,173,0
"General Administra-
tion, Operational Re-
search And Planning
Services",Governance And Leadership,"263,901,121","164,907,554","98,993,567",62.5,173,0
,Human Resource For Health,"2,656,826,706","2,541,971,152","114,855,554",95.7,173,0
,Sub Total,"2,920,727,827","2,706,878,707","213,849,120",92.7,173,0
"Health Sector Support
Program",Health Promotion Services,"500,000","232,940","267,060",46.6,173,0
,Sub Total,"500,000","232,940","267,060",46.6,173,0
"Jaramogi Oginga
Odinga Teaching And
Referral Hospital","J.O.O Teaching And Referral
Hospital","435,679,954","331,886,465","103,793,489",76.1,173,0
,Sub Total,"435,679,954","331,886,465","103,793,489",76.1,173,0
"Kisumu County Refer-
ral Hospital","Kisumu County Referral Hos-
pital","26,574,850","26,574,850",0,100,173,0
,Sub Total,"26,574,850","26,574,850",0,100,173,0
"County And Sub
– County Hospital
Services","County And Sub – County Hos-
pital Services","179,302,887","51,156,859","128,146,027",28.5,173,0
,Sub Total,"179,302,887","51,156,859","128,146,027",28.5,173,0
"Early Childhood De-
velopment","Promotion Of Early Childhood
Education","108,852,224","99,593,789","9,258,435",91.5,174,0
,Sub Total,"108,852,224","99,593,789","9,258,435",91.5,174,0
"Youth Training And
Development",Youth Polytechnics,"6,210,000","3,742,629","2,467,371",60.3,174,0
,Sub Total,"6,210,000","3,742,629","2,467,371",60.3,174,0
"Gender And Social
Development","Gender And Disability Mean
Streaming","1,298,000",0,"1,298,000",0,174,0
,Betting Control,"2,844,760","1,081,760","1,763,000",38,174,0
,Sub Total,"4,142,760","1,081,760","3,061,000",26.1,174,0
"Early Childhood Edu-
cation Management",Early Childhood Education,"11,207,200","4,206,479","7,000,721",37.5,174,0
,Sub Total,"11,207,200","4,206,479","7,000,721",37.5,174,0
"Sports Management
And Development",Sports Management,"5,922,912","4,432,862","1,490,050",74.8,174,0
,Talent Development,"2,169,192","1,051,112","1,118,080",48.5,174,0
,Sub Total,"8,092,104","5,483,974","2,608,130",67.8,174,0
Alcoholic Drinks,Alcoholic Drinks,"8,410,000","6,423,450","1,986,550",76.3,174,0
,Sub Total,"8,410,000","6,423,450","1,986,550",76.3,174,0
"Pre - Primary Policy
And Legislation","Pre - Primary Policy And Legis-
lation","26,478,196","18,537,793","7,904,403",70,174,0
,Sub Total,"26,478,196","18,537,793","7,904,403",70,174,0
"Youth Training And
Legislation",Youth Training And Legislation,"3,529,202","1,323,252","2,205,950",37.4,174,0
,Sub Total,"3,529,202","1,323,252","2,205,950",37.4,174,0
"General Administra-
tion And Planning
Services","Administration& Formulation
Of County Policy","1,858,788,274","1,545,310,588","313,477,686",83.1,174,0
,General Administration,"240,026,284","170,550,967","69,475,317",71.1,174,0
,Human Development Services,"224,407,208","26,588,262","197,818,946",11.8,174,0
,"Development & Management Of
County Administrative Systems","62,523,363","51,691,441","10,831,922",82.7,174,0
,"Social Responsibility Including
Civic & Public Management","5,769,010","2,896,135","2,872,875",50.2,174,0
,Sub Total,"2,391,514,139","1,797,037,392","594,476,746",75.1,174,0
"Management Of Coun-
ty Affairs And Special
Affairs",Inter-Government And Protocol,11502196,"9,340,819","2,161,377",81.2,174,0
,Sub Total,11502196,"9,340,819","2,161,377",81.2,174,0
"Inter-Governmental
Relations, Commu-
nication And Coordi-
nation.","Governor’s Press Service And
Communication","14,899,060","10,509,228","4,389,832",70.5,174,0
,Internal Auditing Services,"9,614,914","7,399,364","2,215,550",77,174,0
,Sub Total,"24,513,974","17,908,592","6,605,382",73.1,174,0
"County Public Service
Board","General Administration And
Support Services","614,218,751","407,018,084","207,200,667",66.3,174,0
,"Human Resource Recruitment
And Development","29,220,173","23,242,931","5,977,242",79.5,174,0
,"Human Resource Audit And
Staff Rationalization","2,524,409","1,313,250","1,211,159",52,174,0
,Sub Total,"645,963,333","431,574,265","214,389,068",66.8,174,0
"Public Finance Man-
agement",Revenue Mobilisation,"63,211,320","7,858,770","55,352,550",12.4,174,0
,Assets Management,"37,239,000","20,200,000","17,039,000",54.2,174,0
,"Management Of Public Finan-
cial Resources","1,571,300","747,300","824,000",47.6,174,0
,"Budget Formulation And Coor-
dination","68,271,927","45,249,518","23,022,409",66.3,174,0
,Sub Total,"170,293,547","74,055,589","96,237,958",43.5,174,0
