Programme,Sub- Programme,"Approved Bud-
get (Kshs)","Actual Pay-
ments (Kshs)",Variance (Kshs.),"Absorp-
tion (%)",page_number,table_index
"Finance And Economic Plan-
ning",,,,,,189,1
,"Budget Formulation, Coor-
dination And Management
(0703023060)","102,943,209","100,817,129","2,126,080",97.9,189,1
,"General Administration
(0704043060)","193,860,217","91,474,669","102,385,549",47.2,189,1
,"Revenue Collection Man-
agement (0710013060)","38,731,598","35,550,612","3,180,986",91.8,189,1
,"Public Finance And
Accounting Services
(0711013060)","14,103,632","13,629,966","473,666",96.6,189,1
,"Procurement Services
(0711023060)","6,285,681","5,617,013","668,668",89.4,189,1
,"Risk Assurance Services
(0711033060)","6,361,200","5,766,001","595,199",90.6,189,1
,"Personal Ser-
vices(0704013060)","232,313,828","216,657,870","15,655,958",93.3,189,1
,Total,"594,599,365","469,513,259","125,086,106",79,189,1
"Agriculture, Livestock And
Fisheries",,,,,,189,1
,"General Administration
And Support Services
{0102053060}","835,418,045","496,402,932","339,015,113",59.4,189,1
,"Crop Production & Food Se-
curity {0107013060}","101,868,032","38,650,546","63,217,486",37.9,189,1
,"Dairy And Meat Production
{0108013060}","44,476,000","21,941,645","22,534,355",49.3,189,1
,"Fish Production Manage-
ment {0109013060}","40,304,200","20,059,263","20,244,937",49.8,189,1
,"Livestock Disease Control
{0108033060}","61,137,500","6,781,069","54,356,431",11.1,190,0
,"Farm Land Utilization,
Mechanization & Crop Stor-
age {0107033060}","55,827,436","37,630,949","18,196,487",67.4,190,0
,"Agricultural Extension,
Research & Training.
{0107023060}","34,301,000","894,941","33,406,059",2.6,190,0
,Total,"1,173,332,213","622,361,345","550,970,868",53,190,0
"Land, Environment, Mining
And Natural Resources",,,,,,190,0
,"0102053060 (General Ad-
ministration And Support
Services","111,532,606","75,097,809","36,434,797",67.3,190,0
,"0102063060 (Personnel Ser-
vices)","29,968,149","29,965,692","2,457",100,190,0
,"0104013060 (Physical De-
velopment Plans)","29,483,826","26,297,396","3,186,430",89.2,190,0
,"0105013060 (Establish-
ment Of Squatter Settlement
Schemes","4,783,353","450,020","4,333,333",9.4,190,0
,"'0105033060 (Identification
And Acquisition Of Land
For Development)","4,000,000",-,"4,000,000",-,190,0
,"0106023060 (County Envi-
ronmental Awareness Initia-
tive)","16,766,599","10,185,250","6,581,349",60.8,190,0
,"0111013060 (Kwale Munic-
ipality)",-,,-,-,190,0
,"0112013060 (Diani Munici-
pality)",-,,-,-,190,0
,Total,"196,534,533","141,996,167","54,538,366",72.3,190,0
"Medical And Public Health
Services",,,,,,190,0
,"General Administra-
tion(0403013060)","976,259,375","571,035,709","405,223,666",58.5,190,0
,"M e d i c a l
Drugs(0402043060))","189,752,097","185,495,792","4,256,305",97.8,190,0
,Hmis(0403043060),"5,500,000","5,403,940","96,060",98.3,190,0
,"Personnel Ser-
vices(0403053060)","1,511,572,240","1,511,565,623","6,617",100,190,0
,"Msambweni Hospital
(0405013060)","179,433,000","15,730,266","163,702,734",8.8,190,0
,"Kinango Hospi-
tal(0406013060)","21,495,000","3,123,777","18,371,223",14.5,190,0
,"Kwale Hospi-
tal(0407013060)","31,324,800","2,608,692","28,716,108",8.3,190,0
