Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)","Variance
(Kshs.)","Absorp-
tion (%)",page_number,table_index
"Education, Youth & Sports",,,,,,198,0
"General Administration & Plan-
ning services","Headquarter Administration
Services","9,417,116","6,570,252","2,846,864",69.8,198,0
Education Empowerment,"Education Empowerment Pro-
gramme","50,000,000",,"50,000,000",0.0,198,0
"Sports, Arts and Social Services",Talent Development Services,"309,127","219,758","89,369",71.1,198,0
,"Social and Cultural Develop-
ment","7,796,054","337,191","7,458,863",4.3,198,0
Education and Training,"Vocational Education and
Training","3,777,793","3,420,489","357,304",90.5,198,0
,Education Empowerment,,"286,100","-286,100",,198,0
Financial Services,"County Treasury Administra-
tive Services","54,820,688","36,036,449","18,784,239",65.7,198,0
"Sports Improvement and Support
Programme",Sports Promotion Services,"9,248,883","2,414,800","6,834,083",26.1,198,0
ECDE Development,"ECDE Infrastructure Improve-
ment","35,599,400","1,110,150","36,339,850",3.1,198,0
Children Support Programme,"Children Institution Support
Programme","12,848,207","3,514,231","11,749,095",27.4,198,0
Vocational Training development,Infrastructure Improvement,"95,153,311","38,482,488","79,047,141",40.4,198,0
Sub-total,,"278,970,579","92,391,908","186,578,671",33.1,198,0
County Assembly,,,,,,198,0
"General Administration & Plan-
ning Services",Administration services,"282,800,648","282,759,533","282,800,648",100.01,198,0
Legislative & Oversight,"Legislation & Oversight Ser-
vices","189,587,406","189,559,843","189,587,406",100.01,198,0
"Infrastructure improvement ser-
vices","County Assembly Infrastruc-
ture improvement","84,896,004","54,722,985","49,038,832",89.61,198,0
Sub-total,,"557,284,058","527,042,361","30,241,697",94.57,198,0
County Health Services,,,,,,198,0
"General Administration & Plan-
ning","Emergency Referral & Reha-
bilitative Services","49,272,664","26,025,825","23,246,839",52.8,198,0
,"Essential Health Institutions &
Services","88,228,490","85,958,700","2,269,791",97.4,198,0
,"Administrative project plan-
ning and implementation ser-
vices","17,274,619","16,203,032","1,071,587",93.8,198,0
,"Accreditation and quality as-
surance","22,998,700","22,187,214","811,486",96.5,198,0
,"County treasury administrative
services","105,829,006","90,954,727","14,874,279",85.9,198,0
,"Health infrastructure develop-
ment","29,644,630","4,275,690","25,368,940",14.4,198,0
Curative & Rehabilitative Services,Strategic Health Interventions,"2,701,874","1,630,014","1,071,860",60.3,198,0
,"Emergency Referral & Reha-
bilitative Services","56,037,483","51,185,544","4,851,939",91.3,198,0
,Use of Goods & Services,"3,403,748","3,395,950","7,798",99.8,198,0
,"Community Health Strategy,
Advocacy, and Surveillance","12,608,746","11,887,061","721,685",94.3,198,0
Preventive Health Services,Strategic Health Interventions,"3,800,000","3,792,890","7,110",99.8,198,0
,"Emergency Referral & Reha-
bilitative Services","940,154","626,820","313,334",66.7,199,0
,"Administrative project plan-
ning and implementation ser-
vices","30,083,881","29,164,414","919,467",96.9,199,0
,"Community Health Strategy,
Advocacy, and Surveillance","54,654,000","53,409,410","1,244,590",97.7,199,0
,"Participatory Budgeting Sup-
port Services","750,000","761,300","-11,300",101.5,199,0
Nanyuki Referral Hospital,"Emergency Referral & Reha-
bilitative Services","111,757,133","103,170,677","8,586,456",92.3,199,0
Nyahururu Referral Hospital,"Emergency Referral & Reha-
bilitative Services","99,395,883","82,216,435","17,179,448",82.7,199,0
Sub-total,,"689,381,011","586,845,702","102,535,309",85.1,199,0
"Infrastructure, Physical Plan-
ning & Lands",,,,,,199,0
"Administration, Planning and Sup-
port Services",Administration Services,"60,425,528","50,815,172","9,610,356",84.1,199,0
Physical Planning Services,"Survey, Planning Services","24,453,400",1520625,"22,932,775",6.2,199,0
Housing and Urban Development,Housing Improvement,"2,700,000","2,684,048","15,952",99.4,199,0
"Public Works Service delivery Im-
provement",Office Development,"1,772,000","1,346,500","425,500",76.0,199,0
,"Public Building and Bridges
Inspectorate Services","1,607,497","1,015,600","591,897",63.2,199,0
"Roads Network Improvement and
Urban Development","Roads Network Improvement
and Bridges","468,571,683","104,033,042","364,538,641",22.2,199,0
,Urban development,"119,303,966","49,783,080","69,520,886",41.7,199,0
,"Leased Equipment Operations
Support","178,468,920","129,948,968","48,519,952",72.8,199,0
Renewable Energy Services,"County Renewable/Green En-
ergy Services","1,222,740","1,155,950","66,790",94.5,199,0
Financial Services,"County Treasury administra-
tive services","22,491,972","22,493,043","-1,071",100.0,199,0
Sub-total,,"881,017,706","364,796,028","516,221,678",41.4,199,0
"Trade, Tourism & Cooperatives",,,,,,199,0
"General Administration & Plan-
ning services","Administration Services-Head-
quarters","145,892,208","33,484,770","135,849,770",19.8,199,0
"Co-operative Development and
promotion","Co-operative Development
and promotion","18,050,000","1,121,600","16,928,400",6.2,199,0
Tourism Promotion and Marketing,"Home craft & Enterprise De-
velopment","6,050,000","949,451","5,100,549",15.7,199,0
Trade development and promotion,Trade & investments,"9,700,000","6,601,208","167,085,477",68.1,199,0
,"Tourism development and Pro-
motion","1,000,000","763,278","9,000,000",76.3,199,0
Sub-total,,"180,692,208","42,920,307","161,214,233",21.0,199,0
County Administration Services,,,,,,199,0
"Human Capital Management &
Development",Compensation to employees,"2,546,275,000","2,660,596,065","-114,321,065",104.5,199,0
County Administration Services,"Car and mortgage -state offi-
cers","30,000,000","15,000,000","15,000,000",50.0,199,0
,"County Treasury Administra-
tive Services","124,841,486","74,807,661","50,033,825",59.9,199,0
,"County Administration Ser-
vices","20,115,189","20,338,096","-222,907",101.1,199,0
,"County services delivery and
result reporting","2,345,074","2,553,422","-208,348",108.9,199,0
,Decentralized Services,"128,531,375","73,516,258","55,015,117",57.2,199,0
,Executive Support Service,"49,283,448","48,715,357","568,091",98.8,199,0
,Urban Facilities Management,"42,200,000",0,"42,200,000",0.0,199,0
,"Headquarter Administration
Services","65,904,721","53,059,860","12,844,861",80.5,199,0
Security & Policing Services,"Disaster Reduction Manage-
ment","6,500,000","3,837,656","2,662,344",59.0,200,0
,"Enforcement And Disaster
Management","9,326,000","6,753,892","2,572,108",72.4,200,0
,Alcohol Control Committee,"1,309,896","1,207,235","102,661",92.2,200,0
,Fire Services,"3,000,000","2,999,526",474,100.0,200,0
"Public Participation & Civic Ed-
ucation",Public participation,"10,774,751","13,410,198","-2,635,447",124.5,200,0
Sub-total,,"3,040,406,940","2,976,795,226","63,611,714",97.9,200,0
"Water, Environment & Natural
Resources",,,,,,200,0
Financial Services,"County Treasury Administra-
tive Services","70,840,486","55,070,161","15,770,325",77.7,200,0
Water Development,"Rural Water Supply & Sanita-
tion","177,436,995","24,303,714","153,133,281",13.7,200,0
"General Administration & Support
Services","Administration & Planning
Services","14,019,589","11,357,081","2,662,508",81.0,200,0
,Personnel Services,"6,899,100","3,891,049","3,008,051",56.4,200,0
,"Strategic Project Monitoring &
Intervention","2,344,268","1,507,140","837,128",64.3,200,0
Environment & Natural Resources,Solid Waste Management,"7,000,000","4,689,368","2,310,632",67.0,200,0
,"Human Wildlife Conflict Pre-
vention","5,515,820","4,397,200","1,118,620",79.7,200,0
,"Natural Resources Manage-
ment","3,000,000",1898392,"1,101,608",63.3,200,0
Sub-total,,"287,056,258","107,114,105","179,942,153",37.3,200,0
"Agriculture, Livestock & Veter-
inary",,,,,,200,0
"General Administrative & Plan-
ning Services","Headquarter Administration
Services","34,672,191","7,091,619","27,580,572",20.5,200,0
,"Agriculture Sector Extension
Management","37,397,616","8,220,231","29,177,385",22.0,200,0
Crop Development,"Irrigation Development and
management","14,456,874","215,700","14,241,174",1.5,200,0
,"Land and Crop Productivity
Enhancement and Management","3,470,611","828,887","2,641,724",23.9,200,0
,"Strategic Food Security Ser-
vice/AMS","104,566,406","31,335,416","73,230,990",30.0,200,0
"Livestock Resources Management
& Development","Animal Health and Disease
Management and Control","243,640,271","95,276,050","148,364,221",39.1,200,0
,"Kenya Climate Smart Agricul-
ture Programme","3,574,067","3,501,217","72,850",98.0,200,0
,"Livestock Resource Develop-
ment and Management","9,280,000","1,253,274","8,026,726",13.5,200,0
Fisheries Development,"Fisheries Development and
Management","2,200,000","810,114","1,389,886",36.8,200,0
,"County Treasury Administra-
tive Services","33,986,524","17,315,339","16,671,185",50.9,200,0
Sub-total,,"487,244,560","165,847,847","321,396,713",34.0,200,0
Finance & Economic Planning,,,,,,200,0
"General Administration & Plan-
ning Services","Headquarter administration
services","26,344,833","24,583,839","1,760,994",93.3,200,0
"Administration, Planning & Sup-
port Services",Administration Services,0,"3,124,605","-3,124,605",-,200,0
,Personnel Services,"2,127,157","2,455,100","-327,943",115.4,200,0
"General Administration & Plan-
ning Services","County Administration-Laikip-
ia East",0,"500,000","-500,000",--,200,0
"Administration, Planning & Sup-
port Services","Managed Specialized Equip-
ment","88,500,000","84,037,134","4,462,866",95.0,200,0
,Infrastructural Services,"13,200,000","34,538,110","-21,338,110",261.7,200,0
,County Administration,"76,644,792","112,766,386","-36,121,594",147.1,200,0
