Head,Sub Programme,"Approved Budget
(Kshs.)","Actual Payments
(Kshs.)","Variance
(Kshs.","Implementa-
tion Status
(%)",page_number,table_index
"Administration &
Compensation","Administration and Support
Services","140,117,422","133,102,882","7,014,540",95.0,229,0
,Administration Services,"3,063,517,696","2,917,361,510","146,156,186",95.2,229,0
,Sub Total,"3,203,635,118","3,050,464,392","153,170,726",95.2,229,0
"Administration, Plan-
ning and support ser-
vices","Agricultural Infrastructure,
Conservation and Research","884,573,792","705,436,171","179,137,621",79.7,229,0
,Sub Total,"884,573,792","705,436,171","179,137,621",79.7,229,0
"Co-operative Develop-
ment Programmes","Cooperatives Agricultural
Support","8,800,000","7,920,000","880,000",90.0,229,0
,Sub Total,"8,800,000","7,920,000","880,000",90.0,229,0
"Legislation & Over-
sight Services","County Assembly Adminis-
tration offices","268,827,226","118,825,755","150,001,471",44.2,229,0
,Sub Total,"268,827,226","118,825,755","150,001,471",44.2,229,0
"Sports and Early Child-
hood Development Ed-
ucation",ECDE Infrastructure.,"452,144,521","444,435,129","7,709,392",98.3,229,0
,Sub Total,"452,144,521","444,435,129","7,709,392",98.3,229,0
Financial Services,Finance information systems,"67,778,989","61,410,897","6,368,092",90.6,229,0
,Procurement Services,"413,374,887","412,115,802","1,259,085",99.7,229,0
,Sub Total,"481,153,876","473,526,699","7,627,177",98.4,229,0
"General Administra-
tion and Support Ser-
vices","General Administration &
Support Services","626,185,628","614,881,833","11,303,795",98.2,229,0
,"General Administration &
Support Services","2,248,177,659","2,188,871,186","59,306,473",97.4,229,0
,Sub Total,"2,874,363,287","2,803,753,019","70,610,268",97.5,229,0
"Physical Infrastructure
Development",Infrastructure & Equipment,"307,742,294","126,258,560","181,483,734",41.0,229,0
,"Infrastructure Construction,
Expansion and Maintenance","825,218,229","671,436,150","153,782,079",81.4,229,0
,"Infrastructure Development
and Expansion","246,297,599","203,337,743","42,959,856",82.6,229,0
,"Infrastructure Development
and Expansion","1,288,238,366","988,681,988","299,556,378",76.7,229,0
,Sub Total,"2,667,496,488","1,989,714,442","677,782,046",74.6,229,0
"Livestock Agricultural
Sector Support","Livestock Agricultural Sector
Support","221,273,247","218,042,428","3,230,819",98.5,229,0
,Sub Total,"221,273,247","218,042,428","3,230,819",98.5,229,0
"Solar Energy and Envi-
ronmental Services",Street lighting,"44,803,360","44,803,360",0,100.0,229,0
,Environmental Protection,"52,328,128","48,810,610","3,517,518",93.3,229,0
,Sub Total,"97,131,488","93,613,970","3,517,518",96.4,229,0
Trade development,"Trade development &Promo-
tion","273,757,528","231,940,487","41,817,041",84.7,229,0
,Sub Total,"273,757,528","231,940,487","41,817,041",84.7,229,0
"Water Provision Ser-
vices",Water provision services,"523,565,832","511,966,067","11,599,765",97.8,229,0
,Water Storage Structures,"1,101,741,987","841,420,761","260,321,227",76.4,229,0
,Sub Total,"1,625,307,819","1,353,386,828","271,920,992",83.3,229,0
"Youth Rehabilitation
and Development","Youth Development Pro-
grammes and Policy","59,848,646","53,693,526","6,155,120",89.7,229,0
,Sub Total,"59,848,646","53,693,526","6,155,120",89.7,229,0
,Grand Total,"13,118,313,036","11,544,752,846","1,573,560,190",88.0,229,0
