Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index
County Executive,,,,,,333,0
"0701004210 P1 Management
Of County Affairs","0701014210 SP1 General
Administration and Sup-
port Services (Governor,
Deputy Governor)","214,993,095","171,840,752","43,152,343",79.9,333,0
,"0704014210 SP2 Admin-
istration of Human Re-
sources in County Public
Service","58,474,530","49,852,685","8,621,845",85.3,333,0
,"0701034210 SP3 Sub
County Administration","183,516,452","160,888,092","22,628,360",87.7,333,0
,"0701044210 SP4 Coordi-
nation, Supervision and
Human Resource services
(C S)","35,589,817","34,386,865","1,202,952",96.6,333,0
,Sub total,"492,573,894","416,968,394","75,605,500",84.7,333,0
"Finance, Economic Planning & Ict",,,,,,333,0
"0705004210 P1 General Ad-
ministration Planning And
Support Services","0705014210 SP1 Admin-
istration Services","761,032,456","619,455,542","141,576,914",81.4,333,0
,"0705024210 SP2 ICT Ser-
vices","58,663,643","15,611,021","43,052,622",26.6,333,0
,Sub total,"819,696,099","635,066,563","184,629,536",77.5,333,0
"0706004210 P2 Public Fi-
nance Management","0706054210 SP5 Ac-
counting Services","33,823,366","21,610,025","12,213,341",63.9,333,0
,"0706024210 SP2 Re-
source Mobilization","64,082,101","60,496,273","3,585,828",94.4,333,0
,"0706034210 SP3 Internal
Audit","24,006,198","19,783,258","4,222,940",82.4,333,0
,"0706044210 SP4 Supply
Chain Management","20,674,963","18,888,208","1,786,755",91.4,333,0
,"0706014210 SP1 Budget
Formulation Coordination
and Management","10,975,743","9,733,682","1,242,061",88.7,333,0
,"0706064210 SP6 Fiscal
Planning","65,305,352","50,091,876","15,213,476",76.7,333,0
,Sub total,"218,867,723","180,603,322","38,264,401",82.5,333,0
"0713004210 P3 General Ad-
ministration Planning And
Support Services","0713014210 SP1 General
Administration Planning
and Support Services","7,192,574","7,192,574",-,100,333,0
,Sub total,"7,192,574","7,192,574",-,100,333,0
"0712004210 P4 Special Pro-
grams","0712014210 SP 1 Special
Programs","13,303,222","13,115,818","187,404",98.6,333,0
,Sub total,"13,303,222","13,115,818","187,404",98.6,333,0
"Agriculture, Livestock Development, Veterinary Services & Fisheries",,,,,,333,0
"0101004210 P1 General Ad-
ministration Planning And
Support Services","0101014210 SP1 Admin-
istration, Planning and
Support Services","451,807,841","424,586,825","27,221,016",94,333,0
,Sub total,"451,807,841","424,586,825","27,221,016",94,333,0
"0103004210 P2 Livestock
Resource Management And
Development","0103014210 SP1 Live-
stock Policy Development
and Capacity Building","15,463,500","12,871,897","2,591,603",83.2,334,0
,"0103024210 SP2 Live-
stock Production and
Management","200,655,988","59,664,834","140,991,154",29.7,334,0
,"0103034210 SP3 Live-
stock Diseases Manage-
ment and Control","57,422,072","9,588,365","47,833,707",16.7,334,0
,"0103044210 SP4 Live-
stock Marketing and
Rangeland Management","8,847,855","8,082,594","765,261",91.4,334,0
,Sub total,"282,389,415","90,207,690","192,181,725",31.9,334,0
"0104004210 P4 Fisheries
Development And Manage-
ment","0104014210 SP1 Man-
agement and Develop-
ment of Fisheries","9,181,970","5,715,542","3,466,428",62.3,334,0
,Sub total,"9,181,970","5,715,542","3,466,428",62.3,334,0
"0105004210 P3 Crop Devel-
opment And Management","0105014210 SP1 Lands
and Crops Development","79,681,612","45,290,260","34,391,352",56.8,334,0
,"0105024210 SP2 Food
Security Initiatives","26,773,445","9,887,720","16,885,725",36.9,334,0
,Sub total,"106,455,057","55,177,980","51,277,077",51.8,334,0
"Water, Environment, Natural Resources & Energy",,,,,,334,0
