Programme,Sub- Programme,"Approved Budge
(Kshs.)","t Actual Pay
ments (Kshs.)","-
Variance","Absorp-
tion (%)",page_number,table_index
Administrative and Support Services,"Human Resource Man-
agement","391,616,371","341,492,968","50,123,403",87.2,373,0
,"Supervision and Man-
agement of Projects","116,541,442","44,065,254","72,476,188",37.8,373,0
Vocational Training,"Infrastructure Develop-
ment","74,088,298","64,389,636","9,698,662",86.9,373,0
,"Learning Materials And
Equipment","3,500,000","2,299,975","1,200,025",65.7,373,0
Sub total,,"585,746,111","452,247,832","133,498,279",77.2,373,0
Finance and Economic Planning,,,,,,373,0
Administrative and Support Services,"Human Resource Man-
agement","1,280,403,773","814,942,056","465,461,717",63.6,373,0
,"Supervision and Man-
agement of Projects","24,583,400","15,836,778","8,746,622",64.4,373,0
,"Infrastructure and
Equipment","93,023,461","21,471,667","71,551,794",23.1,373,0
,"Finance Management
Services","97,495,477","75,794,689","21,700,788",77.7,373,0
Sub total,,"1,495,506,111","928,045,190","567,460,921",62.1,373,0
Others,,,,,,373,0
Administrative and Support Services,"Default - Non Program-
matic",-,"3,920,750","(3,920,750)",-,373,0
,"Human Resource Man-
agement","323,179,795","238,846,121","84,333,674",73.9,373,0
,"Supervision and Manage-
ment of Projects","689,417,620","567,610,760","121,806,860",82.3,373,0
,,"21,183,924","14,500,000","6,683,924",68.4,373,0
Sub total,,"1,033,781,339","824,877,632","208,903,707",79.8,373,0
"Gender, Youth ,Sports, Culture, Social
Services ,Children & Tourism",,,,,,373,0
Administrative and Support Services,"Human Resource Man-
agement","53,055,145","30,027,069","23,028,076",56.6,373,0
Sports,"Sports Events and Com-
petitions","25,900,118","10,882,770","15,017,348",42,373,0
Culture,"Development and Promo-
tion Of Culture","24,690,617","18,110,352","6,580,265",73.3,373,0
Special Programmes,Special Programmes,"58,467,332","48,394,221","10,073,111",82.8,373,0
Sub total,,"162,113,212","107,414,412","54,698,800",66.3,373,0
"Water, Environment and Natural Resources",,,,,,373,0
Administrative and Support Services,"Human Resource Man-
agement","93,359,375","59,755,178","33,604,198",64,373,0
,"Administrative and Sup-
port Services","3,000,000","2,356,800","643,200",78.6,373,0
Water Resource Management and Storage,"Water Supply Infrastruc-
ture and Sanitation","105,000,000","71,794,550","33,205,450",68.4,373,0
,"Ground Water Exploita-
tion","79,200,000","52,654,525","26,545,475",66.5,373,0
Environment Management and Protection,Waste Management,"141,256,871","61,954,026","79,302,845",43.9,373,0
Sub total,,"421,816,246","248,515,079","173,301,167",58.9,373,0
County Assembly,,,,,,373,0
Legislative and Oversight Arm,Committee Services,"152,695,006","150,688,60","0 2,006,406",98.7,373,0
