Programme,Sub - Programme,"Approved Budget
(Kshs.)","Actual Payments
(Kshs.)",Variance (Kshs.),"Implementation
Status (%)",page_number,table_index
County Assembly,Default - Non Programmatic,-,"239,961,228","(239,961,228)",-,392,1
,,-,"239,961,228","(239,961,228)",-,392,1
"Livestock Re-
source Manage-
ment and Develop-
ment",Livestock Disease Control,"124,016,176","76,145,926","47,870,250",61.4,392,1
,Breeding services,"3,897,460","3,297,460","600,000",84.6,392,1
,"Emerging livestock produc-
tion","57,034,930","48,942,672","8,092,258",85.8,392,1
,Livestock Production services,"2,333,250","2,333,250",-,100.0,392,1
,"Livestock Products Value Ad-
dition and Marketing","4,481,052","780,552","3,700,500",17.4,392,1
,,"191,762,868","131,499,859","60,263,009",68.6,392,1
"Crop Development
and Management",Stationary Grain Drier,"17,137,000","17,231,000","(94,000)",100.5,392,1
,Diffuse Light Store,"6,945,340","5,664,474","1,280,866",81.6,392,1
,"Grain stores & Power supply
connection to Community
grain stores","15,525,000","14,704,300","820,700",94.7,392,1
,"Electric Grain Moisture me-
ters","10,281,300","10,281,300",-,100.0,392,1
,"Export produce collection
shades and cold storage stores","1,000,000",-,"1,000,000",-,392,1
,Green House production,"21,215,513","17,237,484","3,978,029",81.2,392,1
,Soil Testing,"40,326,258",-,"40,326,258",-,392,1
,,"5,500,000",-,"5,500,000",-,392,1
,"Agribusiness and Market De-
velopment","205,000,000","126,984,328","78,015,672",61.9,392,1
,,"322,930,411","192,102,886","130,827,525",59.5,392,1
"Fisheries Develop-
ment",Supplies for production,"7,669,567","4,149,567","3,520,000",54.1,392,1
,Fisheries Production,"11,695,059","4,186,099","7,508,960",35.8,392,1
,,"19,364,626","8,335,666","11,028,960",43.0,392,1
"Administration
Support Services",Office Accommodation,"22,721,966","12,779,564","9,942,402",56.2,393,0
,"SP4 Administrative and Sup-
port Services","274,007,810","195,800,092","78,207,718",71.5,393,0
,,"296,729,776","208,579,656","88,150,120",70.3,393,0
"Agricultural Train-
ing Services -Che-
bororwa","Administrative support ser-
vices","54,529,952","19,923,247","34,606,705",36.5,393,0
,"Training and Extension Sup-
port Services","2,182,475","1,531,650","650,825",70.2,393,0
,Livestock Production Services,"19,973,950","19,973,950",-,100.0,393,0
,,"76,686,377","41,428,847","35,257,530",54.0,393,0
"Agricultural
Mechanization
Services",Equipments and machineries,"6,748,857","3,281,864","3,466,993",48.6,393,0
,Agricultural production,"88,197,812","46,999,093","41,198,719",53.3,393,0
,,"94,946,669","50,280,957","44,665,712",53.0,393,0
"Land Policy Man-
agement",Preparation of valuation rolls,"89,515,013","65,649,117","23,865,896",73.3,393,0
,Land Banking for public use,"438,146,848","52,054,957","386,091,891",11.9,393,0
,Spatial Planning,"1,720,000","1,387,140","332,860",80.6,393,0
,Land administration services,"2,370,000","1,338,430","1,031,570",56.5,393,0
,Land Survey,"28,967,920","15,187,920","13,780,000",52.4,393,0
,,"560,719,781","135,617,564","425,102,217",24.2,393,0
"Housing Develop-
ment",Increase access to Housing,"58,970,030","61,251,604","(2,281,574)",103.9,393,0
,Housing Development,"761,832,599","479,836,698","281,995,901",63.0,393,0
,Estate Management,"44,289,543","30,571,803","13,717,740",69.0,393,0
,,"865,092,172","571,660,105","293,432,067",66.1,393,0
"ICT Infrastructure
Development","Automation services:- health
facilities, county rates & reg-
istry","23,439,575","9,550,675","13,888,900",40.7,393,0
,"Development of information
centres (One stop information
points)","400,000",-,"400,000",-,393,0
,County Press Centre,"7,520,076","7,520,076",0,100.0,393,0
,Youth innovation Centre,"3,998,340","2,690,340","1,308,000",67.3,393,0
,,"35,357,991","19,761,091","15,596,900",55.9,393,0
"Administration
Support Services","Administrative and Support
Services","53,536,429","42,798,925","10,737,504",79.9,393,0
,,"53,536,429","42,798,925","10,737,504",79.9,393,0
"Transport Manage-
ment","Development of Mechanical
workshops","468,728","431,874","36,854",92.1,393,0
,,"468,728","431,874","36,854",92.1,393,0
"Roads Infrastruc-
ture Development",Capital roads investments,"808,866,428","459,202,667","349,663,761",56.8,393,0
,Bridges and Foot Bridge,,,,,393,0
,Borrow Pits,,,,,393,0
,Construction of roads,,,,,393,0
,Maintenance of Roads,"799,280,101","334,815,981","464,464,120",41.9,393,0
,,"1,800,731,886","802,038,198","998,693,688",44.5,393,0
"Disaster Manage-
ment","Development of new fire
sub-stations","16,606,000","6,637,652","9,968,348",40.0,393,0
,"Fire, ambulance and emergen-
cy services","7,370,048","3,874,238","3,495,810",52.6,393,0
,,"23,976,048","10,511,890","13,464,158",43.8,393,0
"Public Works Ser-
vices",Sub-County headquarters,"160,925,720","153,509,767","7,415,953",95.4,393,0
,,"160,925,720","153,509,767","7,415,953",95.4,393,0
"Disaster Response
Management","ICT infrastructure develop-
ment","719,996","719,996",-,100.0,393,0
,,"719,996","719,996",-,100.0,393,0
"Street Lighting
Services",Street Lighting,"43,182,398","24,944,968","18,237,430",57.8,394,0
,,"43,182,398","24,944,968","18,237,430",57.8,394,0
"Trade Develop-
ment and Invest-
ment","Ultra- modern Wholesale mar-
ket with cold storage go-down","96,694,247","61,604,783","35,089,464",63.7,394,0
,Modern Shopping Mkt.,"10,001,000","10,000,000","1,000",100.0,394,0
,,"106,695,247","71,604,783","35,090,464",67.1,394,0
"Tourism Develop-
ment and Market-
ing","Tourism Development Ser-
vices","5,399,290",-,"5,399,290",-,394,0
,Tourism Marketing Services,"63,500,000","12,365,700","51,134,300",19.5,394,0
,,"68,899,290","12,365,700","56,533,590",17.9,394,0
