Name of the Programme,Sub-Programme,"Approved Budget
(Kshs.)","Actual Expenditure
(Kshs.)",Variance (Kshs.),"Absorp-
tion
(Kshs.)",page_number,table_index
OFFICE OF GOVERNOR,,,,,,79,1
"General Administration Plan-
ning and Support Services","Management of County Affairs (Office
of Governor)","140,881,939","48,450,605","92,431,334",34.4%,79,1
"County Leadership and Coor-
dination","Sub-County Administration and Field
Services","46,960,646","16,150,202","30,810,445",34.4%,79,1
,"Management of County Executive Ser-
vices (Office of County Secretary)","28,176,388","9,690,121","18,486,267",34.4%,79,1
"County Leadership and Coor-
dination","Public Sector Advisory Services (Legal,
Political, and Economic Advisors)","18,784,259","6,460,081","12,324,178",34.4%,79,1
Sub Total,,"234,803,232","80,751,008","154,052,224",34.4%,79,1
COUNTY PUBLIC SERVICE BOARD,,,,,,79,1
"Administration of Human Re-
sources in Public Service",Performance Management & Discipline,"7,319,914","2,280,516","5,039,398",31.2%,79,1
,Administration of board programmes,"10,764,579","3,353,700","7,410,879",31.2%,79,1
,"Recruitment and Selection, Career
Management, HR Policy & Audit","15,070,411","4,695,181","10,375,230",31.2%,79,1
,"Quality service delivery in the County
Public Service that is effective and effi-
cient","9,903,413","3,085,404","6,818,009",31.2%,79,1
Sub Total,,"43,058,317","13,414,802","29,643,515",31.2%,79,1
PUBLIC SERVICE AND ADMINISTRATION,,,,,,79,1
Public Service,"Human Resource Development and
Culture Change Management","143,202,653","65,474,962","77,727,691",45.7%,80,0
,Office Infrastructure Expansion,"94,544,373","43,227,476","51,316,897",45.7%,80,0
Sub Total,,"417,721,865","190,990,338","226,731,527",45.7%,80,0
"GENDER, CHILDREN, CULTURE & SOCIAL SERVICES",,,,,,80,0
"Policy and General Adminis-
trative Services",General Administrative Unit,"7,829,601","631,215","7,198,386",8.1%,80,0
"Gender and Social Develop-
ment","Communication Mobilization and De-
velopment","10,439,468","841,620","9,597,848",8.1%,80,0
,Social Welfare Services,"7,829,601","631,215","7,198,386",8.1%,80,0
,Vocational Rehabilitation and Training,"5,219,734","420,810","4,798,924",8.1%,80,0
,"Gender Mainstreaming and Develop-
ment","7,829,601","631,215","7,198,386",8.1%,80,0
Children Services,Child Rehabilitation and Custody,"7,829,601","631,215","7,198,386",8.1%,80,0
"Culture and Cultural Preser-
vation",Cultural Preservation,"5,219,734","420,810","4,798,924",8.1%,80,0
Sub Total,,"52,197,340","4,208,098","47,989,242",8.1%,80,0
FINANCE AND ECONOMIC PLANNING,,,,,,80,0
"General Administration Plan-
ning and Support Services","Administration, Planning and Support
Services","30,356,197","8,082,986","22,273,211",26.6%,80,0
"Economic Policy and County
Planning","Economic Development Planning and
Coordination","42,498,676","11,316,180","31,182,496",26.6%,80,0
"Financial Management Ser-
vices","Control and Management of Public Fi-
nances","19,719,387","5,250,708","14,468,679",26.6%,80,0
Monitoring and Evaluation,Monitoring and Evaluation of projects,"18,213,718","4,849,791","13,363,927",26.6%,80,0
Research and Statistics,County database and profile,"15,178,099","4,041,493","11,136,606",26.6%,80,0
"Kenya Devolution Support
Programme",Kenya Devolution Support Programme,"45,000,000","11,982,211","33,017,789",26.6%,80,0
Sub Total,,"170,966,077","45,523,368","125,442,709",26.6%,80,0
"TRADE, TOURISM, INVESTMENT AND INDUSTRIALIZATION",,,,,,80,0
"Administrative Support Ser-
vices",Administrative Support Services,"7,970,283","984,899","6,985,384",12.4%,80,0
"Trade development and Pro-
motion",Trade development and Promotion,"32,276,212","3,988,416","28,287,796",12.4%,80,0
"Industrial Development and
Investment","Industrial Development and Invest-
ment","14,757,048","1,823,549","12,933,499",12.4%,80,0
Tourism Development,Tourism Development,"12,073,948","1,491,994","10,581,954",12.4%,80,0
Sub Total,,"67,077,491","8,288,858","58,788,633",12.4%,80,0
"AGRICULTURE, LIVESTOCK, FISHERIES AND CO-OPERATIVE DEVELOPMENT",,,,,,80,0
"Administrative Support Ser-
vices",Administrative Support Services,"64,643,215","16,011,770","48,631,445",24.8%,80,0
"Crop Development and Man-
agement",Crop Development and Management,"230,960,274","57,207,594","173,752,680",24.8%,80,0
"Agribusiness and Information
Management","Agribusiness and Information Manage-
ment","64,386,592","15,948,206","48,438,386",24.8%,80,0
"Livestock Resources Manage-
ment and Development","Livestock Resources Management and
Development","85,763,248","21,243,087","64,520,161",24.8%,80,0
Fisheries Development,Fisheries Development,"49,528,148","12,267,851","37,260,297",24.8%,80,0
Sub Total,,"495,281,477","122,678,508","372,602,969",24.8%,80,0
HEALTH,,,,,,80,0
Curative Health Services,Primary Health Care,"1,198,371,306","438,497,221","759,874,084",36.6%,80,0
"Preventive and Promotive
Health Services",Health Promotion & Disease Control,"493,240,945","180,482,279","312,758,666",36.6%,80,0
"General Administration Plan-
ning and Support Services",General Administration services,"389,200,317","142,412,670","246,787,646",36.6%,80,0
Sub Total,,"2,080,812,567","761,392,170","1,319,420,397",36.6%,80,0
EMBU LEVEL 5 HOSPITAL,,,,,,80,0
Curative Health Services,Primary Health Care,"253,156,973","42,737,466","210,419,507",16.9%,80,0
"Preventive and Promotive
Health Services",Health Promotion & Disease Control,"70,934,873","11,975,087","58,959,786",16.9%,80,0
"General Administration Plan-
ning and Support Services",General Administration services,"52,124,077","8,799,485","43,324,592",16.9%,80,0
Sub Total,,"376,215,923","63,512,038","312,703,885",16.9%,80,0
"INFRASTRUCTURE, PUBLIC WORKS AND HOUSING.",,,,,,80,0
"General Administration Plan-
ning and Support Services",General Administration Services,"118,873,336","20,181,678","98,691,658",17.0%,80,0
