Programme,Sub Programme,"Approved Budget
(Kshs.)","Payment
(Kshs.)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index
Agriculture,Livestock Production,,,,,86,1
,"Travel Costs (airlines, bus, rail-
way, mileage allowances, etc.)","2,000,000","432,800","1,567,200",21.6,86,1
,Sub Total,"5,550,000","432,800","5,117,200",7.8,86,1
Veterinary Services,"Current Grants to Semi-Autono-
mous Government Agencies","29,020,018","11,000,000","18,020,018",37.9,86,1
,Other Capital Grants and Trans,"15,513,345",0,"15,513,345",-,86,1
,Sub Total,"137,571,599","11,000,000","126,571,599",8.0,86,1
,Foods and Rations,"5,000,000","2,455,750","2,544,250",49.1,86,1
,"Current Grants to Semi-Autono-
mous Government Agencies","27,715,000","13,814,728","13,900,272",49.8,86,1
,Sub Total,"163,415,000","16,270,478","147,144,522",10.0,86,1
,Basic Salaries - Civil Service,"1,559,746,851","779,500,000","780,246,851",50.0,86,1
,Contractual Employees,"18,502,667","9,000,000","9,502,667",48.6,86,1
,House Allowance,"145,390,391","72,200,000","73,190,391",49.7,86,1
,Horaria,"34,692,498","13,722,468","20,970,030",39.6,86,1
,Hardship Allowance,"94,440,691","47,000,000","47,440,691",49.8,86,1
,Special Duty Allowance,"4,625,666","1,620,145","3,005,521",35.0,86,1
,Extraneous Allowance,"73,857,498","30,482,916","43,374,582",41.3,86,1
,Security Allowance,"7,243,275","1,219,000","6,024,275",16.8,86,1
,"Current Grants to Semi-Autono-
mous Government Agencies","46,724,636","4,027,819","42,696,817",8.6,86,1
,"Purchase of Office Furniture and
Fittings","4,000,000","1,426,590","2,573,410",35.7,86,1
,"Purchase of air conditioners, Fans
and Heating Appliances","2,310,514",0,"2,310,514",-,86,1
,Sub Total,"2,145,694,526","960,316,539","1,185,377,987",44.8,86,1
,Basic Salaries - Civil Service,"324,088,122",0,"324,088,122",-,86,1
,House Allowance,"40,297,180","877,182","39,419,998",2.2,86,1
,Sub Total,"493,889,663","1,777,182","492,112,481",0.4,86,1
,"Accommodation - Domestic
Travel","300,000","100,000","200,000",33.3,87,0
,Daily Subsistence Allowance,"1,000,000","500,000","500,000",50.0,87,0
,Sub Total,"14,412,400","600,000","13,812,400",4.2,87,0
,Gratuity - Civil Servants,"51,511,478",0,"51,511,478",-,87,0
,Sub Total,"189,991,478",0,"189,991,478",-,87,0
"Information and
ICT",Information and ICT,,,0,-,87,0
,"Purchase of Computers, Printers
and other IT Equipment","3,848,377",0,"3,848,377",-,87,0
,Sub Total,"724,177,474","2,377,182","721,800,292",0.3,87,0
County Assembly,Garissa - County Assembly,,,0,-,87,0
Speakers office,"Travel Costs (airlines, bus, rail-
way, mileage allowances, etc.)","1,286,968","643,484","643,484",50.0,87,0
,Daily Subsistence Allowance,"2,184,000","1,092,000","1,092,000",50.0,87,0
,Sub Total,"7,110,968","1,735,484","5,375,484",24.4,87,0
Office of the Clerk,Clerk’s Office,,,0,-,87,0
,"Basic Salaries - County Assembly
Service","170,658,280","118,642,633","52,015,647",69.5,87,0
,House Allowance,"28,966,320","6,430,733","22,535,587",22.2,87,0
,Hardship Allowance,"24,533,016","3,673,007","20,860,009",15.0,87,0
,Transport Allowance,"11,472,000","500,000","10,972,000",4.4,87,0
,"Employer Contributions to Na-
tional Social Security Fund","2,132,000","129,600","2,002,400",6.1,87,0
,"Employer Contributions to
Private Social Security Funds and
Schemes","16,968,445","4,230,135","12,738,310",24.9,87,0
,Electricity,"3,000,000","304,811","2,695,189",10.2,87,0
,Water and Sewerage Charges,"600,000","50,000","550,000",8.3,87,0
,"Travel Costs (airlines, bus, rail-
way, mileage allowances, etc.)","1,800,000","900,000","900,000",50.0,87,0
,Daily Subsistence Allowance,"28,000,000","12,107,400","15,892,600",43.2,87,0
,"Sundry Items (e.g. airport tax,
taxis, etc?)","600,000",0,"600,000",-,87,0
,Travel Allowance,"8,000,000","4,000,000","4,000,000",50.0,87,0
,"Catering Services (receptions),
Accommodation, Gifts, Food and
Drinks","1,000,000","498,920","501,080",49.9,87,0
,"Boards, Committees, Confer-
ences and Seminars","1,500,000","30,000","1,470,000",2.0,87,0
,"General Office Supplies (papers,
pencils, forms, small office equip-
ment etc)","600,000","268,096","331,904",44.7,87,0
,"Refined Fuels and Lubricants for
Transport","3,419,200","493,400","2,925,800",14.4,87,0
,"Membership Fees, Dues and
Subscriptions to Professional and
Trade Bodies","5,000,000","532,400","4,467,600",10.6,87,0
,Security Operations,"5,000,000","2,666,300","2,333,700",53.3,87,0
,,"335,149,261","155,457,435","179,691,826",46.4,87,0
,"Boards, Committees, Confer-
ences and Seminars","1,300,000",0,"1,300,000",-,87,0
,Group Personal Insurance,"27,000,000","19,000,000","8,000,000",70.4,87,0
,"Plant, Equipment and Machinery
Insurance","2,000,000","798,818","1,201,182",39.9,87,0
,"Maintenance Expenses - Motor
Vehicles","1,600,000",0,"1,600,000",-,87,0
,"Maintenance of Plant, Machinery
and Equipment (including lifts)","500,000","35,400","464,600",7.1,87,0
,"Maintenance of Office Furniture
and Equipment","500,000","250,000","250,000",50.0,87,0
,"Maintenance of Buildings and
Stations -- Non-Residential","2,000,000","1,000,000","1,000,000",50.0,88,0
,"Maintenance of Communications
Equipment","500,000","14,100","485,900",2.8,88,0
,Sub Total,"35,400,000","21,098,318","14,301,682",59.6,88,0
"General Adminis-
tration","Travel Costs (airlines, bus, rail-
way, mileage allowances, etc.)","2,000,000","997,700","1,002,300",49.9,88,0
,Daily Subsistence Allowance,"22,700,000","10,176,658","12,523,342",44.8,88,0
,Publishing & Printing Services,"500,000","106,670","393,330",21.3,88,0
,"Advertising, Awareness and
Publicity Campaigns","700,000","334,498","365,502",47.8,88,0
,"Hire of Transport, Equipment","1,200,000",0,"1,200,000",-,88,0
,Travel Allowance,"10,000,000","1,514,400","8,485,600",15.1,88,0
,"Remuneration of Instructors and
Contract Based Training Services","1,000,000",0,"1,000,000",-,88,0
,"Production and Printing of
Training Materials","500,000",0,"500,000",-,88,0
,"Hire of Training Facilities and
Equipment","1,000,000","239,400","760,600",23.9,88,0
,"Boards, Committees, Confer-
ences and Seminars","3,500,000","1,310,200","2,189,800",37.4,88,0
,"Supplies and Accessories for
Computers and Printers","1,700,000","802,574","897,426",47.2,88,0
,"Maintenance of Computers,
Software, and Networks","3,500,000","800,000","2,700,000",22.9,88,0
,Sub Total,"51,800,000","16,282,100","35,517,900",31.4,88,0
"General Adminis-
tration",Horaria,"4,224,000","1,520,000","2,704,000",36.0,88,0
,"Travel Costs (airlines, bus, rail-
way, mileage allowances, etc.)","800,000","108,516","691,484",13.6,88,0
,Daily Subsistence Allowance,"5,600,000","2,800,000","2,800,000",50.0,88,0
,Travel Allowance,"5,000,000","2,500,000","2,500,000",50.0,88,0
,"Catering Services (receptions),
Accommodation, Gifts, Food and
Drinks","1,000,000","90,000","910,000",9.0,88,0
,"Boards, Committees, Confer-
ences and Seminars","500,000",0,"500,000",-,88,0
,Sub Total,"21,124,000","7,018,516","14,105,484",33.2,88,0
"General Adminis-
tration","Basic Salaries - Members of
Parliament","147,513,811","71,325,926","76,187,885",48.4,88,0
,Transport Allowance,"17,280,000","7,821,233","9,458,767",45.3,88,0
,"National Assembly Attendance
Allowance","63,024,000","25,662,263","37,361,737",40.7,88,0
,,,,0,-,88,0
,"Travel Costs (airlines, bus, rail-
way, mileage allowances, etc.)","45,240,000","19,366,847","25,873,153",42.8,88,0
,Daily Subsistence Allowance,"1,900,000","927,400","972,600",48.8,88,0
,,,,0,-,88,0
,"Rents and Rates - Non-Residen-
tial","7,360,000","1,230,000","6,130,000",16.7,88,0
,"Boards, Committees, Confer-
ences and Seminars","1,500,000",0,"1,500,000",-,88,0
,"Gratuity - Members of Parlia-
ment","18,000,000","9,000,000","9,000,000",50.0,88,0
,Sub Total,"305,817,811","135,333,670","170,484,141",44.3,88,0
Governor's Office,Governor's Office,,,0,-,88,0
,Security Allowance,"3,000,000","460,000","2,540,000",15.3,88,0
,"Travel Costs (airlines, bus, rail-
way, mileage allowances, etc.)","2,000,000","1,000,000","1,000,000",50.0,88,0
,"Accommodation - Domestic
Travel","2,000,000","1,000,000","1,000,000",50.0,88,0
,Daily Subsistence Allowance,"1,500,000","700,000","800,000",46.7,88,0
,"Travel Costs (airlines, bus, rail-
way, etc.)","1,500,000","400,000","1,100,000",26.7,89,0
,Sub Total,"179,400,000","3,560,000","175,840,000",2.0,89,0
"Deputy Governor's
Office",Deputy Governor's Office,,,0,-,89,0
,Deputy Governor's Office,,,0,-,89,0
,Security Allowance,"2,500,000","756,000","1,744,000",30.2,89,0
,"Travel Costs (airlines, bus, rail-
way, mileage allowances, etc.)","1,000,000","500,000","500,000",50.0,89,0
,"Accommodation - Domestic
Travel","1,000,000","331,600","668,400",33.2,89,0
,Sub Total,"36,120,000","1,587,600","34,532,400",4.4,89,0
"General Adminis-
tration","Travel Costs (airlines, bus, rail-
way, mileage allowances, etc.)","500,000","238,000","262,000",47.6,89,0
,"Accommodation - Domestic
Travel","800,000","382,392","417,608",47.8,89,0
,Daily Subsistence Allowance,"800,000","400,000","400,000",50.0,89,0
,"Catering Services (receptions),
Accommodation, Gifts, Food and
Drinks","500,000","226,200","273,800",45.2,89,0
,"General Office Supplies (papers,
pencils, forms, small office equip-
ment etc)","500,000",0,"500,000",-,89,0
,Sub Total,"3,713,739","1,246,592","2,467,147",33.6,89,0
"Finance and Eco-
nomic Planning","Travel Costs (airlines, bus, rail-
way, mileage allowances, etc.)","800,000","400,000","400,000",50.0,89,0
,"Accommodation - Domestic
Travel","800,000","400,000","400,000",50.0,89,0
,Daily Subsistence Allowance,"800,000","367,762","432,238",46.0,89,0
,Accommodation Allowance,"500,000","168,000","332,000",33.6,89,0
,Trainee Allowance,"300,000","78,400","221,600",26.1,89,0
,"Catering Services (receptions),
Accommodation, Gifts, Food and
Drinks","500,000","250,000","250,000",50.0,89,0
,"Boards, Committees, Confer-
ences and Seminars","800,000","400,000","400,000",50.0,89,0
,Sub Total,"6,780,000","2,064,162","4,715,838",30.4,89,0
"General Adminis-
tration",Basic Salaries - Civil Service,"157,667,431","78,833,054","78,834,377",50.0,89,0
,House Allowance,"15,493,843","3,309,246","12,184,597",21.4,89,0
,Hardship Allowance,"14,849,092","5,236,170","9,612,922",35.3,89,0
,"Accommodation - Domestic
Travel","700,000","284,517","415,483",40.6,89,0
,Daily Subsistence Allowance,"800,000","400,000","400,000",50.0,89,0
,Sub Total,"208,927,781","88,062,988","120,864,793",42.1,89,0
"General Adminis-
tration",Basic Salaries - Civil Service,"13,093,930","4,043,997","9,049,933",30.9,89,0
,Transport Allowance,"2,012,000","969,400","1,042,600",48.2,89,0
,"Accommodation - Domestic
Travel","1,000,000","500,000","500,000",50.0,89,0
,Daily Subsistence Allowance,"1,000,000","500,000","500,000",50.0,89,0
,"Hire of Transport, Equipment","1,500,000","450,000","1,050,000",30.0,89,0
,Travel Allowance,"500,000","210,000","290,000",42.0,89,0
,"Boards, Committees, Confer-
ences and Seminars","800,000","400,000","400,000",50.0,89,0
,Sub Total,"34,086,000","7,073,397","27,012,603",20.8,89,0
Procurement,Internet Connections,"50,000","17,762","32,238",35.5,89,0
,"Travel Costs (airlines, bus, rail-
way, mileage allowances, etc.)","800,000","400,000","400,000",50.0,89,0
,"Accommodation - Domestic
Travel","800,000","400,000","400,000",50.0,89,0
,Daily Subsistence Allowance,"800,000","350,000","450,000",43.8,89,0
,Trainer Allowance,"100,000","6,500","93,500",6.5,90,0
,Accommodation Allowance,"500,000","250,000","250,000",50.0,90,0
,Trainee Allowance,"200,000","100,000","100,000",50.0,90,0
,"Catering Services (receptions),
Accommodation, Gifts, Food and
Drinks","500,000","250,000","250,000",50.0,90,0
,"Boards, Committees, Confer-
ences and Seminars","500,000","105,000","395,000",21.0,90,0
,Sub Total,"5,630,000","1,879,262","3,750,738",33.4,90,0
Audit,Internal Audit Department,,,,-,90,0
,"Travel Costs (airlines, bus, rail-
way, mileage allowances, etc.)","500,000","250,000","250,000",50.0,90,0
,"Accommodation - Domestic
Travel","500,000","106,500","393,500",21.3,90,0
,,,,0,-,90,0
,Daily Subsistence Allowance,"500,000","250,000","250,000",50.0,90,0
,Trainee Allowance,"200,000","29,300","170,700",14.7,90,0
,"Catering Services (receptions),
Accommodation, Gifts, Food and
Drinks","600,000","300,000","300,000",50.0,90,0
,"Boards, Committees, Confer-
ences and Seminars","500,000","112,000","388,000",22.4,90,0
,Sub Total,"3,862,600","1,047,800","2,814,800",27.1,90,0
"General Adminis-
tration",Basic Salaries - Civil Service,"20,830,000","8,226,629","12,603,371",39.5,90,0
,"Travel Costs (airlines, bus, rail-
way, mileage allowances, etc.)","800,000","300,000","500,000",37.5,90,0
,"Accommodation - Domestic
Travel","1,000,000","500,000","500,000",50.0,90,0
,Daily Subsistence Allowance,"1,000,000","500,000","500,000",50.0,90,0
,Accommodation Allowance,"500,000","250,000","250,000",50.0,90,0
,Trainee Allowance,"500,000","250,000","250,000",50.0,90,0
,"Catering Services (receptions),
Accommodation, Gifts, Food and
Drinks","200,000","63,200","136,800",31.6,90,0
,"Boards, Committees, Confer-
ences and Seminars","200,000","95,000","105,000",47.5,90,0
,Donations,"44,000,000","15,305,860","28,694,140",34.8,90,0
,"Payables from Previous Financial
Period - Other (Budget)s","22,038,706","10,404,860","11,633,846",47.2,90,0
,Sub Total,"196,978,706","35,895,549","161,083,157",18.2,90,0
"General Adminis-
tration",Basic Salaries - Civil Service,"240,837,780","166,701,904","74,135,876",69.2,90,0
,,,,0,-,90,0
,House Allowance,"16,020,580","6,045,466","9,975,114",37.7,90,0
,Hardship Allowance,"19,006,558",0,"19,006,558",-,90,0
,Transport Allowance,"438,016","105,000","333,016",24.0,90,0
,"Travel Costs (airlines, bus, rail-
way, mileage allowances, etc.)","800,000","400,000","400,000",50.0,90,0
,"Accommodation - Domestic
Travel","800,000","400,000","400,000",50.0,90,0
,Daily Subsistence Allowance,"800,000","300,000","500,000",37.5,90,0
,"Travel Costs (airlines, bus, rail-
way, etc.)","1,000,000","500,000","500,000",50.0,90,0
,Accommodation,"800,000","400,000","400,000",50.0,90,0
,Daily Subsistence Allowance,"1,000,000","500,000","500,000",50.0,90,0
,"Sundry Items (e.g. airport tax,
taxis, etc?)","800,000","340,000","460,000",42.5,90,0
,Travel Allowance,"500,000","230,400","269,600",46.1,90,0
,Trainer Allowance,"500,000","183,000","317,000",36.6,90,0
,Accommodation Allowance,"500,000","250,000","250,000",50.0,90,0
,Trainee Allowance,"500,000","191,400","308,600",38.3,90,0
,"Catering Services (receptions),
Accommodation, Gifts, Food and
Drinks","500,000","250,000","250,000",50.0,91,0
,"Boards, Committees, Confer-
ences and Seminars","1,000,000","500,000","500,000",50.0,91,0
,"Refined Fuels and Lubricants for
Transport","1,000,000","500,000","500,000",50.0,91,0
,Trainee Allowance,"200,000","39,000","161,000",19.5,91,0
,Sub Total,"16,780,548","5,422,278","11,358,270",32.3,91,0
"General Adminis-
tration","Travel Costs (airlines, bus, rail-
way, mileage allowances, etc.)","1,000,000",0,"1,000,000",-,91,0
,"Accommodation - Domestic
Travel","1,000,000","500,000","500,000",50.0,91,0
,"Hire of Transport, Equipment","5,200,000","1,450,000","3,750,000",27.9,91,0
,"Catering Services (receptions),
Accommodation, Gifts, Food and
Drinks","1,000,000","500,000","500,000",50.0,91,0
,"Boards, Committees, Confer-
ences and Seminars","500,000","250,000","250,000",50.0,91,0
,Supplies for Production,"10,000,000","893,136","9,106,864",8.9,91,0
,"Refined Fuels and Lubricants for
Transport","3,000,000","1,063,000","1,937,000",35.4,91,0
,"Maintenance Expenses - Motor
Vehicles","2,000,000","500,000","1,500,000",25.0,91,0
,Sub Total,"194,556,361","5,156,136","189,400,225",2.7,91,0
"General Adminis-
tration","Refined Fuels and Lubricants for
Transport","1,000,000","500,000","500,000",50.0,91,0
,"Maintenance of Office Furniture
and Equipment","600,000",0,"600,000",-,91,0
,Sub Total,"5,000,000","500,000","4,500,000",10.0,91,0
"General Adminis-
tration","Accommodation - Domestic
Travel","200,000","97,600","102,400",48.8,91,0
,Sub Total,"1,614,626","97,600","1,517,026",6.0,91,0
"General Adminis-
tration",Basic Salaries - Civil Service,"154,932,739","52,474,693","102,458,046",33.9,91,0
,House Allowance,"54,866,827","20,941,020","33,925,807",38.2,91,0
"General Adminis-
tration","Travel Costs (airlines, bus, rail-
way, mileage allowances, etc.)","100,000","10,315","89,685",10.3,91,0
,"Accommodation - Domestic
Travel","300,000","150,000","150,000",50.0,91,0
,Sub Total,"248,500,000","73,576,028","174,923,972",29.6,91,0
"General Adminis-
tration","Accommodation - Domestic
Travel","500,000","201,500","298,500",40.3,91,0
,Sub Total,"6,696,475,196","3,140,209,844","3,556,265,352",46.9,91,0
Development Vote,,,,,-,91,0
Total Net Expenditure vote D3311,,"452,951,045",,"452,951,045",-,91,0
Roads Maintenance,"Garissa - Ministry of Transport
and Infrastructure",,,,-,91,0
,"Maintenance of Roads, Ports and
Jetties","209,418,497","208,194,069","1,224,428",99.4,91,0
,Major Roads,"100,000,000","4,143,659","95,856,341",4.1,91,0
,"Payables from Previous Financial
Period - Other (Budget)s","199,446,188","199,418,245","27,943",100.0,91,0
,Sub Total,"508,864,685","411,755,973","97,108,712",80.9,91,0
Office of the Clerk,Clerk’s Office,,,,-,91,0
,"Residential Buildings (including
hostels)","50,000,000",0,50000000,-,91,0
,"Non-Residential Buildings (offic-
es, schools, hospitals, etc..)","100,000,000","12,014,347","87,985,653",12.0,91,0
,Sub Total,"150,000,000","12,014,347","137,985,653",8.0,91,0
,"Payables from Previous Financial
Period - Other (Budget)s","550,000,000","306,616,495","243,383,505",55.7,91,0
