Programme,Sub- Programme,"Approved Bud-
get (Kshs)","Actual Payments
(Kshs)","Variance
(Kshs)",Absorption (%),page_number,table_index
Office of The Governor,,,,,,132,0
County Coordination Services,County Coordination Services,"98,301,145","54,975,170","43,325,975",55.9,132,0
Public sector advisory services,"Economic and Social Advisory
Service","2,765,000",-,"2,765,000",-,132,0
,,"101,066,145","54,975,170","46,090,975",54.4,132,0
Finance and Economic Planning,,,,,,132,0
"Administration, Planning and Support
Services.",Administration Services.,"358,493,218","26,596,060","331,897,158",7.4,132,0
"Administration, Planning and Support
Services.","Monitoring Budget Implementa-
tion and Reporting","12,461,851","7,173,122","5,288,729",57.6,132,0
Public Finance Management,"Budget Formulation
co-odination and management","129,142,332","31,936,574","97,205,758",24.7,132,0
Audit Services,County Audit,"2,866,483","1,796,030","1,070,453",62.7,132,0
Sub-Total,,"502,963,884","67,501,786","435,462,098",13.4,132,0
"Agriculture, Livestock and Fisheries",,,,,,132,0
"Policy, Strategy and Management of Ag-
riculture","Development of Agricultural
Policy, Legal & Regulatory frame-
work.","29,037,959","2,008,475","27,029,484",6.9,132,0
Crop Development and Management,Agriculture Extension Services,"420,071,834","34,625,490","385,446,344",8.2,132,0
"Livestock Resource Management and
Development","Livestock Disease Management
and Control.","10,760,397","1,164,641","9,595,756",10.8,132,0
"Livestock Resource Management and
Development","Livestock Production and Exten-
sion Services","65,095,995","24,092,491","41,003,504",37.0,132,0
Fisheries development,"Management and Development
of Capture Fisheries","7,595,177","294,995","7,300,182",3.9,132,0
,,"532,561,362","62,186,092","470,375,270",11.7,132,0
"Water, Energy, Natural Resources and Environment",,,,,-,132,0
"Environment policy development and
coordination","Planning Coordination Policy
and Administrative Services","113,073,653","63,684,807","49,388,846",56.3,132,0
Water supply services,Rural Water Supply,"437,426,643","1,103,112","436,323,531",0.3,132,0
,,"550,500,296","64,787,919","485,712,377",11.8,132,0
"Education, Youth Affairs, Culture and Social Services",,,,,,132,0
"General Administration & planning
services.","Policy Development and Admin-
istration","274,980,529","89,043,422","185,937,108",32.4,132,0
Basic Education,"Early Childhood Development
Education","272,491,184","219,600","272,271,584",0.1,132,0
Gender and Social Development,"Social Welfare Services/Social In-
frastructure Development","24,899,378","1,573,630","23,325,748",6.3,132,0
"Youth development and empowerment
services",Youth development (YP) Training,"56,907,040","202,282","56,704,758",0.4,132,0
,,"629,278,131","91,038,933","538,239,198",14.5,132,0
Health Services,,,,,,132,0
Curative Health,Administration and Planning,"1,213,146,245","644,383,492","568,762,753",53.1,132,0
Curative Health,Hospital(curative)Services,-,-,-,-,132,0
Preventive and Promotive Health,"Preventive Medicine and Promo-
tive Health","1,281,534,216","220,434,953","1,061,099,263",17.2,132,0
,,"2,494,680,461","864,818,445","1,629,862,016",34.7,132,0
"Lands, Housing and Physical Planning",,,,,,132,0
Administration and support services,"General Administration and
Planning","61,128,784","16,281,629","44,847,155",26.6,132,0
"Housing Development and Human Re-
source",Housing Development,"50,808,299","7,947,726","42,860,573",15.6,132,0
Land policy and planning,"Development Planning and Land
Reforms","172,021,347","95,765,957","76,255,390",55.7,132,0
Land policy and planning,Land Use Planning,"6,352,443","142,400","6,210,043",2.2,132,0
,,"290,310,873","120,137,712","170,173,161",41.4,132,0
"Public Works, Roads and Transport",,,,,,132,0
Transport Management and safety,"General Administration Planning
and Support Services","78,843,520","27,126,386","51,717,134",34.4,132,0
"Infrastructure, Roads and Transport",Rehabilitation of Road,"1,262,094,286","334,006,258","928,088,028",26.5,132,0
"Infrastructure, Roads and Transport","Maintenance of Roads and Bridg-
es/Periodic Maintenance","16,330,335","53,600","16,276,735",0.3,132,0
,,"1,357,268,141","361,186,244","996,081,897",26.6,132,0
"Trade, Industrialization, Tourism, Wildlife and Cooperative Management",,,,,,132,0
