Programme,Approved Budget (Kshs),"Actual Payments
(Kshs)",Variance,Absorption (%),page_number,table_index
Finance and Economic Planning,,,,,184,1
"Budget Formulation, Co-ordination and Management
(0703023060)","50,363,427","40,037,702","10,325,725",79.5,184,1
General Administration (0704043060),"302,513,457","229,592,243","72,921,214",75.9,184,1
Revenue Collection Management (0710013060),"26,998,098","16,519,167","10,478,931",61.2,184,1
Public Finance and Accounting Services (0711013060),"11,289,109","8,834,038","2,455,071",78.3,184,1
Procurement Services (0711023060),"5,517,065","1,146,470","4,370,595",20.8,184,1
Risk Assurance Services (0711033060),"5,447,030","3,160,221","2,286,809",58.0,184,1
Personal Services(0704013060),"133,083,391","115,229,973","17,853,418",86.6,184,1
TOTAL,"535,211,577","414,519,814","120,691,763",77.4,184,1
"Agriculture, Livestock and Fisheries",,,,,184,1
"General Administration And Support Services
{0102053060}","371,120,740","190,794,277","180,326,463",51.4,184,1
Crop Production & Food Security {0107013060},"268,738,968","565,078","268,173,890",0.2,184,1
Dairy And Meat Production {0108013060},"58,575,000","2,411,465","56,163,535",4.1,184,1
Fish Production Management {0109013060},"21,237,294","571,596","20,665,698",2.7,184,1
Livestock Disease Control {0108033060},"71,694,000","4,368,661","67,325,339",6.1,184,1
"Farm Land Utilization, Mechanization & Crop Storage
{0107033060}","44,135,000","17,840,622","26,294,378",40.4,184,1
"Agricultural Extension, Research & Training.
{0107023060}","3,665,000","381,825","3,283,175",10.4,184,1
TOTALS,"839,166,002","216,933,524","622,232,478",25.85,184,1
"Land, Environment, Mining and natural resources",,,,,184,1
"0102053060 (General administration and Support ser-
vices","149,802,776","25,010,787","124,791,989",16.7,184,1
0102063060 (Personnel Services),"21,735,980","13,665,173","8,070,808",62.9,184,1
0104013060 (Physical development plans),"21,480,000","3,777,800","17,702,200",17.6,184,1
"0105013060 (Establishment of squatter settlement
schemes","45,281,207","29,738,682","15,542,525",65.7,184,1
"'0105033060 (identification and acquisition of land for
development)","12,900,000","2,000,000","10,900,000",15.5,184,1
"0106023060 (County Environmental Awareness Initia-
tive)","50,600,000","776,300","49,823,700",1.5,184,1
TOTAL,"302,819,963","75,794,342","227,025,621",25.0,185,0
Medical and Public Health Services,,,,,185,0
General Administration(0403013060),"763,164,425","134,524,493","628,639,932",17.6,185,0
Medical Drugs(0402043060)),"220,000,000","189,972,740","30,027,260",86.4,185,0
HMIS(0403043060)),"4,530,000","2,249,400","2,280,600",49.7,185,0
Personnel Services(0403053060),"1,402,677,613","860,065,447","542,612,166",61.3,185,0
Msambweni Hospital (0405013060),"44,276,733","22,413,701","21,863,032",50.6,185,0
Kinango Hospital(0406013060),"30,125,186","10,630,099","19,495,087",35.3,185,0
Kwale Hospital(0407013060),"59,030,000","11,050,838","47,979,162",18.7,185,0
Tiwi Rural Health Facility(0408013060),"5,104,000","1,710,595","3,393,405",33.5,185,0
Samburu Hospital(0409013060),"22,045,200","2,827,422","19,217,778",12.8,185,0
Lungalunga Hospital(0410013060),"14,898,200","6,832,662","8,065,538",45.9,185,0
Public Health(0401053060),"3,350,000","605,565","2,744,435",18.1,185,0
Rural Health Facilities(0412013060),"390,343,554","61,293,053","329,050,501",15.7,185,0
TOTAL,"2,959,544,911","1,304,176,015","1,655,368,896",44.1,185,0
County Assembly,,,,,185,0
General Administration And Support Services,"707,450,432","246,395,517","461,054,915",34.8,185,0
"Oversight, Legislation And Representation","116,749,934","35,473,926","81,276,008",30.4,185,0
TOTAL,"824,200,366","281,869,443","542,330,923",34.2,185,0
"Trade, Investment and Co-operative Development",,,,,185,0
Administration services(0305023060),"11,289,000","2,581,895","8,707,105",22.9,185,0
Construction of new markets(0306023060),"45,589,356",-,"45,589,356",-,185,0
Weights & Measures,"11,748,424","1,019,850","10,728,574",8.7,185,0
Trade Development and Investment,"13,718,987","3,653,768","10,065,219",26.6,185,0
Other Current Transfers(0306023060),"10,000,000",-,"10,000,000",-,185,0
Personnel Services (305013060),"28,701,006","14,019,428","14,681,578",48.8,185,0
"Building Capacity of Traders for better Market Ac-
cess(301013060)","5,763,500","2,008,960","3,754,540",34.9,185,0
Industry & Enterprise Development,"83,856,000","454,329","83,401,671",0.5,185,0
Cooperative Development,"7,230,348","999,920","6,230,428",13.8,185,0
Dometic payable-from previous years,"128,305,577","37,871,390","90,434,187",29.5,185,0
TOTAL,"346,202,198","62,609,540","283,592,658",18.1,185,0
Social Services and Talent Management,,,,,185,0
Administration,"170,959,015","57,582,587","113,376,428",33.7,185,0
Community Development,"91,787,056","389,025","91,398,031",0.4,185,0
