Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)","Variance
(Kshs.","Absorption
(%)",page_number,table_index
"Livestock Agricultural
Sector Support","Agricultural Infrastructure, Conser-
vation and Research","613,190,420","71,966,696","541,223,724",11.7,221,0
,"Livestock Agricultural Sector Sup-
port","208,154,333","85,773,737","122,380,596",41.2,221,0
,Sub total,"821,344,753","157,740,433","663,604,320",19.2,221,0
"Co-operative Develop-
ment Programmes",Cooperatives Agricultural Support,"11,100,000","2,500,000","8,600,000",22.5,221,0
,Sub total,"11,100,000","2,500,000","8,600,000",22.5,221,0
Trade development,Trade development &Promotion,"184,651,853","29,627,682","155,024,171",16,221,0
,Sub total,"184,651,853","29,627,682","155,024,171",16,221,0
"Youth Rehabilitation
and Development","Youth Development Programmes
and Policy","123,890,988",-,"123,890,988",-,221,0
,Sub total,"123,890,988",-,"123,890,988",-,221,0
"Physical Infrastructure
Development",Infrastructure & Equipment,"281,744,752","79,004,919","202,739,834",28,221,0
,"Infrastructure Construction, Ex-
pansion and Maintenance","880,544,060","204,660,456","675,883,604",23.2,221,0
,"Infrastructure Development and
Expansion","149,371,471","11,050,483","138,320,988",7.4,221,0
,"Infrastructure Development and
Expansion","1,088,675,003","424,886,518","663,788,485",39,221,0
,Sub total,"2,400,335,286","719,602,376","1,680,732,911",30,221,0
"Administration & Com-
pensation","General Administration & Support
Services","703,665,141","318,519,626","385,145,515",45.3,221,0
,"General Administration & Support
Services","2,716,025,034","1,243,252,092","1,472,772,941",45.8,221,0
,Sub total,"3,419,690,175","1,561,771,718","1,857,918,456",45.7,221,0
"Administration, Plan-
ning and Support Ser-
vices",Administration Services,"3,075,475,253","870,530,625","2,204,944,628",28.3,221,0
,"Administration and Support Ser-
vices","169,323,062","53,834,223","115,488,839",31.8,221,0
,Sub total,"3,244,798,314","924,364,847","2,320,433,467",28.5,221,0
"Sports and Early Child-
hood Development Ed-
ucation (ECDE)",ECDE Infrastructure.,"361,020,068","55,529,500","305,490,568",15.4,221,0
,Sub total,"361,020,068","55,529,500","305,490,568",15.4,221,0
"Legislation & Oversight
Services","County Assembly Administration
offices","221,218,668","35,570,232","185,648,436",16.1,221,0
,Sub total,"221,218,668","35,570,232","185,648,436",16.1,221,0
Financial Services,Procurement Services,"51,825,600",-,"51,825,600",-,221,0
,Sub total,"51,825,600",-,"51,825,600",-,221,0
"Water Provision Ser-
vices",Water Storage Structures,"1,365,446,271","610,200,980","755,245,292",44.7,221,0
,Water provision services,"785,032,458","340,359,139","444,673,319",43.4,221,0
,Sub total,"2,150,478,729","950,560,118","1,199,918,610",44.2,221,0
"Solar Energy and Envi-
ronmental Services",Street lighting,"242,116,629","162,638,930","79,477,699",67.2,221,0
,Environmental Protection,"87,254,030","42,149,350","45,104,680",48.3,221,0
,Sub total,"329,370,659","204,788,280","124,582,379",62.2,221,0
Grand Total,,"13,319,725,092","4,642,055,186","8,677,669,906",34.9,221,0
