Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance,Absorption (%),page_number,table_index,"Variance
(Kshs)"
"Finance and Economic
Planning","General administration planning and
Support Services","348,000,000","99,225,370","248,774,630",28.5,227,0,
,Public Finance Management,"94,284,991","29,752,700","64,532,291",,227,0,
,"Economic and financial policy Formu-
lation","45,000,000","2,525,000","42,475,000",5.6,227,0,
,Sub total,"487,284,991","131,503,070","355,781,921",27.0,227,0,
"Roads, Housing and
Public Works","Road Transport Infrastructure Devel-
opment","413,138,927","55,549,959","357,588,968",13.4,227,0,
,Housing Development,-,-,-,-,227,0,
,"General administration planning and
Support Services","93,000,000","32,540,165","60,459,835",35,227,0,
,Sub total,"506,138,927","88,090,124","418,048,803",17.4,227,0,
"Trade, Industry & Enter-
prise Development","General administration planning and
Support Services","81,000,000","22,794,811","58,205,189",28.1,227,0,
,Trade and Industrial Development,-,-,-,,227,0,
,Enterprise Development,"107,400,000","46,824,700","60,575,300",43.6,227,0,
,Sub total,"188,400,000","69,619,511","118,780,489",37,227,0,
Water,Water Resources Management,"557,463,091","56,761,437","54,624,099",10.2,227,0,
,"General administration planning and
Support Services","92,728,213","35,156,637","209,600",37.9,227,0,
,"Natural Resources Conservation and
Management","42,271,787","3,101,200","475,900",7.3,227,0,
,Sub total,"692,463,091","95,019,274","55,309,599",13.7,227,0,
Grand Total,,"8,017,840,404","2,327,439,704","5,148,266,482",29,227,0,
County Assembly,,,,,,232,1,
"General Administration, Plan-
ning and Support Services","General Administration,
Planning and Support Ser-
vices","371,585,852","130,681,817",,35.2,232,1,"240,904,035"
Legislative and Representation,"Legislative and Representa-
tion","445,155,546","190,211,845",,42.7,232,1,"254,943,701"
Legislative Oversight,Legislative Oversight,"206,478,602","86,806,338",,42,232,1,"119,672,264"
,Sub Total,"1,023,220,000","407,700,000",,39.8,232,1,"615,520,000"
Office of the Governor,,,,,,232,1,
