Programme,Sub- Programme,"Approved Budget
(Kshs.)","Actual Payments
(Kshs.)",Variance (Kshs.),Absorption (%),page_number,table_index
3011 The Executive,Governor's Affairs & Advisory Services,"140,500,000","9,784,239","130,715,761",7.0,253,1
,"Deputy Governor's Affairs & External
Relations","66,575,327","9,970,181","56,605,146",15,253,1
,"Cabinet Affairs, Policy Research and Le-
gal Services","110,300,000",-,"110,300,000",-,253,1
,MV 2035 & E-Government,"31,624,673",-,"31,624,673",-,253,1
,Strategic Delivery Unit,"26,816,961",-,"26,816,961",-,253,1
"3013 County Public
Service Board",Administration Unit,"133,015,169","44,246,273","88,768,896",33.3,253,1
"3014 Finance and Eco-
nomic Planning",Administration Unit,"1,207,919,840","466,149,707","741,770,133",38.6,253,1
,Accounting Unit,"97,050,000","34,240,448","62,809,552",35.3,253,1
,Planning and Monitoring Unit,"124,574,896","562,857,255","-438,282,359",451.8,253,1
"3015 Energy, Environ-
ment & Waste Manage-
ment","Administration, Planning and Support
Services","491,856,186","155,751,946","336,104,240",31.7,253,1
,Waste Management,"125,000,000","8,261,868","116,738,132",6.6,253,1
,"Environmental Compliance and Moni-
toring","330,372,081","4,354,194","326,017,887",1.3,253,1
,Climate Change,"14,650,963",-,"14,650,963",-,253,1
,Energy,"16,000,000",-,"16,000,000",-,253,1
"3016 Education, Infor-
mation Technology &
MV 2035","General Administration, Planning and
Support Services","365,848,451","101,993,823","263,854,628",27.9,253,1
,Education headquarters,"190,589,894","12,521,303","178,068,591",6.6,253,1
,Childcare,"17,500,000",-,"17,500,000",-,253,1
,Elimu Fund,"211,890,000","100,000,000","111,890,000",47.2,253,1
,Information Technology Headquarters,"186,659,356",-,"186,659,356",-,253,1
3017 Health Services,Administration Unit,"2,695,470,096","1,114,441,116","1,581,028,980",41.3,253,1
,Curative/Clinical Health Services,"200,016,500",-,"200,016,500",-,253,1
,Preventive and Promotive Services Unit,"703,691,515",-,"703,691,515",-,253,1
,Special Programs,"78,123,400","1,170,800","76,952,600",1.5,253,1
"3018 Water, Sanitation
& Natural Resources",Administration unit,"313,331,433","10,999,069","302,332,364",3.5,253,1
,"Sanitation/Sewerage Services Head-
quarters","463,581,812",-,"463,581,812",-,253,1
,Water Supply Headquarters,"697,453,892",-,"697,453,892",-,253,1
,Natural Resources,"4,720,000",-,"4,720,000",-,253,1
"3019 Youth, Gender
, Sports and Cultural
Affairs",Administration Unit,"246,279,041","147,943,338","98,335,703",60.1,253,1
