Programme,Sub- Programme,"Approved Bud-
get (Ksh)","Actual Payments
(Ksh)","Variance
(Kshs.)",Absorption (%),page_number,table_index
"General Administration, Plan-
ning and Support Services",Service Delivery Unit,"18,200,000","6,403,762","11,796,238",35.2%,301,1
,"Governor's Office & Investment Pro-
motion","81,335,058","42,685,564","38,649,494",52.5%,301,1
,"Liaison and Intergovernmental Re-
lations","13,750,000","796,629","12,953,371",5.8%,301,1
,"Civic Education and Public Partici-
pation","8,600,000","2,979,900","5,620,100",34.7%,301,1
Sub Total,,"121,885,058","52,865,855","69,019,203",43.4%,301,1
County Secretary,County Secretary-Administration,"15,655,000","4,157,665","11,497,336",26.6%,301,1
,"Communication and Public Rela-
tions","2,400,000","743,100","1,656,900",31.0%,301,1
,Cabinet Affairs,"700,000","246,550","453,450",35.2%,301,1
"Human Resource Manage-
ment","Payroll (Including Compensation to
employees)","1,906,050,000","995,618,379","910,431,621",52.2%,301,1
,"Human Resource Management (In-
cluding employee gratuity, pension
and medical insurance)","101,530,000","1,294,990","100,235,010",1.3%,301,1
Sub Total,,"2,026,335,000","1,002,060,683","1,024,274,317",49.5%,301,1
County Attorney Services,Legal and public affairs,"33,332,655","2,425,409","30,907,246",7.3%,301,1
Sub Total,,"33,332,655","2,425,409","30,907,246",7.3%,301,1
Public Administration,Public Administration,"3,920,000","2,842,200","1,077,800",72.5%,301,1
,sub-county and ward administration,"25,450,000","6,300,726","19,149,274",24.8%,301,1
,Enforcement and Compliance,"6,000,000","2,686,535","3,313,465",44.8%,301,1
"ICT and E-government Ser-
vices",ICT and E-government Services,"11,000,000","1,216,586","9,783,414",11.1%,301,1
Sub Total,,"46,370,000","13,046,047","33,323,953",28.1%,301,1
County Public Service Board,County Public Service Board,"18,400,000","8,665,834","9,734,166",47.1%,301,1
Sub Total,,"18,400,000","8,665,834","9,734,166",47.1%,302,0
Public Finance Management,County Funds,"246,000,000","42,100,000","203,900,000",17.1%,302,0
,County Pending Bills,"98,747,429","3,984,600","94,762,829",4.0%,302,0
,treasury services,"71,872,978","47,863,530","24,009,447",66.6%,302,0
,Financial reporting,"5,096,300","3,801,572","1,294,728",74.6%,302,0
