"County Depart-
ment","Name of the Pro-
gramme",Sub-Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance (Kshs),Absorption (%),page_number,table_index
"Agriculture, Live-
stock and Fisheries","Agricultural Manage-
ment","Administration and
planning services","601,378,864","163,367,545","438,011,319",27.2,308,1
,Crop Management,"County Agriculture Ex-
tension Program","5,229,450","689,495","4,539,955",13.2,308,1
,Wambugu ATC,Farm Development,"5,762,000","2,881,000","2,881,000",50,308,1
,AMS Naromoru,"Development Of Agri-
cultural Land For Crop
Production","7,929,794","964,897","6,964,897",12.2,308,1
,"Livestock Production
Management","Provision of Extension
Services to Livestock
farmers","7,526,000","520,670","7,005,330",6.9,308,1
,Fisheries development,"Administrative Support
Services","5,849,000","201,107","5,647,893",3.4,308,1
,Veterinary services,"Administrative Support
Services","20,745,000","4,335,243","16,409,757",20.9,308,1
,,Sub-total,"654,420,108","172,959,957","481,460,151",26.4,308,1
"Lands, Physical
Planning, Housing
and Urbanization","Physical planning ser-
vices","Administration and
personnel services","40,222,583","30,629,629","9,592,954",76.2,308,1
,"Land Policy and Plan-
ning","Land Policy Formula-
tion","604,030,757","93,205,654","510,825,103",15.4,308,1
,"Housing Development
and Human Settlement",Government Building,"980,000","68,000","912,000",6.9,308,1
,,Sub-total,"645,233,340","123,903,283","521,330,057",19.2,308,1
"Transport, Public
Works Infrastruc-
ture and Energy","General administration
and policy Develop-
ment and implemen-
tation","Administration, plan-
ning and support ser-
vices","82,413,822","33,651,981","48,761,841",40.8,308,1
,"Energy Sector develop-
ment","Street lighting pro-
gramme","164,382,743","1,317,838","163,064,905",0.8,308,1
,"Roads development,
maintenance and man-
agement","County access and
feeder roads improve-
ment","912,094,042","144,934,067","767,159,975",15.9,308,1
,,Sub-total,"1,158,890,607","179,903,886","978,986,721",15.5,308,1
"Trade, Culture,
Tourism and
Co-Operative De-
velopment","Co-operative develop-
ment","Cooperative Develop-
ment And Management","2,598,370","371,926","2,226,444",14.3,308,1
,Tourism Development,Promotion of Tourism,"2,285,000","614,092","1,670,908",26.9,308,1
,"Trade and Cooperative
Development",Trade Promotion,"91,205,440","22,047,427","69,158,013",24.2,308,1
,,Sub-total,"96,088,810","23,033,445","73,055,365",24,308,1
Health Services,"Adminstration, Plan-
ning and General Sup-
port Services","Administration, Plan-
ning and General Sup-
port Services","2,404,721,642","1,294,951,361","1,109,770,281",53.9,309,0
,"Health Centers and
Dispensaries",Health Services,"579,552,651","52,436,637","527,116,014",9,309,0
,,Sub-total,"2,984,274,293","1,347,387,998","1,636,886,295",45.1,309,0
"Education and
Sports","General administration
and policy Develop-
ment and implemen-
tation","Administrative Support
Services","356,560,212","105,258,440","251,301,772",29.5,309,0
,"County Sports Devel-
opment","Search and nurture tal-
ents","47,369,566","1,146,260","46,223,306",2.4,309,0
,ECDE Management,ECDE Management,"4,817,496","399,700","4,417,796",8.3,309,0
,,Sub-total,"408,747,274","106,804,400","301,942,874",26.1,309,0
"Office of the Gov-
ernor and Deputy
Governor","Management and
Co-ordination of coun-
ty affairs","Administration, plan-
ning and support ser-
vices","123,502,337","34,733,882","88,768,455",28.1,309,0
,,"Management of county
affairs","9,850,000","346,042","9,503,958",3.5,309,0
,,Sub-total,"133,352,337","35,079,924","98,272,413",26.3,309,0
"Office of the Coun-
ty Secretary","Coordination of Coun-
ty Functions and Public
Service Management","Administration, plan-
ning and support ser-
vices","322,108,054","51,922,953","270,185,101",16.1,309,0
,,"Coordination of func-
tions of the County Ex-
ecutive Committee","21,557,311","172,800","21,384,511",0.8,309,0
,,"Coordination of county
service delivery units","12,756,907","9,983,860","2,773,047",78.3,309,0
,ICT Development,"ICT Infrastructure De-
velopment","4,000,000",0,"4,000,000",0,309,0
,"Community sensiti-
zation, education and
public participation","County publicity cam-
paign","1,270,000","217,855","1,052,145",17.2,309,0
,,Sub-total,"361,692,272","62,297,468","299,394,804",17.2,309,0
"Finance and Eco-
nomic Planning",Executive services,"Administration and
personnel services","1,220,897,474","154,117,974","1,066,779,500",12.6,309,0
,Revenue Mobilization,Revenue Mobilization,"24,211,483","5,066,562","19,144,921",20.9,309,0
,"Public Finance Man-
agement",Financial Accounting,"13,051,687","2,962,380","10,089,307",22.7,309,0
,,"Procurement Compli-
ance and Reporting","11,907,249","1,946,230","9,961,019",16.3,309,0
,,Internal Audit,"8,747,881","2,020,854","6,727,027",23.1,309,0
,Economic Planning,Budget Management,"71,935,543",0,"71,935,543",0,309,0
,,"Economic Planning
and Policy Formulation","13,294,046","2,614,375","10,679,671",19.7,309,0
